HEADER	MAGIC_DESC	外功伤害百分比	内功伤害百分比	加命中点数	加外功攻击速度	加内功攻击速度	忽略对手闪避	加快跑步速度	反弹物理攻击	偷血	偷内力	加生命最大值上限	加内力上限	加体力上限	加生命恢复速度	加内力恢复速度	加体力恢复速度	加外普伤害点数	加内普伤害点数	伤转内	加抗毒性	使对手受伤	加外毒伤点数	加内毒伤点数	加抗电性	使对手虚弱	加外冰伤点数	加内冰伤点数	加抗火性	使对手迟缓	加外火伤点数	加内火伤点数	加抗物理性	使对手灼伤	加外雷伤点数	加内雷伤点数	加抗冰性	使对手眩晕	减少受伤时间	减少迟缓时间	减少虚弱时间	减少灼伤时间	减少眩晕时间	加全抗	加运气	加会心几率	加闪避
偷内力	stealmana_p										100	120	110	105	100	100	100	150	150	100	110	120	150	150	110	120	150	150	110	120	150	150	110	120	150	150	110	120	100	100	100	100	100	100	100	100	100
加生命最大值上限	lifemax_v											100	150	120	130	120	120	130	130	110	150	120	130	130	200	120	130	130	200	120	130	130	200	120	130	130	200	120	130	130	130	130	130	140	120	150	150
加内力最大值上限	manamax_v												100	110	120	110	110	120	120	105	130	110	120	120	150	110	120	120	150	110	120	120	150	110	120	120	150	110	110	110	110	110	110	120	110	130	130
加体力最大值上限	staminamax_v													100	110	105	105	110	110	105	110	105	110	110	120	105	110	110	120	105	110	110	120	105	110	110	120	105	105	105	105	105	105	110	105	110	110
加生命恢复速度	lifereplenish_v														100	100	100	100	100	110	120	100	100	100	120	100	100	100	120	100	100	100	120	100	100	100	120	100	120	120	120	120	120	120	120	120	120
加内力恢复速度	manareplenish_v															100	100	100	100	100	120	100	100	100	120	100	100	100	120	100	100	100	120	100	100	100	120	100	120	120	120	120	120	120	120	110	110
加体力恢复速度	staminareplenish_v																100	100	100	100	110	100	100	100	110	100	100	100	110	100	100	100	110	100	100	100	110	100	110	110	110	110	110	110	100	110	110
加外普伤害点数	addphysicsdamage_v																	100	100	100	150	200	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	130	100	100	100	100	100
加内普伤害点数	addphysicsmagic_v																		100	100	150	200	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	130	100	100	100	100	100
伤转内	damage2addmana_p																			100	120	100	100	100	120	100	100	100	120	100	100	100	120	100	100	100	120	100	120	120	120	120	120	100	100	110	110
加抗毒性	damage_poison_resist																				100	150	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	150	100	160	130	160	160
使对手受伤	state_hurt_attack																					100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	120	100	100	100	100	100
加外毒伤点数	addpoisondamage_v																						100	100	150	200	100	100	100	100	100	100	100	100	100	100	100	100	130	100	100	100	100	100	100	100	100
加内毒伤点数	addpoisonmagic_v																							100	150	200	100	100	100	100	100	100	100	100	100	100	100	100	130	100	100	100	100	100	100	100	100
加抗电性	damage_light_resist																								100	150	100	100	100	100	100	100	100	100	100	100	100	100	150	100	100	100	100	160	130	160	160
使对手虚弱	state_weak_attack																									100	100	100	100	100	100	100	100	100	100	100	100	100	120	100	100	100	100	100	100	100	100
加外冰伤点数	addcolddamage_v																										100	100	150	200	100	100	100	100	100	100	100	100	100	100	100	100	130	100	100	100	100
加内冰伤点数	addcoldmagic_v																											100	150	200	100	100	100	100	100	100	100	100	100	100	100	100	130	100	100	100	100
加抗火性	damage_fire_resist																												100	150	100	100	100	100	100	100	100	100	100	100	100	100	150	160	130	160	160
使对手迟缓	state_slowall_attack																													100	100	100	100	100	100	100	100	100	100	100	100	100	120	100	100	100	100
加外火伤点数	addfiredamage_v																														100	100	150	200	100	100	100	100	100	130	100	100	100	100	100	100	100
加内火伤点数	addfiremagic_v																															100	150	200	100	100	100	100	100	130	100	100	100	100	100	100	100
加抗物理性	damage_physics_resist																																100	150	100	100	100	100	100	150	100	100	100	160	130	160	160
使对手灼伤	state_burn_attack																																	100	100	100	100	100	100	120	100	100	100	100	100	100	100
加外雷伤点数	addlightingdamage_v																																		100	100	150	200	100	100	130	100	100	100	100	100	100
加内雷伤点数	addlightingmagic_v																																			100	150	200	100	100	130	100	100	100	100	100	100
加抗冰性	damage_cold_resist																																				100	150	100	100	120	100	100	160	130	160	160
使对手眩晕	state_stun_attack																																					100	100	100	120	100	100	100	100	100	100
减少受伤时间	state_hurt_resisttime																																						100	100	100	100	100	130	120	130	130
减少迟缓时间	state_slowall_resisttime																																							100	100	100	100	130	120	130	130
减少虚弱时间	state_weak_resisttime																																								100	100	100	130	120	130	130
减少灼伤时间	state_burn_resisttime																																									100	100	130	120	130	130
减少眩晕时间	state_stun_resisttime																																										100	130	120	130	130
加全抗	damage_all_resist																																											100	120	100	100
加运气	lucky_v																																												100	100	100
加会心几率	deadlystrikeenhance_r																																													100	150
加闪避	adddefense_v																																														100
