Level	UpgardeExp	Value
198	990	98505000
199	995	99500000
200	1000	100500000
201	1005	101505000
202	1010	102515000
203	1015	103530000
204	1020	104550000
205	1025	105575000
206	1030	106605000
207	1035	107640000
208	1040	108680000
209	1045	109725000
210	1050	110775000
211	1055	111830000
212	1060	112890000
213	1065	113955000
214	1070	115025000
215	1075	116100000
216	1080	117180000
217	1085	118265000
218	1090	119355000
219	1095	120450000
220	1100	121550000
221	1105	122655000
222	1110	123765000
223	1115	124880000
224	1120	126000000
225	1125	127125000
226	1130	128255000
227	1135	129390000
228	1140	130530000
229	1145	131675000
230	1150	132825000
231	1155	133980000
232	1160	135140000
233	1165	136305000
234	1170	137475000
235	1175	138650000
236	1180	139830000
237	1185	141015000
238	1190	142205000
239	1195	143400000
240	1200	144600000
241	1205	145805000
242	1210	147015000
243	1215	148230000
244	1220	149450000
245	1225	150675000
246	1230	151905000
247	1235	153140000
248	1240	154380000
249	1245	155625000
250	1250	156875000
251	1255	158130000
252	1260	159390000
253	1265	160655000
254	1270	161925000
255	1275	163200000
256	1280	164480000
257	1285	165765000
258	1290	167055000
259	1295	168350000
260	1300	169650000
261	1305	170955000
262	1310	172265000
263	1315	173580000
264	1320	174900000
265	1325	176225000
266	1330	177555000
267	1335	178890000
268	1340	180230000
269	1345	181575000
270	1350	182925000
271	1355	184280000
272	1360	185640000
273	1365	187005000
274	1370	188375000
275	1375	189750000
276	1380	191130000
277	1385	192515000
278	1390	193905000
279	1395	195300000
280	1400	196700000
281	1405	198105000
282	1410	199515000
283	1415	200930000
284	1420	202350000
285	1425	203775000
286	1430	205205000
287	1435	206640000
288	1440	208080000
289	1445	209525000
290	1450	210975000
291	1455	212430000
292	1460	213890000
293	1465	215355000
294	1470	216825000
295	1475	218300000
296	1480	219780000
297	1485	221265000
298	1490	222755000
299	1495	224250000
300	1500	225750000
301	1505	227255000
302	1510	228765000
303	1515	230280000
304	1520	231800000
305	1525	233325000
306	1530	234855000
307	1535	236390000
308	1540	237930000
309	1545	239475000
310	1550	241025000
311	1555	242580000
312	1560	244140000
313	1565	245705000
314	1570	247275000
315	1575	248850000
316	1580	250430000
317	1585	252015000
318	1590	253605000
319	1595	255200000
320	1600	256800000
321	1605	258405000
322	1610	260015000
323	1615	261630000
324	1620	263250000
325	1625	264875000
326	1630	266505000
327	1635	268140000
328	1640	269780000
329	1645	271425000
330	1650	273075000
331	1655	274730000
332	1660	276390000
333	1665	278055000
334	1670	279725000
335	1675	281400000
336	1680	283080000
337	1685	284765000
338	1690	286455000
339	1695	288150000
340	1700	289850000
341	1705	291555000
342	1710	293265000
343	1715	294980000
344	1720	296700000
345	1725	298425000
346	1730	300155000
347	1735	301890000
348	1740	303630000
349	1745	305375000
350	1750	307125000
351	1755	308880000
352	1760	310640000
353	1765	312405000
354	1770	314175000
355	1775	315950000
356	1780	317730000
357	1785	319515000
358	1790	321305000
359	1795	323100000
360	1800	324900000
361	1805	326705000
362	1810	328515000
363	1815	330330000
364	1820	332150000
365	1825	333975000
366	1830	335805000
367	1835	337640000
368	1840	339480000
369	1845	341325000
370	1850	343175000
371	1855	345030000
372	1860	346890000
373	1865	348755000
374	1870	350625000
375	1875	352500000
376	1880	354380000
377	1885	356265000
378	1890	358155000
379	1895	360050000
380	1900	361950000
381	1905	363855000
382	1910	365765000
383	1915	367680000
384	1920	369600000
385	1925	371525000
386	1930	373455000
387	1935	375390000
388	1940	377330000
389	1945	379275000
390	1950	381225000
391	1955	383180000
392	1960	385140000
393	1965	387105000
394	1970	389075000
395	1975	391050000
396	1980	393030000
397	1985	395015000
398	1990	397005000
399	1995	399000000
400	2000	401000000
