Name	Kind	Category	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	ItemValue	MakeCost	RefineLevel	BindType	Valuable	ClassName	ResMale	ResFemale	BasicProp1Type	BasicProp1PA1Min	BasicProp1PA1Max	BasicProp1PA2Min	BasicProp1PA2Max	BasicProp1PA3Min	BasicProp1PA3Max	BasicProp2Type	BasicProp2PA1Min	BasicProp2PA1Max	BasicProp2PA2Min	BasicProp2PA2Max	BasicProp2PA3Min	BasicProp2PA3Max	BasicProp3Type	BasicProp3PA1Min	BasicProp3PA1Max	BasicProp3PA2Min	BasicProp3PA2Max	BasicProp3PA3Min	BasicProp3PA3Max	BasicProp4Type	BasicProp4PA1Min	BasicProp4PA1Max	BasicProp4PA2Min	BasicProp4PA2Max	BasicProp4PA3Min	BasicProp4PA3Max	BasicProp5Type	BasicProp5PA1Min	BasicProp5PA1Max	BasicProp5PA2Min	BasicProp5PA2Max	BasicProp5PA3Min	BasicProp5PA3Max	BasicProp6Type	BasicProp6PA1Min	BasicProp6PA1Max	BasicProp6PA2Min	BasicProp6PA2Max	BasicProp6PA3Min	BasicProp6PA3Max	BasicProp7Type	BasicProp7PA1Min	BasicProp7PA1Max	BasicProp7PA2Min	BasicProp7PA2Max	BasicProp7PA3Min	BasicProp7PA3Max	BasicProp8Type	BasicProp8PA1Min	BasicProp8PA1Max	BasicProp8PA2Min	BasicProp8PA2Max	BasicProp8PA3Min	BasicProp8PA3Max	BasicProp9Type	BasicProp9PA1Min	BasicProp9PA1Max	BasicProp9PA2Min	BasicProp9PA2Max	BasicProp9PA3Min	BasicProp9PA3Max	BasicProp10Type	BasicProp10PA1Min	BasicProp10PA1Max	BasicProp10PA2Min	BasicProp10PA2Max	BasicProp10PA3Min	BasicProp10PA3Max	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value	Enh1Times	EnhMA1Name	EnhMA1PA1Min	EnhMA1PA1Max	EnhMA1PA2Min	EnhMA1PA2Max	EnhMA1PA3Min	EnhMA1PA3Max	Enh2Times	EnhMA2Name	EnhMA2PA1Min	EnhMA2PA1Max	EnhMA2PA2Min	EnhMA2PA2Max	EnhMA2PA3Min	EnhMA2PA3Max	Enh3Times	EnhMA3Name	EnhMA3PA1Min	EnhMA3PA1Max	EnhMA3PA2Min	EnhMA3PA2Max	EnhMA3PA3Min	EnhMA3PA3Max	Enh4Times	EnhMA4Name	EnhMA4PA1Min	EnhMA4PA1Max	EnhMA4PA2Min	EnhMA4PA2Max	EnhMA4PA3Min	EnhMA4PA3Max	Enh5Times	EnhMA5Name	EnhMA5PA1Min	EnhMA5PA1Max	EnhMA5PA2Min	EnhMA5PA2Max	EnhMA5PA3Min	EnhMA5PA3Max	Enh6Times	EnhMA6Name	EnhMA6PA1Min	EnhMA6PA1Max	EnhMA6PA2Min	EnhMA6PA2Max	EnhMA6PA3Min	EnhMA6PA3Max	UnLockInterval
[Ngoại Trang] Phượng Vũ Cửu Thiên	Khoác	1	1	25	52	1	\image\item\equip\armor\armor50m_s.spr	\image\item\equip\armor\armor50m.spr	21				1	50000			1	0	equip		50	lifemax_v	50	50	-1	-1	0	0				-1	-1	0	0	manamax_v	50	50	-1	-1	0	0	attackrating_v	10	10	-1	-1	0	0	damage_all_resist	50	50	-1	-1	0	0																																				5	1	8	1																																																									
[Ngoại Trang] Ngự Vân Bào	Khoác	1	1	25	49	1	\image\item\equip\armor\armor46m_s.spr	\image\item\equip\armor\armor46m.spr	21				1	50000			1	0	equip	46		lifemax_v	50	50	-1	-1	0	0				-1	-1	0	0	manamax_v	50	50	-1	-1	0	0	attackrating_v	10	10	-1	-1	0	0	damage_all_resist	50	50	-1	-1	0	0																																				5	1	8	0																																																									
[Ngoại Trang] Long Dĩnh Sam	Khoác	1	1	25	48	1	\image\item\equip\armor\fm_armor_newyear_s.spr	\image\item\equip\armor\fm_armor_newyear.spr	21				1	50000			1	0	equip		37	lifemax_v	50	50	-1	-1	0	0				-1	-1	0	0	manamax_v	50	50	-1	-1	0	0	attackrating_v	10	10	-1	-1	0	0	damage_all_resist	50	50	-1	-1	0	0																																				5	1	8	1																																																									
[Ngoại Trang] Quân Lâm Thiên Hạ	Khoác	1	1	25	50	1	\image\item\equip\armor\armor50f_s.spr	\image\item\equip\armor\armor50f.spr	20				1	50000			1	0	equip	50		lifemax_v	50	50	-1	-1	0	0				-1	-1	0	0	manamax_v	50	50	-1	-1	0	0	attackrating_v	10	10	-1	-1	0	0	damage_all_resist	50	50	-1	-1	0	0																																				5	1	8	0																																																									
[Ngoại Trang] Vân Long Sam	Khoác	1	1	25	51	1	\image\item\equip\armor\fm_ds_armor_D_s.spr	\image\item\equip\armor\fm_ds_armor_D.spr	21				1	50000			1	0	equip		34	lifemax_v	50	50	-1	-1	0	0				-1	-1	0	0	manamax_v	50	50	-1	-1	0	0	attackrating_v	10	10	-1	-1	0	0	damage_all_resist	50	50	-1	-1	0	0																																				5	1	8	1																																																									
[Ngoại Trang] Nghịch Thế Khải	Khoác	1	1	25	53	1	\image\item\equip\armor\ma_ds_armor_D_s.spr	\image\item\equip\armor\ma_ds_armor_D.spr	20				1	50000			1	0	equip	35		lifemax_v	50	50	-1	-1	0	0				-1	-1	0	0	manamax_v	50	50	-1	-1	0	0	attackrating_v	10	10	-1	-1	0	0	damage_all_resist	50	50	-1	-1	0	0																																				5	1	8	0																																																									
[Ngoại Trang] Thanh Sương Y	Khoác	1	1	25	54	1	\image\item\equip\armor\armor47m_s.spr	\image\item\equip\armor\armor47m.spr	20				1	50000			1	0	equip	47		lifemax_v	50	50	-1	-1	0	0				-1	-1	0	0	manamax_v	50	50	-1	-1	0	0	attackrating_v	10	10	-1	-1	0	0	damage_all_resist	15	15	-1	-1	0	0																																				5	1	8	0																																																									
[Ngoại Trang Cấp 2] Phượng Vũ Cửu Thiên	Khoác	1	1	25	55	1	\image\item\equip\armor\armor50m_s.spr	\image\item\equip\armor\armor50m.spr	21				1	50000			1	0	equip		50	lifemax_v	100	100	-1	-1	0	0				-1	-1	0	0	manamax_v	100	100	-1	-1	0	0	attackrating_v	20	20	-1	-1	0	0	damage_all_resist	100	100	-1	-1	0	0																																				5	1	8	1																																																									
[Ngoại Trang Cấp 2] Ngự Vân Bào	Khoác	1	1	25	56	1	\image\item\equip\armor\armor46m_s.spr	\image\item\equip\armor\armor46m.spr	21				1	50000			1	0	equip	46		lifemax_v	100	100	-1	-1	0	0				-1	-1	0	0	manamax_v	100	100	-1	-1	0	0	attackrating_v	20	20	-1	-1	0	0	damage_all_resist	100	100	-1	-1	0	0																																				5	1	8	0																																																									
[Ngoại Trang Cấp 2] Long Dĩnh Sam	Khoác	1	1	25	57	1	\image\item\equip\armor\fm_armor_newyear_s.spr	\image\item\equip\armor\fm_armor_newyear.spr	21				1	50000			1	0	equip		37	lifemax_v	100	100	-1	-1	0	0				-1	-1	0	0	manamax_v	100	100	-1	-1	0	0	attackrating_v	20	20	-1	-1	0	0	damage_all_resist	100	100	-1	-1	0	0																																				5	1	8	1																																																									
[Ngoại Trang Cấp 2] Quân Lâm Thiên Hạ	Khoác	1	1	25	58	1	\image\item\equip\armor\armor50f_s.spr	\image\item\equip\armor\armor50f.spr	20				1	50000			1	0	equip	50		lifemax_v	100	100	-1	-1	0	0				-1	-1	0	0	manamax_v	100	100	-1	-1	0	0	attackrating_v	20	20	-1	-1	0	0	damage_all_resist	100	100	-1	-1	0	0																																				5	1	8	0																																																									
[Ngoại Trang Cấp 2] Vân Long Sam	Khoác	1	1	25	59	1	\image\item\equip\armor\fm_ds_armor_D_s.spr	\image\item\equip\armor\fm_ds_armor_D.spr	21				1	50000			1	0	equip		34	lifemax_v	100	100	-1	-1	0	0				-1	-1	0	0	manamax_v	100	100	-1	-1	0	0	attackrating_v	20	20	-1	-1	0	0	damage_all_resist	100	100	-1	-1	0	0																																				5	1	8	1																																																									
[Ngoại Trang Cấp 2] Nghịch Thế Khải	Khoác	1	1	25	60	1	\image\item\equip\armor\ma_ds_armor_D_s.spr	\image\item\equip\armor\ma_ds_armor_D.spr	20				1	50000			1	0	equip	35		lifemax_v	100	100	-1	-1	0	0				-1	-1	0	0	manamax_v	100	100	-1	-1	0	0	attackrating_v	20	20	-1	-1	0	0	damage_all_resist	100	100	-1	-1	0	0																																				5	1	8	0																																																									
[Ngoại Trang Cấp 2] Thanh Sương Y	Khoác	1	1	25	61	1	\image\item\equip\armor\armor47m_s.spr	\image\item\equip\armor\armor47m.spr	20				1	50000			1	0	equip	47		lifemax_v	100	100	-1	-1	0	0				-1	-1	0	0	manamax_v	100	100	-1	-1	0	0	attackrating_v	20	20	-1	-1	0	0	damage_all_resist	30	30	-1	-1	0	0																																				5	1	8	0																																																									
[Ngoại Trang] Lam Điệp Thái Quần	Khoác	1	1	25	62	1	\image\item\equip\armor\armor49f_s.spr	\image\item\equip\armor\armor49f.spr	21				1	50000			1	0	equip		49	lifemax_v	50	50	-1	-1	0	0	manamax_v	50	50	-1	-1	0	0	attackrating_v	10	10	-1	-1	0	0	damage_all_resist	15	15	-1	-1	0	0																																											5	1	8	1																																																									
[Ngoại Trang Cấp 2] Lam Điệp Thái Quần	Khoác	1	1	25	63	1	\image\item\equip\armor\armor49f_s.spr	\image\item\equip\armor\armor49f.spr	21				1	50000			1	0	equip		49	lifemax_v	100	100	-1	-1	0	0	manamax_v	100	100	-1	-1	0	0	attackrating_v	20	20	-1	-1	0	0	damage_all_resist	30	30	-1	-1	0	0																																											5	1	8	1																																																									
[Ngoại Trang] Hoàng Kim Chấn Đán Giáp	Khoác	1	1	25	64	1	\image\item\equip\armor\ma042a1.spr	\image\item\equip\armor\ma042a0.spr	20				1	50000			1	0	equip	51		lifemax_v	50	50	-1	-1	0	0				-1	-1	0	0	manamax_v	50	50	-1	-1	0	0	attackrating_v	10	10	-1	-1	0	0	damage_all_resist	15	15	-1	-1	0	0																																				5	1	8	0																																																									
[Ngoại Trang Cấp 2] Bích Long Nghịch Thế Khải Nam	Khoác	1	1	25	65	1	\image\item\equip\armor\ma042a1.spr	\image\item\equip\armor\ma042a0.spr	20				1	50000			1	0	equip	51		lifemax_v	100	100	-1	-1	0	0				-1	-1	0	0	manamax_v	100	100	-1	-1	0	0	attackrating_v	20	20	-1	-1	0	0	damage_all_resist	30	30	-1	-1	0	0																																				5	1	8	0																																																									
[Ngoại Trang] Hoàng Kim Chấn Đán Sam	Khoác	1	1	25	66	1	\image\item\equip\armor\fm040a1.spr	\image\item\equip\armor\fm040a0.spr	21				1	50000			1	0	equip		51	lifemax_v	50	50	-1	-1	0	0	manamax_v	50	50	-1	-1	0	0	attackrating_v	10	10	-1	-1	0	0	damage_all_resist	15	15	-1	-1	0	0																																											5	1	8	1																																																									
[Ngoại Trang Cấp 2] Bích Long Nghịch Thế Khải Nữ	Khoác	1	1	25	67	1	\image\item\equip\armor\fm040a1.spr	\image\item\equip\armor\fm040a0.spr	21				1	50000			1	0	equip		51	lifemax_v	100	100	-1	-1	0	0	manamax_v	100	100	-1	-1	0	0	attackrating_v	20	20	-1	-1	0	0	damage_all_resist	30	30	-1	-1	0	0																																											5	1	8	1																																																									
[Ngoại Trang] Bích Long Nghịch Thế Khải (Nữ)	Khoác	1	1	25	68	1	\image\item\equip\armor\fm040a1.spr	\image\item\equip\armor\fm040a0.spr	21				1	50000			1	0	equip		51	disguise_part_base	37	37	1	1	1	1																																																																5	1	8	1																																																									
[Ngoại Trang] Bích Long Nghịch Thế Khải (Nam)	Khoác	1	1	25	69	1	\image\item\equip\armor\ma042a1.spr	\image\item\equip\armor\ma042a0.spr	20				1	50000			1	0	equip	51		disguise_part_base	39	39	1	1	1	1																																																																5	1	8	0																																																									
[Ngoại Trang] Long Minh Trang	Không Opt	1	1	25	70	1	\image\item\equip\armor\ma_armor_newyear_s.spr	\image\item\equip\armor\ma_armor_newyear.spr	20				1	50000			1	0	equip	39		disguise_part_base	39	39	1	1	1	1																																																																5	1	8	0																																																									
[Ngoại Trang] Long Dĩnh Sam	Không Opt	1	1	25	71	1	\image\item\equip\armor\fm_armor_newyear_s.spr	\image\item\equip\armor\fm_armor_newyear.spr	21				1	50000			1	0	equip		37	disguise_part_base	37	37	1	1	1	1																																																																5	1	8	1																																																									
[Ngoại Trang] Đào Tịch Tuyết Y	Không Opt	1	1	25	72	1	\image\item\equip\armor\fm_armor_xmas_s.spr	\image\item\equip\armor\fm_armor_xmas.spr	21				1	50000			1	0	equip		44	disguise_part_base	44	44	1	1	1	1																																																																5	1	8	1																																																									
[Ngoại Trang] Sí Nhiễm Hoa Y	Không Opt	1	1	25	73	1	\image\item\equip\armor\ma_armor_xmas_s.spr	\image\item\equip\armor\ma_armor_xmas.spr	20				1	50000			1	0	equip	44		disguise_part_base	44	44	1	1	1	1																																																																5	1	8	0																																																									
[Ngoại Trang] Thanh Sương Y	Không Opt	1	1	25	74	1	\image\item\equip\armor\armor47m_s.spr	\image\item\equip\armor\armor47m.spr	20				1	50000			2	0	equip	47		disguise_part_base	47	47	1	1	1	1																																																																5	1	8	0																																																									
[Ngoại Trang] Hoa Tinh Sa	Không Opt	1	1	25	75	1	\image\item\equip\armor\armor47f_s.spr	\image\item\equip\armor\armor47f.spr	21				1	50000			2	0	equip		47	disguise_part_base	47	47	1	1	1	1																																																																5	1	8	1																																																									
