Name	Id	Genre	DetailType	ParticularType	Level	Series	Bind	ReputeCamp	ReputeClass	ReputeLevel	OfficialLevel	TradeLog	honor	timeout	tongfund	tongenergy	fightpowerrank	goodsindex	goodsprice	valuecoinindex	valuecoinprice
Đao	59	1	1	3	4	2															
Đao	60	1	1	3	5	2															
Đao	61	1	1	3	1	3															
Đao	62	1	1	3	2	3															
Đao	63	1	1	3	3	3															
Đao	64	1	1	3	4	3															
Đao	65	1	1	3	5	3															
Đao	66	1	1	3	1	4															
Đao	67	1	1	3	2	4															
Đao	68	1	1	3	3	4															
Đao	69	1	1	3	4	4															
Đao	70	1	1	3	5	4															
Đao	71	1	1	3	1	5															
Đao	72	1	1	3	2	5															
Đao	73	1	1	3	3	5															
Đao	74	1	1	3	4	5															
Đao	75	1	1	3	5	5															
Côn	76	1	1	4	1	1															
Côn	77	1	1	4	2	1															
Côn	78	1	1	4	3	1															
Côn	79	1	1	4	4	1															
Côn	80	1	1	4	5	1															
Côn	81	1	1	4	1	2															
Côn	82	1	1	4	2	2															
Côn	83	1	1	4	3	2															
Côn	84	1	1	4	4	2															
Côn	85	1	1	4	5	2															
Côn	86	1	1	4	1	3															
Côn	87	1	1	4	2	3															
Côn	88	1	1	4	3	3															
Côn	89	1	1	4	4	3															
Côn	90	1	1	4	5	3															
Côn	91	1	1	4	1	4															
Côn	92	1	1	4	2	4															
Côn	93	1	1	4	3	4															
Côn	94	1	1	4	4	4															
Côn	95	1	1	4	5	4															
Côn	96	1	1	4	1	5															
Côn	97	1	1	4	2	5															
Côn	98	1	1	4	3	5															
Côn	99	1	1	4	4	5															
Côn	100	1	1	4	5	5															
Thương	101	1	1	5	1	1															
Thương	102	1	1	5	2	1															
Thương	103	1	1	5	3	1															
Thương	104	1	1	5	4	1															
Thương	105	1	1	5	5	1															
Thương	106	1	1	5	1	2															
Thương	107	1	1	5	2	2															
Thương	108	1	1	5	3	2															
Thương	109	1	1	5	4	2															
Thương	110	1	1	5	5	2															
Thương	111	1	1	5	1	3															
Thương	112	1	1	5	2	3															
Thương	113	1	1	5	3	3															
Thương	114	1	1	5	4	3															
Thương	115	1	1	5	5	3															
Thương	116	1	1	5	1	4															
Thương	117	1	1	5	2	4															
Thương	118	1	1	5	3	4															
Thương	119	1	1	5	4	4															
Thương	120	1	1	5	5	4															
Thương	121	1	1	5	1	5															
Thương	122	1	1	5	2	5															
Thương	123	1	1	5	3	5															
Thương	124	1	1	5	4	5															
Thương	125	1	1	5	5	5															
Chùy	126	1	1	6	1	1															
Chùy	127	1	1	6	2	1															
Chùy	128	1	1	6	3	1															
Chùy	129	1	1	6	4	1															
Chùy	130	1	1	6	5	1															
Chùy	131	1	1	6	1	2															
Chùy	132	1	1	6	2	2															
Chùy	133	1	1	6	3	2															
Chùy	134	1	1	6	4	2															
Chùy	135	1	1	6	5	2															
Chùy	136	1	1	6	1	3															
Chùy	137	1	1	6	2	3															
Chùy	138	1	1	6	3	3															
Chùy	139	1	1	6	4	3															
Chùy	140	1	1	6	5	3															
Chùy	141	1	1	6	1	4															
Chùy	142	1	1	6	2	4															
Chùy	143	1	1	6	3	4															
Chùy	144	1	1	6	4	4															
Chùy	145	1	1	6	5	4															
Chùy	146	1	1	6	1	5															
Chùy	147	1	1	6	2	5															
Chùy	148	1	1	6	3	5															
Chùy	149	1	1	6	4	5															
Chùy	150	1	1	6	5	5															
Phi đao	176	1	2	2	1	1															
Phi đao	177	1	2	2	2	1															
Phi đao	178	1	2	2	3	1															
Phi đao	179	1	2	2	4	1															
Phi đao	180	1	2	2	5	1															
Phi đao	181	1	2	2	1	2															
Phi đao	182	1	2	2	2	2															
Phi đao	183	1	2	2	3	2															
Phi đao	184	1	2	2	4	2															
Phi đao	185	1	2	2	5	2															
Phi đao	186	1	2	2	1	3															
Phi đao	187	1	2	2	2	3															
Phi đao	188	1	2	2	3	3															
Phi đao	189	1	2	2	4	3															
Phi đao	190	1	2	2	5	3															
Phi đao	191	1	2	2	1	4															
Phi đao	192	1	2	2	2	4															
Phi đao	193	1	2	2	3	4															
Phi đao	194	1	2	2	4	4															
Phi đao	195	1	2	2	5	4															
Phi đao	196	1	2	2	1	5															
Phi đao	197	1	2	2	2	5															
Phi đao	198	1	2	2	3	5															
Phi đao	199	1	2	2	4	5															
Phi đao	200	1	2	2	5	5															
Tụ tiễn	201	1	2	3	1	1															
Tụ tiễn	202	1	2	3	2	1															
Tụ tiễn	203	1	2	3	3	1															
Tụ tiễn	204	1	2	3	4	1															
Tụ tiễn	205	1	2	3	5	1															
Tụ tiễn	206	1	2	3	1	2															
Tụ tiễn	207	1	2	3	2	2															
Tụ tiễn	208	1	2	3	3	2															
Tụ tiễn	209	1	2	3	4	2															
Tụ tiễn	210	1	2	3	5	2															
Tụ tiễn	211	1	2	3	1	3															
Tụ tiễn	212	1	2	3	2	3															
Tụ tiễn	213	1	2	3	3	3															
Tụ tiễn	214	1	2	3	4	3															
Tụ tiễn	215	1	2	3	5	3															
Tụ tiễn	216	1	2	3	1	4															
Tụ tiễn	217	1	2	3	2	4															
Tụ tiễn	218	1	2	3	3	4															
Tụ tiễn	219	1	2	3	4	4															
Tụ tiễn	220	1	2	3	5	4															
Tụ tiễn	221	1	2	3	1	5															
Tụ tiễn	222	1	2	3	2	5															
Tụ tiễn	223	1	2	3	3	5															
Tụ tiễn	224	1	2	3	4	5															
Tụ tiễn	225	1	2	3	5	5															
Áo	226	1	3	2	1	1															
Áo	227	1	3	2	2	1															
Áo	228	1	3	2	3	1															
Áo	229	1	3	2	4	1															
Áo	230	1	3	2	5	1															
Áo	231	1	3	2	1	2															
Áo	232	1	3	2	2	2															
Áo	233	1	3	2	3	2															
Áo	234	1	3	2	4	2															
Áo	235	1	3	2	5	2															
Áo	236	1	3	2	1	3															
Áo	237	1	3	2	2	3															
Áo	238	1	3	2	3	3															
Áo	239	1	3	2	4	3															
Áo	240	1	3	2	5	3															
Áo	241	1	3	2	1	4															
Áo	242	1	3	2	2	4															
Áo	243	1	3	2	3	4															
Áo	244	1	3	2	4	4															
Áo	245	1	3	2	5	4															
Áo	246	1	3	2	1	5															
Áo	247	1	3	2	2	5															
Áo	248	1	3	2	3	5															
Áo	249	1	3	2	4	5															
Áo	250	1	3	2	5	5															
Áo	251	1	3	3	1	1															
Áo	252	1	3	3	2	1															
Áo	253	1	3	3	3	1															
Áo	254	1	3	3	4	1															
Áo	255	1	3	3	5	1															
Áo	256	1	3	3	1	2															
Áo	257	1	3	3	2	2															
Áo	258	1	3	3	3	2															
Áo	259	1	3	3	4	2															
Áo	260	1	3	3	5	2															
Áo	261	1	3	3	1	3															
Áo	262	1	3	3	2	3															
Áo	263	1	3	3	3	3															
Áo	264	1	3	3	4	3															
Áo	265	1	3	3	5	3															
Áo	266	1	3	3	1	4															
Áo	267	1	3	3	2	4															
Áo	268	1	3	3	3	4															
Áo	269	1	3	3	4	4															
Áo	270	1	3	3	5	4															
Áo	271	1	3	3	1	5															
Áo	272	1	3	3	2	5															
Áo	273	1	3	3	3	5															
Áo	274	1	3	3	4	5															
Áo	275	1	3	3	5	5															
Áo	276	1	3	4	1	1															
Áo	277	1	3	4	2	1															
Áo	278	1	3	4	3	1															
Áo	279	1	3	4	4	1															
Áo	280	1	3	4	5	1															
Áo	281	1	3	4	1	2															
Áo	282	1	3	4	2	2															
Áo	283	1	3	4	3	2															
Áo	284	1	3	4	4	2															
Áo	285	1	3	4	5	2															
Áo	286	1	3	4	1	3															
Áo	287	1	3	4	2	3															
Áo	288	1	3	4	3	3															
Áo	289	1	3	4	4	3															
Áo	290	1	3	4	5	3															
Áo	291	1	3	4	1	4															
Áo	292	1	3	4	2	4															
Áo	293	1	3	4	3	4															
Áo	294	1	3	4	4	4															
Áo	295	1	3	4	5	4															
Áo	296	1	3	4	1	5															
Áo	297	1	3	4	2	5															
Áo	298	1	3	4	3	5															
Áo	299	1	3	4	4	5															
Áo	300	1	3	4	5	5															
Áo	301	1	3	6	1	1															
Áo	302	1	3	6	2	1															
Áo	303	1	3	6	3	1															
Áo	304	1	3	6	4	1															
Áo	305	1	3	6	5	1															
Áo	306	1	3	6	1	2															
Áo	307	1	3	6	2	2															
Áo	308	1	3	6	3	2															
Áo	309	1	3	6	4	2															
Áo	310	1	3	6	5	2															
Áo	311	1	3	6	1	3															
Áo	312	1	3	6	2	3															
Áo	313	1	3	6	3	3															
Áo	314	1	3	6	4	3															
Áo	315	1	3	6	5	3															
Áo	316	1	3	6	1	4															
Áo	317	1	3	6	2	4															
Áo	318	1	3	6	3	4															
Áo	319	1	3	6	4	4															
Áo	320	1	3	6	5	4															
Áo	321	1	3	6	1	5															
Áo	322	1	3	6	2	5															
Áo	323	1	3	6	3	5															
Áo	324	1	3	6	4	5															
Áo	325	1	3	6	5	5															
Áo	326	1	3	7	1	1															
Áo	327	1	3	7	2	1															
Áo	328	1	3	7	3	1															
Áo	329	1	3	7	4	1															
Áo	330	1	3	7	5	1															
Áo	331	1	3	7	1	2															
Áo	332	1	3	7	2	2															
Áo	333	1	3	7	3	2															
Áo	334	1	3	7	4	2															
Áo	335	1	3	7	5	2															
Áo	336	1	3	7	1	3															
Áo	337	1	3	7	2	3															
Áo	338	1	3	7	3	3															
Áo	339	1	3	7	4	3															
Áo	340	1	3	7	5	3															
Áo	341	1	3	7	1	4															
Áo	342	1	3	7	2	4															
Áo	343	1	3	7	3	4															
Áo	344	1	3	7	4	4															
Áo	345	1	3	7	5	4															
Áo	346	1	3	7	1	5															
Áo	347	1	3	7	2	5															
Áo	348	1	3	7	3	5															
Áo	349	1	3	7	4	5															
Áo	350	1	3	7	5	5															
Áo	351	1	3	8	1	1															
Áo	352	1	3	8	2	1															
Áo	353	1	3	8	3	1															
Áo	354	1	3	8	4	1															
Áo	355	1	3	8	5	1															
Áo	356	1	3	8	1	2															
Áo	357	1	3	8	2	2															
Áo	358	1	3	8	3	2															
Áo	359	1	3	8	4	2															
Áo	360	1	3	8	5	2															
Áo	361	1	3	8	1	3															
Áo	362	1	3	8	2	3															
Áo	363	1	3	8	3	3															
Áo	364	1	3	8	4	3															
Áo	365	1	3	8	5	3															
Áo	366	1	3	8	1	4															
Áo	367	1	3	8	2	4															
Áo	368	1	3	8	3	4															
Áo	369	1	3	8	4	4															
Áo	370	1	3	8	5	4															
Áo	371	1	3	8	1	5															
Áo	372	1	3	8	2	5															
Áo	373	1	3	8	3	5															
Áo	374	1	3	8	4	5															
Áo	375	1	3	8	5	5															
Giày, thắt lưng	376	1	7	1	1	1															
Giày, thắt lưng	377	1	7	1	2	1															
Giày, thắt lưng	378	1	7	1	3	1															
Giày, thắt lưng	379	1	7	1	4	1															
Giày, thắt lưng	380	1	7	1	5	1															
Giày, thắt lưng	381	1	7	1	1	2															
Giày, thắt lưng	382	1	7	1	2	2															
Giày, thắt lưng	383	1	7	1	3	2															
Giày, thắt lưng	384	1	7	1	4	2															
Giày, thắt lưng	385	1	7	1	5	2															
Giày, thắt lưng	386	1	7	1	1	3															
Giày, thắt lưng	387	1	7	1	2	3															
Giày, thắt lưng	388	1	7	1	3	3															
Giày, thắt lưng	389	1	7	1	4	3															
Giày, thắt lưng	390	1	7	1	5	3															
Giày, thắt lưng	391	1	7	1	1	4															
Giày, thắt lưng	392	1	7	1	2	4															
Giày, thắt lưng	393	1	7	1	3	4															
Giày, thắt lưng	394	1	7	1	4	4															
Giày, thắt lưng	395	1	7	1	5	4															
Giày, thắt lưng	396	1	7	1	1	5															
Giày, thắt lưng	397	1	7	1	2	5															
Giày, thắt lưng	398	1	7	1	3	5															
Giày, thắt lưng	399	1	7	1	4	5															
Giày, thắt lưng	400	1	7	1	5	5															
Giày, thắt lưng	401	1	7	2	1	1															
Giày, thắt lưng	402	1	7	2	2	1															
Giày, thắt lưng	403	1	7	2	3	1															
Giày, thắt lưng	404	1	7	2	4	1															
Giày, thắt lưng	405	1	7	2	5	1															
Giày, thắt lưng	406	1	7	2	1	2															
Giày, thắt lưng	407	1	7	2	2	2															
Giày, thắt lưng	408	1	7	2	3	2															
Giày, thắt lưng	409	1	7	2	4	2															
Giày, thắt lưng	410	1	7	2	5	2															
Giày, thắt lưng	411	1	7	2	1	3															
Giày, thắt lưng	412	1	7	2	2	3															
Giày, thắt lưng	413	1	7	2	3	3															
Giày, thắt lưng	414	1	7	2	4	3															
Giày, thắt lưng	415	1	7	2	5	3															
Giày, thắt lưng	416	1	7	2	1	4															
Giày, thắt lưng	417	1	7	2	2	4															
Giày, thắt lưng	418	1	7	2	3	4															
Giày, thắt lưng	419	1	7	2	4	4															
Giày, thắt lưng	420	1	7	2	5	4															
Giày, thắt lưng	421	1	7	2	1	5															
Giày, thắt lưng	422	1	7	2	2	5															
Giày, thắt lưng	423	1	7	2	3	5															
Giày, thắt lưng	424	1	7	2	4	5															
Giày, thắt lưng	425	1	7	2	5	5															
Giày, thắt lưng	426	1	8	1	1	1															
Giày, thắt lưng	427	1	8	1	2	1															
Giày, thắt lưng	428	1	8	1	3	1															
Giày, thắt lưng	429	1	8	1	4	1															
Giày, thắt lưng	430	1	8	1	5	1															
Giày, thắt lưng	431	1	8	1	1	2															
Giày, thắt lưng	432	1	8	1	2	2															
Giày, thắt lưng	433	1	8	1	3	2															
Giày, thắt lưng	434	1	8	1	4	2															
Giày, thắt lưng	435	1	8	1	5	2															
Giày, thắt lưng	436	1	8	1	1	3															
Giày, thắt lưng	437	1	8	1	2	3															
Giày, thắt lưng	438	1	8	1	3	3															
Giày, thắt lưng	439	1	8	1	4	3															
Giày, thắt lưng	440	1	8	1	5	3															
Giày, thắt lưng	441	1	8	1	1	4															
Giày, thắt lưng	442	1	8	1	2	4															
Giày, thắt lưng	443	1	8	1	3	4															
Giày, thắt lưng	444	1	8	1	4	4															
Giày, thắt lưng	445	1	8	1	5	4															
Giày, thắt lưng	446	1	8	1	1	5															
Giày, thắt lưng	447	1	8	1	2	5															
Giày, thắt lưng	448	1	8	1	3	5															
Giày, thắt lưng	449	1	8	1	4	5															
Giày, thắt lưng	450	1	8	1	5	5															
Giày, thắt lưng	451	1	8	2	1	1															
Giày, thắt lưng	452	1	8	2	2	1															
Giày, thắt lưng	453	1	8	2	3	1															
Giày, thắt lưng	454	1	8	2	4	1															
Giày, thắt lưng	455	1	8	2	5	1															
Giày, thắt lưng	456	1	8	2	1	2															
Giày, thắt lưng	457	1	8	2	2	2															
Giày, thắt lưng	458	1	8	2	3	2															
Giày, thắt lưng	459	1	8	2	4	2															
Giày, thắt lưng	460	1	8	2	5	2															
Giày, thắt lưng	461	1	8	2	1	3															
Giày, thắt lưng	462	1	8	2	2	3															
Giày, thắt lưng	463	1	8	2	3	3															
Giày, thắt lưng	464	1	8	2	4	3															
Giày, thắt lưng	465	1	8	2	5	3															
Giày, thắt lưng	466	1	8	2	1	4															
Giày, thắt lưng	467	1	8	2	2	4															
Giày, thắt lưng	468	1	8	2	3	4															
Giày, thắt lưng	469	1	8	2	4	4															
Giày, thắt lưng	470	1	8	2	5	4															
Giày, thắt lưng	471	1	8	2	1	5															
Giày, thắt lưng	472	1	8	2	2	5															
Giày, thắt lưng	473	1	8	2	3	5															
Giày, thắt lưng	474	1	8	2	4	5															
Giày, thắt lưng	475	1	8	2	5	5															
Nón	476	1	9	2	1	1															
Nón	477	1	9	2	2	1															
Nón	478	1	9	2	3	1															
Nón	479	1	9	2	4	1															
Nón	480	1	9	2	5	1															
Nón	481	1	9	2	1	2															
Nón	482	1	9	2	2	2															
Nón	483	1	9	2	3	2															
Nón	484	1	9	2	4	2															
Nón	485	1	9	2	5	2															
Nón	486	1	9	2	1	3															
Nón	487	1	9	2	2	3															
Nón	488	1	9	2	3	3															
Nón	489	1	9	2	4	3															
Nón	490	1	9	2	5	3															
Nón	491	1	9	2	1	4															
Nón	492	1	9	2	2	4															
Nón	493	1	9	2	3	4															
Nón	494	1	9	2	4	4															
Nón	495	1	9	2	5	4															
Nón	496	1	9	2	1	5															
Nón	497	1	9	2	2	5															
Nón	498	1	9	2	3	5															
Nón	499	1	9	2	4	5															
Nón	500	1	9	2	5	5															
Nón	501	1	9	3	1	1															
Nón	502	1	9	3	2	1															
Nón	503	1	9	3	3	1															
Nón	504	1	9	3	4	1															
Nón	505	1	9	3	5	1															
Nón	506	1	9	3	1	2															
Nón	507	1	9	3	2	2															
Nón	508	1	9	3	3	2															
Nón	509	1	9	3	4	2															
Nón	510	1	9	3	5	2															
Nón	511	1	9	3	1	3															
Nón	512	1	9	3	2	3															
Nón	513	1	9	3	3	3															
Nón	514	1	9	3	4	3															
Nón	515	1	9	3	5	3															
Nón	516	1	9	3	1	4															
Nón	517	1	9	3	2	4															
Nón	518	1	9	3	3	4															
Nón	519	1	9	3	4	4															
Nón	520	1	9	3	5	4															
Nón	521	1	9	3	1	5															
Nón	522	1	9	3	2	5															
Nón	523	1	9	3	3	5															
Nón	524	1	9	3	4	5															
Nón	525	1	9	3	5	5															
Nón	526	1	9	4	1	1															
Nón	527	1	9	4	2	1															
Nón	528	1	9	4	3	1															
Nón	529	1	9	4	4	1															
Nón	530	1	9	4	5	1															
Nón	531	1	9	4	1	2															
Nón	532	1	9	4	2	2															
Nón	533	1	9	4	3	2															
Nón	534	1	9	4	4	2															
Nón	535	1	9	4	5	2															
Nón	536	1	9	4	1	3															
Nón	537	1	9	4	2	3															
Nón	538	1	9	4	3	3															
Nón	539	1	9	4	4	3															
Nón	540	1	9	4	5	3															
Nón	541	1	9	4	1	4															
Nón	542	1	9	4	2	4															
Nón	543	1	9	4	3	4															
Nón	544	1	9	4	4	4															
Nón	545	1	9	4	5	4															
Nón	546	1	9	4	1	5															
Nón	547	1	9	4	2	5															
Nón	548	1	9	4	3	5															
Nón	549	1	9	4	4	5															
Nón	550	1	9	4	5	5															
Nón	551	1	9	6	1	1															
Nón	552	1	9	6	2	1															
Nón	553	1	9	6	3	1															
Nón	554	1	9	6	4	1															
Nón	555	1	9	6	5	1															
Nón	556	1	9	6	1	2															
Nón	557	1	9	6	2	2															
Nón	558	1	9	6	3	2															
Nón	559	1	9	6	4	2															
Nón	560	1	9	6	5	2															
Nón	561	1	9	6	1	3															
Nón	562	1	9	6	2	3															
Nón	563	1	9	6	3	3															
Nón	564	1	9	6	4	3															
Nón	565	1	9	6	5	3															
Nón	566	1	9	6	1	4															
Nón	567	1	9	6	2	4															
Nón	568	1	9	6	3	4															
Nón	569	1	9	6	4	4															
Nón	570	1	9	6	5	4															
Nón	571	1	9	6	1	5															
Nón	572	1	9	6	2	5															
Nón	573	1	9	6	3	5															
Nón	574	1	9	6	4	5															
Nón	575	1	9	6	5	5															
Nón	576	1	9	7	1	1															
Nón	577	1	9	7	2	1															
Nón	578	1	9	7	3	1															
Nón	579	1	9	7	4	1															
Nón	580	1	9	7	5	1															
Nón	581	1	9	7	1	2															
Nón	582	1	9	7	2	2															
Nón	583	1	9	7	3	2															
Nón	584	1	9	7	4	2															
Nón	585	1	9	7	5	2															
Nón	586	1	9	7	1	3															
Nón	587	1	9	7	2	3															
Nón	588	1	9	7	3	3															
Nón	589	1	9	7	4	3															
Nón	590	1	9	7	5	3															
Nón	591	1	9	7	1	4															
Nón	592	1	9	7	2	4															
Nón	593	1	9	7	3	4															
Nón	594	1	9	7	4	4															
Nón	595	1	9	7	5	4															
Nón	596	1	9	7	1	5															
Nón	597	1	9	7	2	5															
Nón	598	1	9	7	3	5															
Nón	599	1	9	7	4	5															
Nón	600	1	9	7	5	5															
Nón	601	1	9	8	1	1															
Nón	602	1	9	8	2	1															
Nón	603	1	9	8	3	1															
Nón	604	1	9	8	4	1															
Nón	605	1	9	8	5	1															
Nón	606	1	9	8	1	2															
Nón	607	1	9	8	2	2															
Nón	608	1	9	8	3	2															
Nón	609	1	9	8	4	2															
Nón	610	1	9	8	5	2															
Nón	611	1	9	8	1	3															
Nón	612	1	9	8	2	3															
Nón	613	1	9	8	3	3															
Nón	614	1	9	8	4	3															
Nón	615	1	9	8	5	3															
Nón	616	1	9	8	1	4															
Nón	617	1	9	8	2	4															
Nón	618	1	9	8	3	4															
Nón	619	1	9	8	4	4															
Nón	620	1	9	8	5	4															
Nón	621	1	9	8	1	5															
Nón	622	1	9	8	2	5															
Nón	623	1	9	8	3	5															
Nón	624	1	9	8	4	5															
Nón	625	1	9	8	5	5															
Hộ uyển, thủ trạc	626	1	10	1	1	1															
Hộ uyển, thủ trạc	627	1	10	1	2	1															
Hộ uyển, thủ trạc	628	1	10	1	3	1															
Hộ uyển, thủ trạc	629	1	10	1	4	1															
Hộ uyển, thủ trạc	630	1	10	1	5	1															
Hộ uyển, thủ trạc	631	1	10	1	1	2															
Hộ uyển, thủ trạc	632	1	10	1	2	2															
Hộ uyển, thủ trạc	633	1	10	1	3	2															
Hộ uyển, thủ trạc	634	1	10	1	4	2															
Hộ uyển, thủ trạc	635	1	10	1	5	2															
Hộ uyển, thủ trạc	636	1	10	1	1	3															
Hộ uyển, thủ trạc	637	1	10	1	2	3															
Hộ uyển, thủ trạc	638	1	10	1	3	3															
Hộ uyển, thủ trạc	639	1	10	1	4	3															
Hộ uyển, thủ trạc	640	1	10	1	5	3															
Hộ uyển, thủ trạc	641	1	10	1	1	4															
Hộ uyển, thủ trạc	642	1	10	1	2	4															
Hộ uyển, thủ trạc	643	1	10	1	3	4															
Hộ uyển, thủ trạc	644	1	10	1	4	4															
Hộ uyển, thủ trạc	645	1	10	1	5	4															
Hộ uyển, thủ trạc	646	1	10	1	1	5															
Hộ uyển, thủ trạc	647	1	10	1	2	5															
Hộ uyển, thủ trạc	648	1	10	1	3	5															
Hộ uyển, thủ trạc	649	1	10	1	4	5															
Hộ uyển, thủ trạc	650	1	10	1	5	5															
Hộ uyển, thủ trạc	651	1	10	2	1	1															
Hộ uyển, thủ trạc	652	1	10	2	2	1															
Hộ uyển, thủ trạc	653	1	10	2	3	1															
Hộ uyển, thủ trạc	654	1	10	2	4	1															
Hộ uyển, thủ trạc	655	1	10	2	5	1															
Hộ uyển, thủ trạc	656	1	10	2	1	2															
Hộ uyển, thủ trạc	657	1	10	2	2	2															
Hộ uyển, thủ trạc	658	1	10	2	3	2															
Hộ uyển, thủ trạc	659	1	10	2	4	2															
Hộ uyển, thủ trạc	660	1	10	2	5	2															
Hộ uyển, thủ trạc	661	1	10	2	1	3															
Hộ uyển, thủ trạc	662	1	10	2	2	3															
Hộ uyển, thủ trạc	663	1	10	2	3	3															
Hộ uyển, thủ trạc	664	1	10	2	4	3															
Hộ uyển, thủ trạc	665	1	10	2	5	3															
Hộ uyển, thủ trạc	666	1	10	2	1	4															
Hộ uyển, thủ trạc	667	1	10	2	2	4															
Hộ uyển, thủ trạc	668	1	10	2	3	4															
Hộ uyển, thủ trạc	669	1	10	2	4	4															
Hộ uyển, thủ trạc	670	1	10	2	5	4															
Hộ uyển, thủ trạc	671	1	10	2	1	5															
Hộ uyển, thủ trạc	672	1	10	2	2	5															
Hộ uyển, thủ trạc	673	1	10	2	3	5															
Hộ uyển, thủ trạc	674	1	10	2	4	5															
Hộ uyển, thủ trạc	675	1	10	2	5	5															
Dược phẩm	676	17	1	1	1	0															
Dược phẩm	677	17	1	1	2	0															
Dược phẩm	678	17	1	1	3	0															
Dược phẩm	679	17	1	1	4	0															
Dược phẩm	680	17	1	1	5	0															
Dược phẩm	681	17	2	1	1	0															
Dược phẩm	682	17	2	1	2	0															
Dược phẩm	683	17	2	1	3	0															
Dược phẩm	684	17	2	1	4	0															
Dược phẩm	685	17	2	1	5	0															
Dược phẩm	686	17	3	1	1	0															
Dược phẩm	687	17	3	1	2	0															
Dược phẩm	688	17	3	1	3	0															
Dược phẩm	689	17	3	1	4	0															
Dược phẩm	690	17	3	1	5	0															
Dược phẩm	691	17	4	1	1	0															
Dược phẩm	692	17	4	1	2	0															
Dược phẩm	693	17	4	1	3	0															
Dược phẩm	694	17	4	1	4	0															
Dược phẩm	695	17	4	1	5	0															
Dược phẩm	696	17	5	1	1	0															
Dược phẩm	697	17	5	1	2	0															
Dược phẩm	698	17	5	1	3	0															
Dược phẩm	699	17	5	1	4	0															
Dược phẩm	700	17	5	1	5	0															
Chiêu Thư Tống Kim	701	18	1	27	1	0															
Truyền Tống Phù (môn phái)	702	18	1	19	1	0															
Truyền Tống Phù (Tân Thủ Thôn)	712	18	1	3	1	0															
Truyền Tống Phù (Thành thị)	713	18	1	4	1	0															
Hồi Thành Phù	714	18	1	7	1	0															
Đồng khoáng thạch	716	22	1	1	1	0															
Tích khoáng thạch	717	22	1	1	2	0															
Thiết khoáng thạch	718	22	1	1	3	0															
Ngân khoáng thạch	719	22	1	1	4	0															
Kim khoáng thạch	720	22	1	1	5	0															
Ô kim khoáng thạch	721	22	1	1	6	0															
Tử kim khoáng thạch	722	22	1	1	7	0															
Hàn thiết khoáng thạch	723	22	1	1	8	0															
Huyền thiết khoáng thạch	724	22	1	1	9	0															
Vẫn thiết khoáng thạch	725	22	1	1	10	0															
Vũ hoa thạch	726	22	1	3	1	0															
Hổ tinh thạch	727	22	1	3	2	0															
Băng thạch	728	22	1	3	3	0															
Kê huyết thạch	729	22	1	3	4	0															
Kim hồng thạch	730	22	1	3	5	0															
Khổng tước thạch	731	22	1	3	6	0															
Bồ đào thạch	732	22	1	3	7	0															
