Kind	Name	FactionId	RouteId	Skill10	Skill20	Skill30	Skill40	Skill50	Skill60	Skill70	Skill80	Skill90	Skill100	Skill110	LeftSkill	RightSkill
89	Khí Võ Đang	9	1	20|4	10	10|6	20	20|3	10|5	20|7	10	0	0	0	50	-1
89	Kiếm Võ Đang	9	2	20|4	10	10|5	20	20|3	10	20|6	10	0	0	0	50	-1
89	Đao Côn Lôn	10	1	20|4	10	10	20|6	20|3	10|5	20|7	10	0	0	0	50	-1
89	Kiếm Côn Lôn	10	2	20|4	10	10	20|6	20|3	10|5	20|7	10	0	0	0	50	-1
89	Chùy Minh Giáo	11	1	20|4	10	10	20|5	20|3	10|6	20	10	0	0	0	50	-1
89	Kiếm Minh Giáo	11	2	20|4	10	10	20	20|3	10|5	20	10	0	0	0	50	-1
89	Chỉ Đoàn Thị	12	1	20|4	10	10|5	20|6	20|3	10	20	10	0	0	0	50	-1
89	Khí Đoàn Thị	12	2	20|4	10	10|5	20|6	20|3	10	20	10	0	0	0	50	-1
110	Đao Thiếu Lâm	1	1	1|5	10	10	20|7	1|4	10	17|6	20	20|3	10	0	90	-1
110	Côn Thiếu Lâm	1	2	1|5	10	10|6	20|7	1|4	7	20	20	20|3	10	0	90	-1
110	Thương Thiên Vương	2	1	1|5	10	10|7	17	1|4	10	20|6	20	20|3	10	0	90	-1
110	Chùy Thiên Vương	2	2	1|5	10	10|7	17	1|4	10	20|6	20	20|3	10	0	90	-1
110	Hãm Tĩnh Đường Môn	3	1	20|5	10	10|7	0	20|4	0	9|6	20	20|3	10	0	90	-1
110	Tụ Tiễn Đường Môn	3	2	1|5	10	10|6	20|7	1|4	10|8	20	17	20|3	10	0	90	-1
110	Đao Ngũ Độc	4	1	1|5	10	10|7	20	1|4	10|6	20|8	17	20|3	10	0	90	-1
110	Chưởng Ngũ Độc	4	2	1|5	10	10	18	20|4	10	0	20	20|3	10	0	90	-1
110	Chưởng Nga My	5	1	1|5	10	10	20	1|4	10	17	20	20|3	10	0	90	-1
110	Phụ Trợ Nga My	5	2	20|3	10	10|4	20	20|6	0	9|5	0	20	10	0	10	-1
110	Kiếm Thúy Yên	6	1	1|5	10	10	17|6	1|4	10	20	20	20|3	10	0	90	-1
110	Đao Thúy Yên	6	2	17|5	10	10|6	20|7	1|4	10	20	1	20|3	10	0	90	-1
110	Chưởng Cái Bang	7	1	1|5	10	10	1|6	17|4	10|7	20	20	20|3	10	0	90	-1
110	Côn Cái Bang	7	2	1|5	10	10	17|6	1|4	10|7	20	20	20|3	10	0	90	-1
110	Chiến Nhẫn	8	1	1|5	10	0	20	8|4	10|6	20|7	20	20|3	10	0	90	-1
110	Ma Nhẫn	8	2	1|5	10	10|6	20	8|4	10|7	10|8	20	20|3	10	0	90	-1
110	Khí Võ Đang	9	1	1|5	10	7|7	20	1|4	10|6	20|8	20	20|3	10	0	90	-1
110	Kiếm Võ Đang	9	2	1|5	10	7|6	20	1|4	10	20|7	20	20|3	10	0	90	-1
110	Đao Côn Lôn	10	1	1|5	10	10	20|7	1|4	10|6	20|8	17	20|3	10	0	90	-1
110	Kiếm Côn Lôn	10	2	1|5	10	10	16|7	20|4	1|6	20|8	11	20|3	10	0	90	-1
110	Chùy Minh Giáo	11	1	1|5	10	1|6	20	7|4	10|7	20	20	20|3	10	0	90	-1
110	Kiếm Minh Giáo	11	2	1|5	10	10	18	20|4	10|6	0	20	20|3	10	0	90	-1
110	Chỉ Đoàn Thị	12	1	1|5	10	10|6	20|7	1|4	10	17	20	20|3	10	0	90	-1
110	Khí Đoàn Thị	12	2	1|5	10	10|6	8|7	20|4	0	20	20	20|3	10	0	90	-1
119	Đao Thiếu Lâm	1	1	0	10	10	20|9	0	10	20|8	20	20|2	10	10|3	90	110
119	Côn Thiếu Lâm	1	2	0	10	10|3	20|9	0	10	20	20	20|2	10	10|5	90	110
119	Thương Thiên Vương	2	1	0	10	10|3	20	0	10	20|8	20	20|2	10	10|5	90	30
119	Chùy Thiên Vương	2	2	0	10	10|3	20	0	10	20|8	20	20|2	10	10	90	30
119	Hãm Tĩnh Đường Môn	3	1	20|2	10	10	0	1	10|5	20|5	20	20|2	10	10	50	30
119	Tụ Tiễn Đường Môn	3	2	0	10	10	20|9	0	10|3	20	20	20|2	10	10	90	110
119	Đao Ngũ Độc	4	1	0	10	10|9	20	0	10|7	20|5	20	20|2	10	10|3	90	110
119	Chưởng Ngũ Độc	4	2	0	10	10	20	0	10	20|5	20	20|2	10	10|3	90	110
119	Chưởng Nga My	5	1	0	10	10|3	20|9	0	10	20	20	20|2	10	10|8	90	90
119	Phụ Trợ Nga My	5	2	0	1	10|3	20	20|9	0	20	20	20	10	10|2	110	50
119	Kiếm Thúy Yên	6	1	0	10	10	20|8	0	10	20|9	20	20|2	10	10|5	90	110
119	Đao Thúy Yên	6	2	0	10	10|3	20|8	0	10	20	20	20|2	10	10	90	110
119	Chưởng Cái Bang	7	1	0	10	10	20|8	7|2	10|5	20	20	20|3	10	10	90	60
119	Côn Cái Bang	7	2	0	10	10	20|8	0	10|3	20	20	20	10	10|2	90	110
119	Chiến Nhẫn	8	1	0	10	10|7	20	0	10	20|3	20	20|2	10	10|5	90	30
119	Ma Nhẫn	8	2	1|4	10	10|5	20	0	10|5	20|3	20	20|2	10	10	90	70
119	Khí Võ Đang	9	1	0	10	6|8	20	0	10|3	20|9	20	20|2	10	10|5	90	90
119	Kiếm Võ Đang	9	2	0	10	4|8	20	0	10	20|9	20	20|2	10	10	90	-1
119	Đao Côn Lôn	10	1	0	10	10	20|8	0	10|7	20|8	20	20|2	10	10|9	90	110
119	Kiếm Côn Lôn	10	2	1	10	10	1|8	20|2	10|5	20|8	20	20|3	10	10|9	10	50
119	Chùy Minh Giáo	11	1	0	10	1|3	20	20|5	10|9	11	20	20|2	10	10	90	50
119	Kiếm Minh Giáo	11	2	1	10	10	20	1|2	10|5	20	20	20|3	10	10|5	10	70
119	Chỉ Đoàn Thị	12	1	0	10	10	20|3	0	10	20	20	20|2	10	10|5	90	30
119	Khí Đoàn Thị	12	2	20|7	10	10|9	1|8	15|2	0	20	20	20|3	10	6|5	90	110
