Id	NPCId	EffectNpcId	Type	TypeLevel	LifeRatio	Rate	IsDrop	name
145	3188	6170	4	2	20	30	0	Thủ Lĩnh Sấm Cốc Tặc
146	3292	6171	4	2	20	30	0	Thủ Lĩnh Sấm Cốc Tặc
147	3192	6172	4	2	20	30	0	Cơ Quan Nhân Cuồng Bạo
148	3193	6173	4	2	20	30	0	Cơ Quan Nhân Cuồng Bạo
149	3194	6174	4	2	20	30	0	Cơ Quan Nhân Cuồng Bạo
150	3324	6175	4	2	20	30	0	Cơ Quan Nhân Cuồng Bạo
151	3235	6176	4	2	20	30	0	Thống Lĩnh Ngô Quân
152	3236	6177	4	2	20	30	0	Ngụy Binh
153	3282	6178	4	2	20	30	0	Ngô Binh
154	3195	6179	4	2	20	30	0	Quân Viễn Chinh
155	3196	6180	4	2	20	30	0	Quân Viễn Chinh
156	3198	6181	4	2	20	30	0	Cường Đạo
157	3199	6182	4	2	20	30	0	Cường Đạo
158	3200	6183	4	2	20	30	0	Cường Đạo
159	3201	6184	4	2	20	30	0	Cường Đạo
160	3202	6185	4	2	20	30	0	Cường Đạo
161	3203	6186	4	2	20	30	0	Thủ Lĩnh Cường Đạo
162	3204	6187	4	2	20	30	0	Bổ Khoái
163	3205	6188	4	2	20	30	0	Bổ Khoái Vũ Trang
164	3206	6189	4	2	20	30	0	Truy Tông Giả
165	3207	6190	4	2	20	30	0	Tầm Bảo Giả
166	3209	6191	4	2	20	30	0	Thống Lĩnh Ngụy Quân
167	3210	6192	4	2	20	30	0	Trưởng Thị Vệ
168	3211	6193	4	2	20	30	0	Trưởng Thị Vệ
169	3212	6194	4	2	20	30	0	Trưởng Thị Vệ
170	3213	6195	4	2	20	30	0	Trưởng Thị Vệ
171	3214	6196	4	2	20	30	0	Trúc Diệp Thanh
172	3216	6197	4	2	20	30	0	Khương Quách Lai
173	3217	6198	4	2	20	30	0	Ngô Kiến
174	3224	6199	4	2	20	30	0	Dị Thú
175	3225	6129	4	2	20	30	0	Sát Đại Mục
176	3226	6129	4	2	20	30	0	Sát Đại Mục
177	3227	6130	4	2	20	30	0	Tử Uyển
178	3228	6131	4	2	20	30	0	Tần Trọng
179	3229	6200	4	2	20	30	0	U Minh Quỷ Vương
180	3233	6201	4	2	20	30	0	Cường Đạo
181	3241	6132	4	2	20	30	0	Mộc Siêu
182	3244	6133	4	2	20	30	0	Hạ Tiểu Sảnh
183	3246	6202	4	2	20	30	0	Đốc Quân
184	3286	6203	4	2	20	30	0	Nhậm Diễu
185	3294	6204	4	2	20	30	0	Thị Vệ
186	3295	6205	4	2	20	30	0	Thị Vệ
187	3296	6206	4	2	20	30	0	Thị Vệ
188	3297	6207	4	2	20	30	0	Thị Vệ
189	3301	6208	4	2	20	30	0	Tiêu Bất Thực
190	4660	6209	4	2	20	30	0	Thập Phu Trường
191	4662	6210	4	2	20	30	0	Bách Phu Trường
192	4663	6211	4	2	20	30	0	Kim Đại Tướng
193	4665	6134	4	2	20	30	0	Bảo Ngọc
194	4666	6212	4	2	20	30	0	Oanh Oanh
195	4667	6213	4	2	20	30	0	Lão Ma Tử
196	4674	6214	4	2	20	30	0	Hộ Kỳ Vệ Binh
197	5005	6215	4	2	20	30	0	Trương Đức Hằng
198	5006	6216	4	2	20	30	0	Trương Đức Giang
199	5007	6217	4	2	20	30	0	Trương Đức Hải
200	5008	6218	4	2	20	30	0	Trương Đức Hồ
201	5009	6219	4	2	20	30	0	Trương Đức Hành
202	5010	6220	4	2	20	30	0	Trương Đức Hành
203	5011	6221	4	2	20	30	0	Trương Đức Hành
204	5012	6222	4	2	20	30	0	Trương Đức Hoàn
205	5013	6223	4	2	20	30	0	Trương Đức Hoàn
206	5014	6224	4	2	20	30	0	Trương Đức Hoàn
207	5015	6225	4	2	20	30	0	Trương Đắc Hằng
208	5016	6226	4	2	20	30	0	Trương Đắc Giang
209	5017	6227	4	2	20	30	0	Trương Đắc Hải
210	5018	6228	4	2	20	30	0	Trương Đắc Hồ
211	5019	6229	4	2	20	30	0	Trương Đắc Hoành
212	5020	6230	4	2	20	30	0	Trương Đắc Hành
213	5021	6231	4	2	20	30	0	Trương Đắc Hành
214	5022	6232	4	2	20	30	0	Trương Đắc Hoàn
215	5023	6233	4	2	20	30	0	Trương Đắc Hoàn
216	5024	6234	4	2	20	30	0	Trương Đắc Hoàn
217	5025	6235	4	2	20	30	0	Trương Đích Hằng
218	5026	6236	4	2	20	30	0	Trương Đích Giang
219	5027	6237	4	2	20	30	0	Trương Đích Hải
220	5028	6238	4	2	20	30	0	Trương Đích Hồ
221	5029	6239	4	2	20	30	0	Trương Đích Hoành
222	5030	6240	4	2	20	30	0	Trương Đích Hành
223	5031	6241	4	2	20	30	0	Trương Đích Hành
224	5032	6242	4	2	20	30	0	Trương Đích Hoàn
225	5033	6243	4	2	20	30	0	Trương Đích Hoàn
226	5034	6244	4	2	20	30	0	Trương Đích Hoàn
227	5035	6245	4	2	20	30	0	Trương Đô Hằng
228	5036	6246	4	2	20	30	0	Trương Đô Giang
229	5037	6247	4	2	20	30	0	Trương Đô Hải
230	5038	6248	4	2	20	30	0	Trương Đô Hồ
231	5039	6249	4	2	20	30	0	Trương Đô Hoành
232	5040	6250	4	2	20	30	0	Trương Đô Hành
233	5041	6251	4	2	20	30	0	Trương Đô Hành
234	5042	6252	4	2	20	30	0	Trương Đô Hoàn
235	5043	6253	4	2	20	30	0	Trương Đô Hoàn
236	5044	6254	4	2	20	30	0	Trương Đô Hoàn
237	6135	6135	8	2	20	30	0	Hạ Hầu Tiểu Tiểu
238	6136	6136	8	2	20	30	0	Đông Phương Nhược Hàn
239	6801	6801	10	2	20	30	0	Xi Vưu
240	6802	6802	10	2	20	30	0	Tử Tô
241	6803	6803	11	2	20	30	0	Diệp Tịnh
242	6804	6804	12	2	20	30	0	Hạ Hầu Tiểu Tiểu
243	6805	6805	12	2	20	30	0	Đông Phương Nhược Hàn
244	6800	6208	13	2	20	30	0	Tiêu Bất Thực
245	7060	6804	14	2	20	30	0	Hạ Hầu Tiểu Tiểu
246	6916	6916	4	2	20	30	0	Diệp Tịnh
247	6725	6725	14	2	20	30	0	Hạ Tiểu Sảnh
248	6726	6726	14	2	20	30	0	Tử Uyển
249	6727	6727	13	2	20	30	0	Bảo Ngọc
250	6728	6728	13	2	20	30	0	Diệp Tịnh
251	6729	6729	11	2	20	30	0	Bảo Ngọc
252	7157	7157	13	2	20	30	0	Tử Uyển
253	7158	7158	11	2	20	30	0	Tử Uyển
254	7224	7224	13	2	20	30	0	Đông Phương Nhược Hàn
255	7225	7225	15	2	20	30	0	Thiên Thiên
256	7226	7226	13	2	20	30	0	Mộc Siêu
257	9535	9535	16	2	20	30	0	Cô bé bán diêm
