MapId	MapName	Xpos1	Ypos1	Xpos2	Ypos2
122	Mạc Bắc Thảo Nguyên	533	41	0	0
123	Đôn Hoàng Cổ Thành	77	127	0	0
124	Hoạt Tử Nhân Mộ	362	270	0	0
125	Đại Vũ Đài	758	260	0	0
126	Tam Hiệp Sạn Đạo	496	470	0	0
127	Xi Vưu Động	445	728	0	0
128	Tỏa Vân Uyên	679	729	0	0
129	Phục Lưu Động	457	603	0	0
130	Mông Cổ Vương Đình	400	47	0	0
131	Nguyệt Nha Tuyền	47	159	0	0
132	Tàn Tích Cung A Phòng	343	332	0	0
133	Lương Sơn Bạc	842	228	0	0
134	Thần Nữ Phong	543	505	0	0
135	Tàn Tích Dạ Lang	331	632	0	0
136	Cổ Lãng Dữ	836	720	0	0
137	Đào Hoa Nguyên	469	654	0	0
