Name	Kind	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	Stack	ItemValue	MakeCost	BindType	Valuable	ReqLevel	ClassName	ForbidType	CanBeOffer	Shortcut	CDType	ExtParam1	ExtParam2	ExtParam3	ExtParam4	ExtParam5	ExtParam6	ExtParam7	ExtParam8	ExtParam9	ExtParam10	ExtParam11	ExtParam12	ExtParam13	ExtParam14	ExtParam15	ExtParam16	ExtParam17	ExtParam18	ExtParam19	ExtParam20	Effect	UnLockInterval
Kim Tê (cấp 2)	Kim Tê (cấp 2)	18	1	2	2	\image\item\other\scriptitem\jinxi_s.spr		35	Đá quý có thần lực, có thể phục hồi độ bền lớn nhất của trang bị. <color=gold>Nhấn chuột phải để dùng.<color>		0	1	1	6000		0	0		jinxi					1000																					
Kim Tê (cấp 3)	Kim Tê (cấp 3)	18	1	2	3	\image\item\other\scriptitem\jinxi_s.spr		35	Đá quý có thần lực, có thể phục hồi độ bền lớn nhất của trang bị. <color=gold>Nhấn chuột phải để dùng.<color>		0	1	1	60000		0	1		jinxi					10000																					
Kim Tê (cấp 4)	Kim Tê (cấp 4)	18	1	2	4	\image\item\other\scriptitem\jinxi_s.spr		35	Đá quý có thần lực, có thể phục hồi độ bền lớn nhất của trang bị. <color=gold>Nhấn chuột phải để dùng.<color>		0	1	1	600000		0	1		jinxi					100000																					
Kim Tê (cấp 5)	Kim Tê (cấp 5)	18	1	2	5	\image\item\other\scriptitem\jinxi_s.spr		35	Đá quý có thần lực, có thể phục hồi độ bền lớn nhất của trang bị. <color=gold>Nhấn chuột phải để dùng.<color>		0	1	1	6000000		0	0		jinxi																										
Truyền Tống Phù (Tân Thủ Thôn)	Truyền Tống Phù (Tân Thủ Thôn)	18	1	3	1	\image\item\other\scriptitem\huichengfu_s.spr		32	Phù chỉ thần kỳ, có thể đưa bạn đến bất kỳ một Tân Thủ Thôn nào đó. <color=gold>Nhấn chuột phải để dùng.<color>		0	300	1	1		0	0		chuansongfu	chuansong		1																							
Truyền Tống Phù (Thành thị)	Truyền Tống Phù (Thành thị)	18	1	4	1	\image\item\other\scriptitem\huichengfu_s.spr		32	Phù chỉ thần kỳ, có thể đưa bạn đến bất kỳ một thành thị nào đó. <color=gold>Nhấn chuột phải để dùng.<color>		0	500	1	1		0	0		chuansongfu	chuansong		1																							
Trục cuốn nhiệm vụ (cao)	Trục cuốn nhiệm vụ (cao)	18	1	5	1	\image\item\other\scriptitem\scrolltask_s.spr		34	Một trục cuốn ghi lại đủ mọi nhiệm vụ.		0	10000	1	1		0	0		advanced_scroll																										
Trục cuốn nhiệm vụ thường	Trục cuốn nhiệm vụ thường	18	1	6	1	\image\item\other\scriptitem\randomtask_s.spr		34	Một trục cuốn ghi lại đủ mọi nhiệm vụ.		0	10000	1	1		1	0		random_scroll																										
Hồi Thành Phù	Hồi Thành Phù	18	1	7	1	\image\item\other\scriptitem\huichengfu_s.spr		32	Phù chỉ thần kỳ, có thể đưa bạn đến thành trấn trong chốc lát. <color=gold>Nhấn chuột phải để dùng.<color>		0	300	1	1		0	0		huichengfu	chuansong		1																							
Quan Thiên Quyển	Quan Thiên Quyển	18	1	8	1	\image\item\other\scriptitem\songjinzhaoshu_s.spr		32	Ghi chép của người xưa sau khi nhìn sao trên trời.		0	100	1	1		0	0																												
Tàng Bảo Đồ	Tàng Bảo Đồ	18	1	9	1	\image\item\other\scriptitem\treasure_map_s.spr		34	Một tấm bản đồ đánh dấu nơi cất giấu báu vật.		0	100	1	1		1	0		treasuremap																										
Tàng Bảo Đồ	Tàng Bảo Đồ	18	1	9	2	\image\item\other\scriptitem\treasure_map_s.spr		34	Một tấm bản đồ đánh dấu nơi cất giấu báu vật.		0	100	1	1		1	0		treasuremap																										
Tàng Bảo Đồ	Tàng Bảo Đồ	18	1	9	3	\image\item\other\scriptitem\treasure_map_s.spr		34	Một tấm bản đồ đánh dấu nơi cất giấu báu vật.		0	100	1	1		1	0		treasuremap																										
Tàng Bảo Đồ (cao)	Tàng Bảo Đồ (cao)	18	1	10	1	\image\item\other\scriptitem\treasure_map_s.spr		34	Một tấm bản đồ đánh dấu nơi cất giấu báu vật.		0	10000	1	1		0	0		treasure_map																										
Địa Đồ Chí	Địa Đồ Chí	18	1	11	1	\image\item\other\scriptitem\mystic_map_s.spr		34	Trông giống một tấm Địa Đồ Chí, bên trên đánh các dấu tại các dòng sông ngọn núi.		0	100	1	1		1	0		linktask_worldmap																										
Túi nhiệm vụ	Túi nhiệm vụ	18	1	12	1	\image\item\other\scriptitem\linshiziyuan_s.spr		32	Túi nhiệm vụ thần bí, không ai biết nó từ đâu đến.		0	100	1	1		0	0		tempitem																										
Gia thư thần bí	Gia thư thần bí	18	1	13	1	\image\item\other\quest\quest_0003_s.spr		32	Một bức thư không nổi tiếng, nhấn chuột phải mở ra sẽ được nhận 100 điểm kinh nghiệm.		0	0	100	1		0	0		cjdbook																										
Giấy	Giấy	18	1	14	1	\image\item\other\scriptitem\mapmaker_paper_s.spr		32	Một xấp giấy dùng để vẽ bản đồ.		0	100	1	1		0	0		mapmaker_paper																										
Tập bản đồ	Tập bản đồ	18	1	15	1	\image\item\other\scriptitem\atlas_s.spr		32	Một tập bản đồ.		0	100	1	1		0	0		mapmaker_atlas																										
Tu Luyện Châu	Tu Luyện Châu	18	1	16	1	\image\item\other\scriptitem\xiulianzhu_s.spr		32	Một viên ngọc có thể khơi dậy tiềm năng trong người bạn.		0	0	1	0		1	0		xiulianzhu																										
Lệnh Bài Hình Bộ	Lệnh Bài Hình Bộ	18	1	17	1	\image\item\other\scriptitem\xingbulingpai_s.spr		32	Lệnh bài của Hình bộ, còn PK vẫn có thể dùng vật này rời khỏi <color=gold>Đại Lao Lâm An hoặc Đại Lao Biện Kinh<color>		0	1	1	20000		0	1																												
Từ Bi Tâm Kinh	Từ Bi Tâm Kinh	18	1	18	1	\image\item\other\quest\quest_0046_s.spr		33	Kinh Phật phổ thông, có thể <color=gold>học thuộc ở chỗ Vân Du Tăng Nhân của 7 thành thị lớn, giảm 1 điểm PK.<color>		0	1	1	20000		0	1		cibeixinjing																										
Truyền Tống Phù (môn phái)	Truyền Tống Phù (môn phái)	18	1	19	1	\image\item\other\scriptitem\huichengfu_s.spr		32	Phù chỉ thần kỳ, có thể đưa bạn đến bất kỳ môn phái nào. <color=gold>Nhấn chuột phải để dùng.<color>		0	500	1	1		0	0		chuansongfu	chuansong		1																							
Vô Hạn Truyền Tống Phù (Tân Thủ Thôn)	Vô Hạn Truyền Tống Phù (Tân Thủ Thôn)	18	1	20	1	\image\item\other\scriptitem\linshiziyuan_s.spr		32	Có thể đưa bạn đến bất kỳ Tân Thủ Thôn nào. <color=gold>Nhấn chuột phải để dùng.<color>		0	1	1	1		0	0		chuansongfu	chuansong		1																							
Vô Hạn Truyền Tống Phù (thành thị)	Vô Hạn Truyền Tống Phù (thành thị)	18	1	21	1	\image\item\other\scriptitem\linshiziyuan_s.spr		32	Có thể đưa bạn đến bất kỳ thành thị nào. <color=gold>Nhấn chuột phải để dùng.<color>		0	1	1	1		0	0		chuansongfu	chuansong		1																							
Vô Hạn Truyền Tống Phù (môn phái)	Vô Hạn Truyền Tống Phù (môn phái)	18	1	22	1	\image\item\other\scriptitem\linshiziyuan_s.spr		32	Có thể đưa bạn đến bất kỳ môn phái nào. <color=gold>Nhấn chuột phải để dùng.<color>		0	1	1	1		0	0		chuansongfu	chuansong		1																							
Vô Hạn Hồi Thành Phù	Vô Hạn Hồi Thành Phù	18	1	23	1	\image\item\other\scriptitem\linshiziyuan_s.spr		32	Có thể đưa bạn đến thành trấn trong chốc lát. <color=gold>Nhấn chuột phải để dùng.<color>		0	1	1	20000		0	1		huichengfu	chuansong		1																							
Cửu Chuyển Tục Mệnh Hoàn	Cửu Chuyển Tục Mệnh Hoàn	18	1	24	1	\image\item\other\medicine\zc_711_s.spr		36	Thần dược ghi lại phương thuốc xưa. Bị trọng thương uống vào có thể trị dứt tại chỗ.		0	1	1	5000		0	0			revive		1																							
Quả Huy Hoàng (sơ)	Quả Huy Hoàng (sơ)	18	1	25	1	\image\item\other\scriptitem\huihuangzhiguo.spr		32	Quả từ hạt Huy hoàng sơ cấp, cấp 70~99 ăn vào có thể tăng công lực gấp bội.		0	0	1	0		0	1	70	huihuangzhiguo																										
Quả Hoàng Kim (sơ)	Quả Hoàng Kim (sơ)	18	1	26	1	\image\item\other\scriptitem\huangjinzhiguo.spr		32	Mọc từ Hạt Hoàng Kim sơ cấp, cấp 70~99 ăn vào có thể tăng công lực gấp bội.		0	0	1	0		0	1	70	huangjinzhiguo																										
Chiêu Thư Tống Kim	Chiêu Thư Tống Kim	18	1	27	1	\image\item\other\scriptitem\songjinzhaoshu_s.spr		34	Chiêu Thư Tống Kim, sau khi nhấn chuột phải sử dụng có thể chuyển đến Báo danh chiến trường.		0	100	100	100		0	0	60	songjinzhaoshu	chuansong		1																							
Kim Sáng Dược (tiểu)-Rương	Kim Sáng Dược (tiểu)-Rương	18	1	28	1	\image\item\other\medicine\medicine_124_s.spr		35			0	1	1	0		0	0		xiang	yaoxiang				17	1	1	1	0	150																
Ngưng Thần Đơn (tiểu)-Rương	Ngưng Thần Đơn (tiểu)-Rương	18	1	29	1	\image\item\other\medicine\medicine_224_s.spr		35			0	1	1	0		0	0		xiang	yaoxiang				17	2	1	1	0	150																
Thừa Tiên Mật (tiểu)-Rương	Thừa Tiên Mật (tiểu)-Rương	18	1	30	1	\image\item\other\medicine\medicine_324_s.spr		35			0	1	1	0		0	0		xiang	yaoxiang				17	3	1	1	0	150																
Kim Sáng Dược (trung)-Rương	Kim Sáng Dược (trung)-Rương	18	1	31	1	\image\item\other\medicine\medicine_124_s.spr		35			0	1	1	0		0	0		xiang	yaoxiang				17	1	1	2	0	150																
Ngưng Thần Đơn (trung)-Rương	Ngưng Thần Đơn (trung)-Rương	18	1	32	1	\image\item\other\medicine\medicine_224_s.spr		35			0	1	1	0		0	0		xiang	yaoxiang				17	2	1	2	0	150																
Thừa Tiên Mật (trung)-Rương	Thừa Tiên Mật (trung)-Rương	18	1	33	1	\image\item\other\medicine\medicine_324_s.spr		35			0	1	1	0		0	0		xiang	yaoxiang				17	3	1	2	0	150																
Kim Sáng Dược (đại)-Rương	Kim Sáng Dược (đại)-Rương	18	1	34	1	\image\item\other\medicine\medicine_124_s.spr		35			0	1	1	0		0	0		xiang	yaoxiang				17	1	1	3	0	150																
Ngưng Thần Đơn (đại)-Rương	Ngưng Thần Đơn (đại)-Rương	18	1	35	1	\image\item\other\medicine\medicine_224_s.spr		35			0	1	1	0		0	0		xiang	yaoxiang				17	2	1	3	0	150																
Thừa Tiên Mật (đại)-Rương	Thừa Tiên Mật (đại)-Rương	18	1	36	1	\image\item\other\medicine\medicine_324_s.spr		35			0	1	1	0	7200	0	0		xiang	yaoxiang				17	3	1	3	0	150																
Hồi Thiên Đơn - Rương	Hồi Thiên Đơn - Rương	18	1	37	1	\image\item\other\medicine\medicine_124_s.spr		35			0	1	1	0	14400	0	0		xiang	yaoxiang				17	1	1	4	0	150																
Đại Bổ Tán - Rương	Đại Bổ Tán - Rương	18	1	38	1	\image\item\other\medicine\medicine_224_s.spr		35			0	1	1	0		0	0		xiang	yaoxiang				17	2	1	4	0	150																
Thất Xảo Bổ Tâm Đơn - Rương	Thất Xảo Bổ Tâm Đơn - Rương	18	1	39	1	\image\item\other\medicine\medicine_324_s.spr		35			0	1	1	0	14400	0	0		xiang	yaoxiang				17	3	1	4	0	150																
Cửu Chuyển Hoàn Hồn Đơn - Rương	Cửu Chuyển Hoàn Hồn Đơn - Rương	18	1	40	1	\image\item\other\medicine\medicine_124_s.spr		35			0	1	1	0	24000	0	0		xiang	yaoxiang				17	1	1	5	0	150																
Thủ Ô Hoàn Thần Đơn - Rương	Thủ Ô Hoàn Thần Đơn - Rương	18	1	41	1	\image\item\other\medicine\medicine_224_s.spr		35			0	1	1	0	24000	0	0		xiang	yaoxiang				17	2	1	5	0	150																
Ngũ Hoa Ngọc Lộ Hoàn - Rương	Ngũ Hoa Ngọc Lộ Hoàn - Rương	18	1	42	1	\image\item\other\medicine\medicine_324_s.spr		35			0	1	1	0	24000	0	0		xiang	yaoxiang				17	3	1	5	0	150																
Sách Tu Luyện (sơ)	Sách Tu Luyện (sơ)	18	1	43	1	\image\item\other\scriptitem\xindeshu_2_s.spr		33	Nhấn chuột phải sử dụng có thể đạt được điểm kinh nghiệm nhất định.			1	1	2000		0	1		insightbook																										
Sách Tu Luyện (trung)	Sách Tu Luyện (trung)	18	1	44	1	\image\item\other\scriptitem\xindeshu_2_s.spr		33	Nhấn chuột phải sử dụng có thể đạt được điểm kinh nghiệm nhất định.			1	1	6000		0	1		insightbook																										
Sách Tu Luyện (cao)	Sách Tu Luyện (cao)	18	1	45	1	\image\item\other\scriptitem\xindeshu_2_s.spr		33	Nhấn chuột phải sử dụng có thể đạt được điểm kinh nghiệm nhất định.			1	1	18000		0	1		insightbook																										
Sách Tu Luyện (cấp đại sư)	Sách Tu Luyện (cấp đại sư)	18	1	46	1	\image\item\other\scriptitem\xindeshu_2_s.spr		33	Nhấn chuột phải sử dụng có thể đạt được điểm kinh nghiệm nhất định.			1	1	54000		0	1		insightbook																										
Lệnh Bài Gia Tộc	Lệnh Bài Gia Tộc	18	1	47	1	\image\item\other\scriptitem\xingbulingpai_s.spr		32	Sau khi sử dụng thành viên gia tộc lân cận nhận được kinh nghiệm.<enter><color=red>Lệnh bài có hiệu lực từ 19:30-23:30.<color>		0	0	1	0		3	1		jiazulingpai																										
Rượu Tây Bắc Vọng	Đốt lửa trại dùng rượu 01	18	1	48	1	\image\item\other\medicine\food_211_s.spr		36	Rượu lâu năm, có thể tăng kinh nghiệm ở trạng thái đốt lửa trong vòng <color=gold>3 phút<color>.<enter>Càng nhiều người trong tổ đội uống cùng một loại, kinh nghiệm sẽ càng nhiều.<enter>Uống rượu khác sẽ làm mất hiệu quả rượu trước đó. <color=gold>Nhấn chuột phải để dùng.<color>		0	1	1	0		0	0		jiu																										
Rượu Đạo Hoa Hương	Đốt lửa trại dùng rượu 02	18	1	49	1	\image\item\other\medicine\food_212_s.spr		36	Rượu lâu năm, có thể tăng kinh nghiệm ở trạng thái đốt lửa trong vòng <color=gold>3 phút<color>.<enter>Càng nhiều người trong tổ đội uống cùng một loại, kinh nghiệm sẽ càng nhiều.<enter>Uống rượu khác sẽ làm mất hiệu quả rượu trước đó. <color=gold>Nhấn chuột phải để dùng.<color>		0	1	1	0		0	0		jiu																										
Rượu Nữ Nhi Hồng	Đốt lửa trại dùng rượu 03	18	1	50	1	\image\item\other\medicine\food_213_s.spr		36	Rượu lâu năm, có thể tăng kinh nghiệm ở trạng thái đốt lửa trong vòng <color=gold>3 phút<color>.<enter>Càng nhiều người trong tổ đội uống cùng một loại, kinh nghiệm sẽ càng nhiều.<enter>Uống rượu khác sẽ làm mất hiệu quả rượu trước đó. <color=gold>Nhấn chuột phải để dùng.<color>		0	1	1	0		0	0		jiu																										
Rượu Hạnh Hoa Thôn	Đốt lửa trại dùng rượu 04	18	1	51	1	\image\item\other\medicine\food_214_s.spr		36	Rượu lâu năm, có thể tăng kinh nghiệm ở trạng thái đốt lửa trong vòng <color=gold>3 phút<color>.<enter>Càng nhiều người trong tổ đội uống cùng một loại, kinh nghiệm sẽ càng nhiều.<enter>Uống rượu khác sẽ làm mất hiệu quả rượu trước đó. <color=gold>Nhấn chuột phải để dùng.<color>		0	1	1	0		0	0		jiu																										
Rượu Thiêu Đao Tử	Đốt lửa trại dùng rượu 05	18	1	52	1	\image\item\other\medicine\food_215_s.spr		36	Rượu lâu năm, có thể tăng kinh nghiệm ở trạng thái đốt lửa trong vòng <color=gold>3 phút<color>.<enter>Càng nhiều người trong tổ đội uống cùng một loại, kinh nghiệm sẽ càng nhiều.<enter>Uống rượu khác sẽ làm mất hiệu quả rượu trước đó. <color=gold>Nhấn chuột phải để dùng.<color>		0	1	1	0		0	0		jiu																										
Lửa trại	Lửa trại_chưa đốt	18	1	53	1	\image\icon\fightskill\tianren\tuishantianhai.spr		31			0	1	1	0		0	0		firewood_team																										
Rương thuốc	Rương thuốc	18	1	54	1	\image\item\other\medicine\medicine_124_s.spr		35			0	0	1	0		0	0		xiang					17	1	1	1	0	1																
Truyền Tống Phù Thô	Truyền Tống Phù Thô	18	1	55	1	\image\item\other\scriptitem\linshiziyuan_s.spr		32	Phù chỉ thô, không sử dụng được.		0	0	1	1		0	0																												
Hồi Huyết Đơn (tiểu)-Rương	Hồi Huyết Đơn (tiểu)-Rương	18	1	56	1	\image\item\other\medicine\medicine_124_s.spr		35	<color=gold>Rương thuốc chiến trường, nhấn chuột phải để mở.<color>		0	1	1	0		1	0		xiang					17	6	1	1	0	150																
Hồi Nội Đơn (tiểu)-Rương	Hồi Nội Đơn (tiểu)-Rương	18	1	57	1	\image\item\other\medicine\medicine_224_s.spr		35	<color=gold>Rương thuốc chiến trường, nhấn chuột phải để mở.<color>		0	1	1	0		1	0		xiang					17	6	2	1	0	150																
Càn Khôn Tạo Hóa Hoàn (tiểu)-Rương	Càn Khôn Tạo Hóa Hoàn (tiểu)-Rương	18	1	58	1	\image\item\other\medicine\medicine_324_s.spr		35	<color=gold>Rương thuốc chiến trường, nhấn chuột phải để mở.<color>		0	1	1	0		1	0		xiang					17	6	3	1	0	150																
Hồi Huyết Đơn (trung)-Rương	Hồi Huyết Đơn (trung)-Rương	18	1	59	1	\image\item\other\medicine\medicine_124_s.spr		35	<color=gold>Rương thuốc chiến trường, nhấn chuột phải để mở.<color>		0	1	1	0		1	0		xiang					17	6	1	2	0	150																
Hồi Nội Đơn (trung)-Rương	Hồi Nội Đơn (trung)-Rương	18	1	60	1	\image\item\other\medicine\medicine_224_s.spr		35	<color=gold>Rương thuốc chiến trường, nhấn chuột phải để mở.<color>		0	1	1	0		1	0		xiang					17	6	2	2	0	150																
Càn Khôn Tạo Hóa Hoàn (trung)-Rương	Càn Khôn Tạo Hóa Hoàn (trung)-Rương	18	1	61	1	\image\item\other\medicine\medicine_324_s.spr		35	<color=gold>Rương thuốc chiến trường, nhấn chuột phải để mở.<color>		0	1	1	0		1	0		xiang					17	6	3	2	0	150																
Hồi Huyết Đơn (đại)-Rương	Hồi Huyết Đơn (đại)-Rương	18	1	62	1	\image\item\other\medicine\medicine_124_s.spr		35	<color=gold>Rương thuốc chiến trường, nhấn chuột phải để mở.<color>		0	1	1	0		1	0		xiang					17	6	1	3	0	150																
Hồi Nội Đơn (đại)-Rương	Hồi Nội Đơn (đại)-Rương	18	1	63	1	\image\item\other\medicine\medicine_224_s.spr		35	<color=gold>Rương thuốc chiến trường, nhấn chuột phải để mở.<color>		0	1	1	0		1	0		xiang					17	6	2	3	0	150																
Càn Khôn Tạo Hóa Hoàn (đại)-Rương	Càn Khôn Tạo Hóa Hoàn (đại)-Rương	18	1	64	1	\image\item\other\medicine\medicine_324_s.spr		35	<color=gold>Rương thuốc chiến trường, nhấn chuột phải để mở.<color>		0	1	1	0		1	0		xiang					17	6	3	3	0	150																
Sư đồ đồng tâm phù		18	1	65	1	\image\item\other\scriptitem\huichengfu_s.spr		32	Phù chỉ thần kỳ.<color=gold>Nhấn chuột phải để dùng.<color>		0	0	1	1		1	0	20	teacher2student	chuansong		1																							
Ma Đao Thạch (cấp 1)	Ma Đao Thạch (cấp 1)	18	1	66	1	\image\item\other\scriptitem\modaoshi.spr		32	Sử dụng có thể tăng lực công kích! <color=gold>Nhấn chuột phải để dùng.<color>		0	1	10	0		0	0		modaoshi																										
Ma Đao Thạch (cấp 2)	Ma Đao Thạch (cấp 2)	18	1	66	2	\image\item\other\scriptitem\modaoshi.spr		32	Sử dụng có thể tăng lực công kích! <color=gold>Nhấn chuột phải để dùng.<color>		0	1	10	0		0	0		modaoshi																										
Ma Đao Thạch (cấp 3)	Ma Đao Thạch (cấp 3)	18	1	66	3	\image\item\other\scriptitem\modaoshi.spr		32	Sử dụng có thể tăng lực công kích! <color=gold>Nhấn chuột phải để dùng.<color>		0	1	10	0		0	0		modaoshi																										
Ma Đao Thạch (cấp 4)	Ma Đao Thạch (cấp 4)	18	1	66	4	\image\item\other\scriptitem\modaoshi.spr		32	Sử dụng có thể tăng lực công kích! <color=gold>Nhấn chuột phải để dùng.<color>		0	1	10	0		0	0		modaoshi																										
Ma Đao Thạch (cấp 5)	Ma Đao Thạch (cấp 5)	18	1	66	5	\image\item\other\scriptitem\modaoshi.spr		32	Sử dụng có thể tăng lực công kích! <color=gold>Nhấn chuột phải để dùng.<color>		0	1	10	0		0	0		modaoshi																										
Ma Đao Thạch (cấp 6)	Ma Đao Thạch (cấp 6)	18	1	66	6	\image\item\other\scriptitem\modaoshi.spr		32	Sử dụng có thể tăng lực công kích! <color=gold>Nhấn chuột phải để dùng.<color>		0	1	10	0		0	0		modaoshi																										
Ma Đao Thạch (cấp 7)	Ma Đao Thạch (cấp 7)	18	1	66	7	\image\item\other\scriptitem\modaoshi.spr		32	Sử dụng có thể tăng lực công kích! <color=gold>Nhấn chuột phải để dùng.<color>		0	1	10	0		0	0		modaoshi																										
Ma Đao Thạch (cấp 8)	Ma Đao Thạch (cấp 8)	18	1	66	8	\image\item\other\scriptitem\modaoshi.spr		32	Chứa linh khí, sử dụng có thể tăng lực công kích! <color=gold>Nhấn chuột phải để dùng.<color>		0	1	10	0		0	0		modaoshi																										
Ma Đao Thạch (cấp 9)	Ma Đao Thạch (cấp 9)	18	1	66	9	\image\item\other\scriptitem\modaoshi.spr		32	Chứa linh khí, sử dụng có thể tăng lực công kích! <color=gold>Nhấn chuột phải để dùng.<color>		0	1	10	0		0	0		modaoshi																										
Ma Đao Thạch (cấp 10)	Ma Đao Thạch (cấp 10)	18	1	66	10	\image\item\other\scriptitem\modaoshi.spr		32	Chứa linh khí, sử dụng có thể tăng lực công kích! <color=gold>Nhấn chuột phải để dùng.<color>		0	1	10	0		0	0		modaoshi																										
Hộ Giáp Phiến (cấp 1)	Hộ Giáp Phiến (cấp 1)	18	1	67	1	\image\item\other\scriptitem\hujiapian.spr		32	Sau khi sử dụng có thể tăng điểm sinh lực tối đa! <color=gold>Nhấn chuột phải để dùng.<color>		0	1	10	0		0	0		hujiapian																										
Hộ Giáp Phiến (cấp 2)	Hộ Giáp Phiến (cấp 2)	18	1	67	2	\image\item\other\scriptitem\hujiapian.spr		32	Sau khi sử dụng có thể tăng điểm sinh lực tối đa! <color=gold>Nhấn chuột phải để dùng.<color>		0	1	10	0		0	0		hujiapian																										
Hộ Giáp Phiến (cấp 3)	Hộ Giáp Phiến (cấp 3)	18	1	67	3	\image\item\other\scriptitem\hujiapian.spr		32	Sau khi sử dụng có thể tăng điểm sinh lực tối đa! <color=gold>Nhấn chuột phải để dùng.<color>		0	1	10	0		0	0		hujiapian																										
Hộ Giáp Phiến (cấp 4)	Hộ Giáp Phiến (cấp 4)	18	1	67	4	\image\item\other\scriptitem\hujiapian.spr		32	Sau khi sử dụng có thể tăng điểm sinh lực tối đa! <color=gold>Nhấn chuột phải để dùng.<color>		0	1	10	0		0	0		hujiapian																										
Hộ Giáp Phiến (cấp 5)	Hộ Giáp Phiến (cấp 5)	18	1	67	5	\image\item\other\scriptitem\hujiapian.spr		32	Sau khi sử dụng có thể tăng điểm sinh lực tối đa! <color=gold>Nhấn chuột phải để dùng.<color>		0	1	10	0		0	0		hujiapian																										
