ClassParamID	Desc	Probability	Name	BindMoney	Money	Coin	Genre	DetailType	ParticularType	Level	Series	EnhTimes	Amount	Exp	BaseExp	MKP	GTP	Bind	TimeLimit	Announce	FriendMsg
8	金山二十周年庆典包	100	6级玄晶				18	1	1	6	0	0						1		1	1
8	金山二十周年庆典包	10	7级玄晶				18	1	1	7	0	0						1		1	1
8	金山二十周年庆典包	1	8级玄晶				18	1	114	5	0	0						1		1	1
8	金山二十周年庆典包	3000	二十载百炼丹				18	1	257	1	0	0							43200		
8	金山二十周年庆典包	10	秘境地图				18	1	251	1	0	0						1		1	1
8	金山二十周年庆典包	400	仙灵原木				22	1	35	1	0	0									
8	金山二十周年庆典包	400	仙灵果				22	1	43	1	0	0									
8	金山二十周年庆典包	400	灵兽毛皮				22	1	37	1	0	0									
8	金山二十周年庆典包	400	紫晶原石				22	1	41	1	0	0									
8	金山二十周年庆典包	400	灵兽血				22	1	39	1	0	0									
8	金山二十周年庆典包		绑金			500												1			
9	联赛礼包	4790	4级玄晶				18	1	1	4	0	0						1			
9	联赛礼包	3600	5级玄晶				18	1	1	5	0	0						1			
9	联赛礼包	1500	6级玄晶				18	1	1	6	0	0						1			
9	联赛礼包	100	7级玄晶				18	1	1	7	0	0						1		1	1
9	联赛礼包	10	8级玄晶				18	1	114	5	0	0						1		1	1
9	联赛礼包		黄金福袋				18	1	80	1	0	0						1			
9	联赛礼包		黄金福袋				18	1	80	1	0	0						1			
10	领土争夺战宝箱	2000	玄铁原木				22	1	55	1	0										
10	领土争夺战宝箱	2000	战虎毛皮				22	1	47	1	0										
10	领土争夺战宝箱	2000	空白黄纸				22	1	49	1	0										
10	领土争夺战宝箱	2000	镇魄原石				22	1	51	1	0										
10	领土争夺战宝箱	2000	黄梅果				22	1	53	1	0											
11	家族活跃宝箱	1200	JXB50000	50000																	
11	家族活跃宝箱	500	JXB100000	100000																	
11	家族活跃宝箱	200	JXB150000	150000																	
11	家族活跃宝箱	7469	6级玄晶				18	1	114	6	0	0									
11	家族活跃宝箱	600	7级玄晶				18	1	114	7	0	0									
11	家族活跃宝箱	30	8级玄晶				18	1	114	5	0	0									
11	家族活跃宝箱	1	9级玄晶				18	1	114	5	0	0									
12	年兽宝箱	517	4级玄晶（绑定的）				18	1	114	4	0										
12	年兽宝箱	200	5级玄晶（绑定的）				18	1	114	5	0										
12	年兽宝箱	30	6级玄晶（绑定的）				18	1	114	6	0										
12	年兽宝箱	3	7级玄晶（绑定的）				18	1	114	7	0										1
12	年兽宝箱	150	10000绑银	10000																	
12	年兽宝箱	60	20000绑银	20000																	
12	年兽宝箱	20	50000绑银	50000																	
12	年兽宝箱	5	100000绑银	100000																	
12	年兽宝箱	5	引魂雾(绑定的)				18	1	277	1	0							1			1
12	年兽宝箱	10	红粉莲花(不绑定)				18	1	280	1	0										
13	雪仗胜者宝箱	467	5级玄晶（绑定的）				18	1	114	5	0										
13	雪仗胜者宝箱	150	6级玄晶（绑定的）				18	1	114	6	0										
13	雪仗胜者宝箱	30	7级玄晶（绑定的）				18	1	114	7	0										1
13	雪仗胜者宝箱	10	8级玄晶（绑定的）				18	1	114	5	0									1	1
13	雪仗胜者宝箱	200	20000绑银	20000																	
13	雪仗胜者宝箱	100	50000绑银	50000																	
13	雪仗胜者宝箱	30	100000绑银	100000																	
13	雪仗胜者宝箱	10	200000绑银	200000																	1
13	雪仗胜者宝箱	3	500000绑银	500000																1	1
14	红包	840	499绑金			499												1			
14	红包	119	999绑金			999															
14	红包	30	1999绑金			1999															1
14	红包	10	2999绑金			2999															1
14	红包	1	4999绑金			4999														1	1
14	红包		希望之种（绑定）*1				18	1	552	1	0										
14	红包		春联[未鉴定]（绑定）*1				18	1	555	1	0										
14	红包		年画[未鉴定]（绑定）*1				18	1	557	1	0										
14	红包		30分钟基准经验												30						
15	军饷袋	800	熟牛肉				20	1	488	1	0	0									
15	军饷袋	500	烤鹌鹑				20	1	488	2	0	0									
15	军饷袋	4800	经验12000											12000							
15	军饷袋	1900	金钱400		400																
15	军饷袋	2000	9个绑定魂石				18	1	205	1	0	0	9					1			
16	檀木匣	6000	6级玄晶				18	1	1	1	0										
16	檀木匣	700	7级玄晶				18	1	1	1	0										1
16	檀木匣	100	8级玄晶				18	1	114	1	0									1	1
16	檀木匣	3200	百合花				18	1	1	1	0							1			1
17	墨绿木盒	2500	经验											40000000							
17	墨绿木盒	1600	50000绑银	50000																	
17	墨绿木盒	1200	150000绑银	150000																	
17	墨绿木盒	1200	7级磨刀石箱				18	1	72	7	0								43200		
17	墨绿木盒	1200	7级护甲片箱				18	1	73	7	0								43200		
17	墨绿木盒	1200	7级五行石箱				18	1	74	7	0								43200		
17	墨绿木盒	900	6玄（绑定1个月期限）				18	1	114	1	0							1	43200		
17	墨绿木盒	150	7玄（绑定1个月期限）				18	1	114	1	0							1	43200	1	1
17	墨绿木盒	0	荣誉徽章				18	1	920	1	0							1		0	
17	墨绿木盒	50	8玄（绑定1个月期限）				18	1	114	1	0							1	43200	1	1
18	古旧盒子	7190	6玄（绑定1个月期限）				18	1	114	1	0								43200		
18	古旧盒子	2500	7玄（绑定1个月期限）				18	1	114	1	0								43200		1
18	古旧盒子	300	8玄（绑定1个月期限）				18	1	114	1	0								43200	1	1
18	古旧盒子	10	9玄（绑定1个月期限）				18	1	114	1	0								43200	1	1
19	海陵王墓中的白银宝箱	8650	5玄				18	1	114	5	0										
19	海陵王墓中的白银宝箱	1000	6玄				18	1	114	5	0										1
19	海陵王墓中的白银宝箱	300	7玄（绑定1个月期限）				18	1	114	6	0								43200	1	1
19	海陵王墓中的白银宝箱	50	8玄（绑定1个月期限）				18	1	114	7	0								43200	1	1
20	海陵王墓中的青铜宝箱	8650	4玄				18	1	114	5	0										
20	海陵王墓中的青铜宝箱	1000	5玄				18	1	114	6	0										
20	海陵王墓中的青铜宝箱	300	6玄				18	1	114	6	0										1
20	海陵王墓中的青铜宝箱	50	7玄（绑定1个月期限）				18	1	114	7	0								43200	1	1
21	海陵王墓中的黑铁宝箱	8580	3玄				18	1	114	5	0										
21	海陵王墓中的黑铁宝箱	1250	4玄				18	1	114	6	0										
21	海陵王墓中的黑铁宝箱	150	5玄				18	1	114	6	0										
21	海陵王墓中的黑铁宝箱	20	6玄				18	1	114	7	0										1
22	海陵王墓中的黄金宝箱	8580	6玄				18	1	114	5	0										1
22	海陵王墓中的黄金宝箱	1250	7玄（绑定1个月期限）				18	1	114	5	0								43200	1	1
22	海陵王墓中的黄金宝箱	150	8玄（绑定1个月期限）				18	1	114	6	0								43200	1	1
22	海陵王墓中的黄金宝箱	20	9玄（绑定1个月期限）				18	1	114	7	0								43200	1	1
23	军饷袋	800	熟牛肉				20	1	488	1	0	0									
23	军饷袋	500	烤鹌鹑				20	1	488	2	0	0									
23	军饷袋	4500	经验13500											13500							
23	军饷袋	1900	金钱500		500																
23	军饷袋	2000	10个绑定魂石				18	1	205	1	0	0	10					1			
24	划水先锋金箱子	3450	6级玄晶（绑定的）				18	1	114	6	0								43200		
24	划水先锋金箱子	4000	7级玄晶（绑定的）				18	1	114	7	0								43200		
24	划水先锋金箱子	500	8级玄晶（绑定的）				18	1	114	5	0								43200		1
24	划水先锋金箱子	50	9级玄晶（绑定的）				18	1	114	5	0								43200	1	1
24	划水先锋金箱子	700	葫芦香溪粽				18	1	326	4	0										
24	划水先锋金箱子	1260	鲜香肉粽				18	1	326	1	0										
24	划水先锋金箱子	20	八宝粽				18	1	326	2	0									1	1
24	划水先锋金箱子	20	什锦百果粽				18	1	326	3	0									1	1
25	划水先锋银箱子	6280	6级玄晶（绑定的）				18	1	114	6	0								43200		
25	划水先锋银箱子	1500	7级玄晶（绑定的）				18	1	114	7	0								43200		
25	划水先锋银箱子	200	8级玄晶（绑定的）				18	1	114	5	0								43200		1
25	划水先锋银箱子	20	9级玄晶（绑定的）				18	1	114	5	0								43200	1	1
25	划水先锋银箱子	700	葫芦香溪粽				18	1	326	4	0										
25	划水先锋银箱子	1260	鲜香肉粽				18	1	326	1	0										
25	划水先锋银箱子	20	八宝粽				18	1	326	2	0									1	1
25	划水先锋银箱子	20	什锦百果粽				18	1	326	3	0									1	1
26	划水先锋铜箱子	4090	6级玄晶（绑定的）				18	1	114	6	0								43200		
26	划水先锋铜箱子	3300	6级玄晶（绑定的）				18	1	114	6	0								43200		
26	划水先锋铜箱子	1000	7级玄晶（绑定的）				18	1	114	7	0								43200		
26	划水先锋铜箱子	100	8级玄晶（绑定的）				18	1	114	5	0								43200		1
26	划水先锋铜箱子	10	9级玄晶（绑定的）				18	1	114	5	0								43200	1	1
26	划水先锋铜箱子	525	葫芦香溪粽				18	1	326	4	0										
26	划水先锋铜箱子	945	鲜香肉粽				18	1	326	1	0										
26	划水先锋铜箱子	15	八宝粽				18	1	326	2	0									1	1
26	划水先锋铜箱子	15	什锦百果粽				18	1	326	3	0									1	1
27	龙舟原型	3100	龙舟：破浪				18	1	327	1	0										
27	龙舟原型	3100	龙舟：乘风				18	1	327	2	0										
27	龙舟原型	3100	龙舟：离水				18	1	327	3	0										
27	龙舟原型	700	龙舟：霸舟				18	1	327	4	0										
28	红颜的馈赠	8350	8级玄晶				18	1	114	5	0								43200		1
28	红颜的馈赠	1500	9级玄晶				18	1	114	5	0								43200	1	1
28	红颜的馈赠	150	10级玄晶				18	1	114	5	0								43200	1	1
29	幸运宝箱	1200	6级玄晶				18	1	114	5	0								43200		
29	幸运宝箱	100	7级玄晶				18	1	114	5	0								43200		1
29	幸运宝箱	10	8级玄晶				18	1	114	5	0								43200	1	1
29	幸运宝箱	1200	100000绑银	100000																	
29	幸运宝箱	300	200000绑银	200000																	
29	幸运宝箱	30	500000绑银	500000																	1
29	幸运宝箱	10	1000000绑银	1000000																1	1
29	幸运宝箱	5040	300绑定金币			300												1			
29	幸运宝箱	1500	500绑定金币			500												1			
29	幸运宝箱	500	1000绑定金币			1000												1			
29	幸运宝箱	100	2000绑定金币			2000												1			1
29	幸运宝箱	10	5000绑定金币			5000												1		1	1
30	盛夏活动黄金宝箱	100	10级玄晶（绑定）				18	1	114	5	0								43200	1	1
30	盛夏活动黄金宝箱	1000	9级玄晶（绑定）				18	1	114	5	0								43200	1	1
30	盛夏活动黄金宝箱	7400	8级玄晶（绑定）				18	1	114	5	0								43200		1
30	盛夏活动黄金宝箱	1500	盛夏的果实				18	1	380	1	0							1	43200	1	1
31	盛夏活动白银宝箱	500	9级玄晶（绑定）				18	1	114	5	0								43200	1	1
31	盛夏活动白银宝箱	2500	8级玄晶（绑定）				18	1	114	5	0								43200		1
31	盛夏活动白银宝箱	7000	7级玄晶（绑定）				18	1	114	7	0								43200		1
32	玄晶宝箱	9600	8级玄晶				18	1	114	5	0								43200		1
32	玄晶宝箱	350	9级玄晶				18	1	114	5	0								43200	1	1
32	玄晶宝箱	50	10级玄晶				18	1	114	5	0								43200	1	1
33	大马三宝箱		兰花箱				18	1	390	1								1	10080		
33	大马三宝箱		蝴蝶箱				18	1	390	2								1	10080		
33	大马三宝箱		巨猿箱				18	1	390	3								1	10080		
34	古木宝箱		紫檀箱				18	1	391	1								1	10080		
34	古木宝箱		红木箱				18	1	391	2								1	10080		
34	古木宝箱		香樟箱				18	1	391	3								1	10080		
35	兰花箱	800	[面具]靖哥哥				13	1	29	1											
35	兰花箱	800	[面具]蓉妹妹				13	1	30	1											
35	兰花箱	2500	鲜香肉粽				18	1	326	1									43200		
35	兰花箱	5900	九转续命丸				18	1	24	1			3					1	43200		
36	蝴蝶箱	3700	精气散（回500）				18	1	89	1			3					1	43200		
36	蝴蝶箱	1300	精气散（回1000）				18	1	89	2			3					1	43200		
36	蝴蝶箱	3700	活气散（回500）				18	1	90	1			3					1	43200		
36	蝴蝶箱	1300	活气散（回1000）				18	1	90	2			3					1	43200		
37	巨猿箱	400	优惠券：3折购买1个7级玄晶				18	1	394	1								1	43200		
37	巨猿箱	80	优惠券：3折购买1个9级玄晶				18	1	395	1								1	43200		
37	巨猿箱	1900	优惠券：3折购买10个大白驹丸				18	1	392	1								1	43200		
37	巨猿箱	5900	强效白驹丸				18	1	71	3								1	43200		
37	巨猿箱	1720	江湖威望令牌				18	1	236	1								1	43200		
38	紫檀箱	3690	精气散（回1000）				18	1	89	2			3					1	43200		
38	紫檀箱	1300	精气散（回1500）				18	1	89	3			3					1	43200		
38	紫檀箱	3690	活气散（回1000）				18	1	90	2			3					1	43200		
38	紫檀箱	1300	活气散（回1500）				18	1	90	3			3					1	43200		
38	紫檀箱	20	黄金福袋·箱（50个）				18	1	303	1								1	43200		
39	红木箱	170	特效白驹丸				18	1	71	4								1	43200		
39	红木箱	1200	天山玉露				19	4	1	5								1	43200		
39	红木箱	2140	乾坤符				18	1	85	1								1	43200		
39	红木箱	4340	5级玄晶（绑定）				18	1	1	5								1	43200		
39	红木箱	1130	6级玄晶（绑定）				18	1	1	6								1	43200		
39	红木箱	40	7级玄晶（绑定）				18	1	1	7								1	43200		
39	红木箱	880	魂石箱 100个				18	1	244	1								1	43200		
39	红木箱	100	万花谷地图				18	1	245	1								1	43200		
40	香樟箱	2270	磨刀石(5级)				18	1	66	5			5					1	43200		
40	香樟箱	2410	护甲片(5级)				18	1	67	5			5					1	43200		
40	香樟箱	2570	五行石(5级)				18	1	68	5			5					1	43200		
40	香樟箱	770	磨刀石(8级)				18	1	66	8			2					1	43200		
40	香樟箱	910	护甲片(8级)				18	1	67	8			2					1	43200		
40	香樟箱	1060	五行石(8级)				18	1	68	8			2					1	43200		
40	香樟箱	10	优惠券：3折购买1个9级玄晶				18	1	395	1								1	43200		
41	逍遥宝箱（银）	8400	7级玄晶（绑定的）				18	1	114	6	0							1	43200		
41	逍遥宝箱（银）	1500	8级玄晶（绑定的）				18	1	114	7	0							1	43200		1
41	逍遥宝箱（银）	100	9级玄晶（绑定的）				18	1	114	6	8							1	43200	1	1
42	逍遥宝箱（金）	8400	8级玄晶（绑定的）				18	1	114	7	0							1	43200		1
42	逍遥宝箱（金）	1500	9级玄晶（绑定的）				18	1	114	7	0							1	43200	1	1
42	逍遥宝箱（金）	100	10级玄晶（绑定的）				18	1	114	5	8							1	43200	1	1
43	民族大团圆卡	5600	5级玄晶（绑定)				18	1	114	5	0							1	43200		
43	民族大团圆卡	1000	6级玄晶（绑定)				18	1	114	6	0							1	43200		
43	民族大团圆卡	300	7级玄晶（绑定)				18	1	114	7	0							1	43200		1
43	民族大团圆卡	100	8级玄晶（绑定)				18	1	114	5	0							1	43200	1	1
43	民族大团圆卡	2900	月满西楼				18	1	463	1									43200		1
43	民族大团圆卡	50	彩云追月				18	1	464	1									43200	1	1
43	民族大团圆卡	50	沧海月明				18	1	465	1									43200	1	1
44	民族大团圆幸运卡片	194	白驹丸				18	1	71	1									43200		
44	民族大团圆幸运卡片	200	大白驹丸				18	1	71	2									43200		
44	民族大团圆幸运卡片	200	强效白驹丸				18	1	71	3									43200		
44	民族大团圆幸运卡片	10	金条(大)				18	1	118	2									43200	1	1
44	民族大团圆幸运卡片	200	小块玄晶碎片（1级玄晶）				18	1	1	1	0								43200		
44	民族大团圆幸运卡片	200	小块玄晶残片（3级玄晶）				18	1	1	3	0								43200		
44	民族大团圆幸运卡片	200	未雕琢的玄晶（5级玄晶）				18	1	1	5	0								43200		
44	民族大团圆幸运卡片	50	普通的玄晶（7级玄晶）				18	1	1	7	0								43200		1
44	民族大团圆幸运卡片	150	金条				18	1	118	1									43200		1
44	民族大团圆幸运卡片	200	酒箱（5瓶）				18	1	189	1									43200		
44	民族大团圆幸运卡片	200	酒箱（50瓶）				18	1	189	2									43200		
44	民族大团圆幸运卡片	200	无限传送符（1周）				18	1	195	1									43200		
44	民族大团圆幸运卡片	200	无限传送符（1月）				18	1	235	1									43200		1
44	民族大团圆幸运卡片	200	无限回城符（1周）				18	1	23	1									43200		
44	民族大团圆幸运卡片	200	无限回城符（1月）				18	1	234	1									43200		
44	民族大团圆幸运卡片	200	乾坤符（10次）				18	1	85	1									43200		
44	民族大团圆幸运卡片	200	家族召唤令牌				18	1	87	1									43200		1
44	民族大团圆幸运卡片	200	摆摊许可证				18	1	116	1									43200		
44	民族大团圆幸运卡片	200	九转续命丸				18	1	24	1									43200		
44	民族大团圆幸运卡片	200	刑部令牌				18	1	17	1									43200		
44	民族大团圆幸运卡片	200	空白的心得书（初级）				20	1	463	1									43200		
44	民族大团圆幸运卡片	200	空白的心得书（中级）				20	1	464	1									43200		
44	民族大团圆幸运卡片	200	空白的心得书（高级）				20	1	465	1									43200		
44	民族大团圆幸运卡片	10	金犀（4级）				18	1	2	4									43200	1	1
44	民族大团圆幸运卡片	200	金犀（3级）				18	1	2	3									43200		
44	民族大团圆幸运卡片	200	洗髓岛令牌				18	1	79	1									43200		
44	民族大团圆幸运卡片	200	马牌（大宛马）				1	12	15	2									43200		
44	民族大团圆幸运卡片	200	马牌（乌骓）				1	12	16	2									43200		
44	民族大团圆幸运卡片	200	精气散（回500）				18	1	89	1									43200		
44	民族大团圆幸运卡片	200	精气散（回1000）				18	1	89	2									43200		
44	民族大团圆幸运卡片	200	精气散（回1500）				18	1	89	3									43200		
44	民族大团圆幸运卡片	200	活气散（回500）				18	1	90	1									43200		
44	民族大团圆幸运卡片	200	活气散（回1000）				18	1	90	2									43200		
44	民族大团圆幸运卡片	200	活气散（回1500）				18	1	90	3									43200		
44	民族大团圆幸运卡片	200	天眼符				18	1	206	1									43200		
44	民族大团圆幸运卡片	100	初级祈福令牌				18	1	212	1									43200		1
44	民族大团圆幸运卡片	10	中级祈福令牌				18	1	212	2									43200	1	1
44	民族大团圆幸运卡片	5	无暇的玄晶（9级玄晶）				18	1	114	5	0								43200	1	1
44	民族大团圆幸运卡片	100	特效白驹丸				18	1	71	4									43200		1
44	民族大团圆幸运卡片	100	神秘缰绳				18	1	237	1									43200		1
44	民族大团圆幸运卡片	50	武林秘籍（中级）				18	1	191	2									43200	1	1
44	民族大团圆幸运卡片	50	洗髓经（中级）				18	1	192	2									43200	1	1
44	民族大团圆幸运卡片	200	义军令牌				18	1	84	1									43200		
44	民族大团圆幸运卡片	200	门派竞技高级令牌				18	1	81	3									43200		
44	民族大团圆幸运卡片	200	白虎堂高级令牌				18	1	111	3									43200		
44	民族大团圆幸运卡片	200	家族令牌（高级）				18	1	110	3									43200		
44	民族大团圆幸运卡片	200	战场令牌（扬州）				18	1	112	1									43200		
44	民族大团圆幸运卡片	200	战场令牌（凤翔）				18	1	112	2									43200		
44	民族大团圆幸运卡片	10	高级勾魂玉				18	1	146	3									43200	1	1
44	民族大团圆幸运卡片	150	江湖威望令牌				18	1	236	1									43200		1
44	民族大团圆幸运卡片	180	魂石箱（100个）				18	1	244	1									43200		
44	民族大团圆幸运卡片	10	魂石箱（1000个）				18	1	244	2									43200	1	1
44	民族大团圆幸运卡片	100	秘境地图				18	1	251	1									43200		1
44	民族大团圆幸运卡片	1	高级祈福令牌				18	1	212	3									43200	1	1
44	民族大团圆幸运卡片	200	帮会银锭（小）				18	1	284	1									43200		1
44	民族大团圆幸运卡片	10	帮会银锭（大）				18	1	284	2									43200	1	1
44	民族大团圆幸运卡片	10	帮会奖金令牌				18	1	340	1									43200	1	1
44	民族大团圆幸运卡片	10	夜明珠·箱				18	1	382	1									43200	1	1
44	民族大团圆幸运卡片	10	万物归元丹				18	1	384	1									43200	1	1
44	民族大团圆幸运卡片	200	灵芝续命丸·箱				18	1	241	1									43200		
44	民族大团圆幸运卡片	200	雪参返气丸·箱				18	1	242	1									43200		
44	民族大团圆幸运卡片	200	瑶池大还丹·箱				18	1	243	1									43200		
44	民族大团圆幸运卡片	200	义军补给包				18	1	341	1									43200		
44	民族大团圆幸运卡片	50	武林联赛黑铁令牌				18	1	215	1									43200		1
44	民族大团圆幸运卡片	10	武林联赛黄金令牌				18	1	215	4									43200	1	1
44	民族大团圆幸运卡片	200	百步穿杨弓				18	1	263	1									43200		
44	民族大团圆幸运卡片	200	秦陵·摸金符				18	1	366	1									43200		
44	民族大团圆幸运卡片	10	八宝粽				18	1	326	2									43200	1	1
44	民族大团圆幸运卡片	10	什锦百果棕				18	1	326	3									43200	1	1
45	家族竞技活动金宝箱	1450	6级玄晶（绑定的）				18	1	114	5	0								43200		
45	家族竞技活动金宝箱	6000	7级玄晶（绑定的）				18	1	114	5	0								43200		
45	家族竞技活动金宝箱	500	8级玄晶（绑定的）				18	1	114	5	0								43200		1
45	家族竞技活动金宝箱	50	9级玄晶（绑定的）				18	1	114	5	0								43200	1	1
45	家族竞技活动金宝箱	2000	玉如意				18	1	114	5											
46	家族竞技活动银宝箱	6380	6级玄晶（绑定的）				18	1	114	5	0								43200		
46	家族竞技活动银宝箱	3000	7级玄晶（绑定的）				18	1	114	5	0								43200		
46	家族竞技活动银宝箱	200	8级玄晶（绑定的）				18	1	114	5	0								43200		1
46	家族竞技活动银宝箱	20	9级玄晶（绑定的）				18	1	114	5	0								43200	1	1
46	家族竞技活动银宝箱	400	玉如意				18	1	114	5											
47	家族竞技活动铜宝箱	5690	5级玄晶（绑定的）				18	1	114	5	0								43200		
47	家族竞技活动铜宝箱	3000	6级玄晶（绑定的）				18	1	114	5	0								43200		
47	家族竞技活动铜宝箱	1000	7级玄晶（绑定的）				18	1	114	5	0								43200		
47	家族竞技活动铜宝箱	100	8级玄晶（绑定的）				18	1	114	5	0								43200		1
47	家族竞技活动铜宝箱	10	9级玄晶（绑定的）				18	1	114	5	0								43200	1	1
47	家族竞技活动铜宝箱	200	玉如意				18	1	114	5											
48	武林大会荣誉宝箱	2000	武林大会英雄令牌				18	1	487	1											1
48	武林大会荣誉宝箱	6900	8级玄晶				18	1	114	5	0								43200		
48	武林大会荣誉宝箱	1000	9级玄晶				18	1	114	5	0								43200		1
48	武林大会荣誉宝箱	100	10级玄晶				18	1	114	5	0								43200	1	1
49	秘境地图套装		酒箱（50瓶）				18	1	189	2									43200		
49	秘境地图套装		修炼丹				18	1	258	1									43200		
49	秘境地图套装		秘境地图				18	1	251	1									43200		
50	秘境地图套装（大）		酒箱（50瓶）				18	1	189	2			2						43200		
50	秘境地图套装（大）		修炼丹				18	1	258	1			3						43200		
50	秘境地图套装（大）		秘境地图				18	1	251	1									43200		
51	秘境地图套装（大）		酒箱（50瓶）				18	1	189	2			2					1	43200		
51	秘境地图套装（大）		修炼丹				18	1	258	1			3					1	43200		
51	秘境地图套装（大）		秘境地图				18	1	251	1								1	43200		
52	幸运抽奖铜宝箱[未开150级]	200	8888绑金			8888												1			1
52	幸运抽奖铜宝箱[未开150级]	300	4888绑金			4888												1			
52	幸运抽奖铜宝箱[未开150级]	3000	六韬辑注				18	1	320	1								1	43200		1
52	幸运抽奖铜宝箱[未开150级]	4000	五行魂石				18	1	244	1			6					1			
52	幸运抽奖铜宝箱[未开150级]	2500	秘境套装（大）				18	1	494	1								1	43200		1
53	幸运抽奖铜宝箱[已开150级]	2000	特别的精魄				18	1	544	2			5					1	43200		1
53	幸运抽奖铜宝箱[已开150级]	500	4888绑金			4888												1			
53	幸运抽奖铜宝箱[已开150级]	4000	战书·游龙密室（箱）				18	1	524	2								1			
53	幸运抽奖铜宝箱[已开150级]	2000	穿珠银帖				18	1	541	2			5					1			1
53	幸运抽奖铜宝箱[已开150级]	1500	秘境套装（大）				18	1	494	1								1	43200		1
54	跨服联赛礼包	6889	5级玄晶（绑定)				18	1	1	5	0	0						1			
54	跨服联赛礼包	3000	6级玄晶（绑定)				18	1	1	6	0	0						1			
54	跨服联赛礼包	100	7级玄晶（绑定)				18	1	1	7	0	0						1		1	1
54	跨服联赛礼包	10	8级玄晶（绑定)				18	1	114	5	0	0						1	43200	1	1
54	跨服联赛礼包	1	9级玄晶（绑定）				18	1	114	5	0	0						1	43200	1	1
54	跨服联赛礼包		黄金福袋				18	1	80	1	0	0						1			
54	跨服联赛礼包		黄金福袋				18	1	80	1	0	0						1			
55	新年礼物[馈赠]	668	7级玄晶				18	1	114	7	0	0							43200		
55	新年礼物[馈赠]	30	8级玄晶				18	1	114	5	0	0							43200		1
55	新年礼物[馈赠]	2	9级玄晶				18	1	114	5	0	0							43200	1	1
55	新年礼物[馈赠]	300	99999绑定银两	99999																	1
56	年画收集奖励宝箱[开放同伴]	1000	同伴特殊材料（不绑定）				18	1	556	1	0										1
56	年画收集奖励宝箱[开放同伴]	50	同伴特别洗髓经				18	1	563	1	0								43200		
56	年画收集奖励宝箱[开放同伴]	7639	7级玄晶（绑定）				18	1	114	7	0	0							43200		
56	年画收集奖励宝箱[开放同伴]	1200	8级玄晶（绑定）				18	1	114	5	0	0							43200		1
56	年画收集奖励宝箱[开放同伴]	100	9级玄晶（绑定）				18	1	114	5	0	0							43200	1	1
56	年画收集奖励宝箱[开放同伴]	10	10级玄晶（绑定）				18	1	114	5	0	0							43200	1	1
56	年画收集奖励宝箱[开放同伴]	1	新年同伴（不绑定）				18	1	547	2	0										1
