Name	ParticularType	Level	LiveTime	StateLog
[Mặt nạ] Thác Bạt Sơn Uyên	80	1	4320	1
[Mặt nạ] Cừu Tuyết	81	1	4320	1
[Mặt nạ] Thác Bạt Sơn Uyên	82	1	43200	1
[Mặt nạ] Cừu Tuyết	83	1	43200	1
[Mặt nạ] Hỷ Nữu Nữu	84	1	43200	1
[Mặt nạ] Phúc Oa Oa	85	1	43200	1
[Mặt nạ] Đường Khuyết	86	1	4320	1
[Mặt nạ] Ngưu Thúy Hoa	87	1	4320	1
[Mặt nạ] Đường Khuyết	88	1	43200	1
[Mặt nạ] Ngưu Thúy Hoa	89	1	43200	1
[Mặt nạ] Áo dài khăn đống (Nam)	90	1	43200	1
[Mặt nạ] Áo dài khăn đống (Nữ)	91	1	43200	1
[Mặt nạ] Cốc Tiên Tiên	92	1	43200	1
[Mặt nạ] Túy Tăng	93	1	43200	1
[Mặt nạ] Lãnh Sương Nhiên	94	1	43200	1
[Mặt nạ] Tiêu Lương	95	1	43200	1
[Mặt nạ] Mục Đồng	96	1	43200	1
[Mặt nạ] Chức Nữ	97	1	43200	1
[Mặt nạ] Nhu Tiểu Thúy	98	1	240	0
[Mặt nạ] Trương Thiện Đức	99	1	240	0
[Mặt nạ] Cổ Dật Sơn	100	1	240	0
[Mặt nạ] Ô Sơn Thanh	101	1	240	0
[Mặt nạ] Trân Vô Mệnh	102	1	240	0
[Mặt nạ] Diệp Tịnh	103	1	240	0
[Mặt nạ] Bảo Ngọc	104	1	240	0
[Mặt nạ] Hạ Tiểu Sảnh	105	1	240	0
[Mặt nạ] Tần Trọng	106	1	240	0
[Mặt nạ] Mộc Siêu	107	1	240	0
[Mặt nạ] Tử Uyển	108	1	240	0
[Mặt nạ] Oanh Oanh	109	1	240	0
[Mặt nạ] Tần Thủy Hoàng	110	1	240	0
[Mặt nạ] Diệp Tịnh	111	1	43200	0
[Mặt nạ] Chung Chí Minh	112	1	4320	1
[Mặt nạ] Điệp Phiêu Phiêu	113	1	4320	1
[Mặt nạ] Chung Chí Minh	114	1	43200	1
[Mặt nạ] Điệp Phiêu Phiêu	115	1	43200	1
[Mặt nạ] Nhất Đại Thiên Kiêu	116	1	525600	0
[Mặt nạ] Lúm Đồng Tiền	117	1	525600	0
[Mặt nạ] Anh Hùng	118	1	43200	1
[Mặt nạ] Anh Hùng	119	1	43200	1
[Mặt nạ] Anh Hùng	120	1	43200	1
[Mặt nạ] Anh Hùng	121	1	43200	1
[Mặt nạ] Mỹ Nữ	122	1	43200	1
[Mặt nạ] Mỹ Nữ	123	1	43200	1
[Mặt nạ] Mỹ Nữ	124	1	43200	1
[Mặt nạ] Mỹ Nữ	125	1	43200	1
[Mặt nạ] Thần Tài	126	1	43200	1
[Mặt nạ] Táo Quân (Đỏ)	127	1	43200	1
[Mặt nạ] Táo Quân (Lam)	128	1	43200	1
[Mặt nạ] Táo Quân (Vàng)	129	1	43200	1
[Mặt nạ] Thổ Địa	130	1	43200	1
[Mặt nạ] Thiếu nữ	131	1	43200	1
[Mặt nạ] Tiêu Nguyệt Nguyệt	134	1	4320	1
[Mặt nạ] Lê Cương	135	1	4320	1
[Mặt nạ] Khương Lão Gia	136	1	43200	1
[Mặt nạ] Kim Mao Sư Vương	137	1	43200	1
[Mặt nạ] Tây Độc Âu Dương Phong	138	1	43200	1
[Mặt nạ] Triều Hạ Ánh Tuyết	139	1	129600	1
[Mặt nạ] Đường Bá Hổ	140	1	43200	1
[Mặt nạ] Thu Hương	141	1	43200	1
[Mặt nạ] Wodekapu	142	1	86400	1
[Mặt nạ] Thần Tài	143	1	86400	1
[Mặt nạ] Tần Thủy Hoàng	144	1	86400	1
[Mặt nạ] Đậu Hạo	145	1	43200	1
[Mặt nạ] Khuynh Thế	146	1	43200	1
[Mặt nạ] Nhu Tiểu Thúy	20000	1	43200	1
[Mặt nạ] Nhu Tiểu Thúy	20001	1	43200	1
[Mặt nạ] Nhu Tiểu Thúy	20002	1	43200	1
[Mặt nạ] Nhu Tiểu Thúy	20003	1	43200	1
[Mặt nạ] Trương Thiện Đức	20004	1	43200	1
[Mặt nạ] Trương Thiện Đức	20005	1	43200	1
[Mặt nạ] Trương Thiện Đức	20006	1	43200	1
[Mặt nạ] Trương Thiện Đức	20007	1	43200	1
[Mặt nạ] Cổ Dật Sơn	20008	1	43200	1
[Mặt nạ] Cổ Dật Sơn	20009	1	43200	1
[Mặt nạ] Cổ Dật Sơn	20010	1	43200	1
[Mặt nạ] Cổ Dật Sơn	20011	1	43200	1
[Mặt nạ] Ô Sơn Thanh	20012	1	43200	1
[Mặt nạ] Ô Sơn Thanh	20013	1	43200	1
[Mặt nạ] Ô Sơn Thanh	20014	1	43200	1
[Mặt nạ] Ô Sơn Thanh	20015	1	43200	1
[Mặt nạ] Trân Vô Mệnh	20016	1	43200	1
[Mặt nạ] Trân Vô Mệnh	20017	1	43200	1
[Mặt nạ] Trân Vô Mệnh	20018	1	43200	1
[Mặt nạ] Trân Vô Mệnh	20019	1	43200	1
[Mặt nạ] Kim Mao Sư Vương	20020	1	43200	1
[Mặt nạ] Kim Mao Sư Vương	20021	1	43200	1
[Mặt nạ] Kim Mao Sư Vương	20022	1	43200	1
[Mặt nạ] Kim Mao Sư Vương	20023	1	43200	1
[Mặt nạ] Tây Độc Âu Dương Phong	20024	1	43200	1
[Mặt nạ] Tây Độc Âu Dương Phong	20025	1	43200	1
[Mặt nạ] Tây Độc Âu Dương Phong	20026	1	43200	1
[Mặt nạ] Tây Độc Âu Dương Phong	20027	1	43200	1
[Mặt nạ] Tần Thủy Hoàng	20028	1	43200	1
[Mặt nạ] Tần Thủy Hoàng	20029	1	43200	1
[Mặt nạ] Tần Thủy Hoàng	20030	1	43200	1
[Mặt nạ] Tần Thủy Hoàng	20031	1	43200	1
[Mặt nạ] Thổ Địa	20032	1	43200	1
[Mặt nạ] Thổ Địa	20033	1	43200	1
[Mặt nạ] Thổ Địa	20034	1	43200	1
[Mặt nạ] Thổ Địa	20035	1	43200	1
