TaskId	TaskName	StepDesc	TaskType	Diff	Genre	Detail	Particular	Level	Series	Num	ItemName	Suffix	Step01	Step02	Step03	LevelFlag	AwardExp	AwardMoney	NeedTime
19	Thu thập 1 Thanh Bố Yêu Đái - Hoàng Quang	Có thể sử dụng kỹ năng <color=yellow>chế tạo phòng cụ<color> chế tạo 	GiveItemWithName	1						1	Thanh Bố Yêu Đái	Hoàng Quang	200	0	0	0	0.6	100	120
20	Thu thập 1 Đồng Hộ Uyển - Hoàng Quang	Có thể sử dụng kỹ năng <color=yellow>chế tạo phòng cụ<color> chế tạo 	GiveItemWithName	1						1	Đồng Hộ Uyển	Hoàng Quang	200	0	0	0	0.6	100	120
21	Thu thập 1 Thủ Trạc - Hoàng Quang	Có thể sử dụng kỹ năng <color=yellow>chế tạo phòng cụ<color> chế tạo 	GiveItemWithName	1						1	Thủ Trạc	Hoàng Quang	200	0	0	0	0.6	100	120
22	Thu thập 1 Trường Ngoa - Diên Dương	Có thể sử dụng kỹ năng <color=yellow>chế tạo phòng cụ<color> chế tạo 	GiveItemWithName	1						1	Trường Ngoa	Diên Dương	200	0	0	0	0.6	100	120
23	Thu thập 1 Đoản Ngoa - Diên Dương	Có thể sử dụng kỹ năng <color=yellow>chế tạo phòng cụ<color> chế tạo 	GiveItemWithName	1						1	Đoản Ngoa	Diên Dương	200	0	0	0	0.6	100	120
24	Thu thập 1 Đồng Chỉ Hoàn - Hoàng Quang	Có thể sử dụng kỹ năng <color=yellow>chế tạo trang sức<color> chế tạo 	GiveItemWithName	1						1	Đồng Chỉ Hoàn	Hoàng Quang	360	0	0	0	0.6	150	120
25	Thu thập 1 Lan Hoa Bội - Hoàng Quang	Có thể sử dụng kỹ năng <color=yellow>chế tạo trang sức<color> chế tạo 	GiveItemWithName	1						1	Lan Hoa Bội	Hoàng Quang	360	0	0	0	0.6	150	120
26	Thu thập 1 Huân Y Hương Nang - Hoàng Quang	Có thể sử dụng kỹ năng <color=yellow>chế tạo trang sức<color> chế tạo 	GiveItemWithName	1						1	Huân Y Hương Nang	Hoàng Quang	360	0	0	0	0.6	150	120
27	Thu thập 1 Thủy Trích Hạng Liên - Hoàng Quang	Có thể sử dụng kỹ năng <color=yellow>chế tạo trang sức<color> chế tạo 	GiveItemWithName	1						1	Thủy Trích Hạng Liên	Hoàng Quang	360	0	0	0	0.6	150	120
28	Thu thập 1 Hộ Thân Phù - Hoàng Quang	Có thể sử dụng kỹ năng <color=yellow>chế tạo trang sức<color> chế tạo 	GiveItemWithName	1						1	Hộ Thân Phù	Hoàng Quang	360	0	0	0	0.6	150	120
29	Thu thập 1 Đơn Đao - Phi Yến	Có thể sử dụng kỹ năng <color=yellow>chế tạo vũ khí<color> chế tạo 	GiveItemWithName	1						1	Đơn đao	Phi Yến	150	0	0	0	0.6	600	120
30	Thu thập 1 Trọng Mộc Côn - Phi Yến	Có thể sử dụng kỹ năng <color=yellow>chế tạo vũ khí<color> chế tạo 	GiveItemWithName	1						1	Trọng Mộc Côn	Phi Yến	150	0	0	0	0.6	600	120
31	Thu thập 1 Trường Thương - Hoàng Quang	Có thể sử dụng kỹ năng <color=yellow>chế tạo vũ khí<color> chế tạo 	GiveItemWithName	1						1	Trường Thương 	Hoàng Quang	150	0	0	0	0.6	600	120
32	Thu thập 1 Chiến Chùy - Hoàng Quang	Có thể sử dụng kỹ năng <color=yellow>chế tạo vũ khí<color> chế tạo 	GiveItemWithName	1						1	Chiến Chùy	Hoàng Quang	150	0	0	0	0.6	600	120
33	Thu thập 1 Thô Bố Triền Thủ - Linh Vũ	Có thể sử dụng kỹ năng <color=yellow>chế tạo vũ khí<color> chế tạo 	GiveItemWithName	1						1	Thô Bố Triền Thủ	Linh Vũ	150	0	0	0	0.6	600	120
34	Thu thập 1 Đồng Kiếm - Phi Yến	Có thể sử dụng kỹ năng <color=yellow>chế tạo vũ khí<color> chế tạo 	GiveItemWithName	1						1	Đồng Kiếm	Phi Yến	150	0	0	0	0.6	600	120
35	Thu thập 2 Ma Đao Thạch cấp 2	<color=yellow>Chế tạo vũ khí<color> đạt tới cấp 10 có thể chế tạo 	GiveItem	2	18	1	66	2		2	Ma Đao Thạch (cấp 2)		1000	0	0	0	0.6	100	90
36	Thu thập 2 Hộ Giáp Phiến cấp 2	<color=yellow>Chế tạo phòng cụ<color> đạt tới cấp 10 có thể chế tạo 	GiveItem	2	18	1	67	2		2	Hộ Giáp Phiến (cấp 2)		1000	0	0	0	0.6	100	90
37	Thu thập 2 Ngũ Hành Thạch cấp 2	<color=yellow>Chế tạo trang sức<color> đạt tới cấp 10 có thể chế tạo 	GiveItem	2	18	1	68	2		2	Ngũ Hành Thạch (cấp 2)		1000	0	0	0	0.6	100	90
38	Thu thập 2 Ma Đao Thạch cấp 3	<color=yellow>Chế tạo vũ khí<color> đạt tới cấp 20 có thể chế tạo 	GiveItem	2	18	1	66	3		2	Ma Đao Thạch (cấp 3)		500	0	0	0	0.6	300	90
39	Thu thập 2 Hộ Giáp Phiến cấp 3	<color=yellow>Chế tạo phòng cụ<color> đạt tới cấp 20 có thể chế tạo 	GiveItem	2	18	1	67	3		2	Hộ Giáp Phiến (cấp 3)		500	0	0	0	0.6	300	90
40	Thu thập 2 Ngũ Hành Thạch cấp 3	<color=yellow>Chế tạo trang sức<color> đạt tới cấp 20 có thể chế tạo 	GiveItem	2	18	1	68	3		2	Ngũ Hành Thạch (cấp 3)		500	0	0	0	0.6	300	90
41	Thu thập 1 túi da thú	<color=yellow>Chế tác thủ công<color> đạt tới cấp 10 có thể chế tạo 	GiveItem	2	21	1	1	1		1	Túi da thú		1500	0	0	0	0.6	600	90
42	Thu thập 1 Tỏa Tử Giáp - Hoàng Quang	<color=yellow>Chế tạo phòng cụ<color> đạt tới cấp 10 có thể chế tạo 	GiveItemWithName	2						1	Tỏa Tử Giáp	Hoàng Quang	100	0	0	0	0.6	300	150
43	Thu thập 1 Bạch Nhung Giáp - Hoàng Quang	<color=yellow>Chế tạo phòng cụ<color> đạt tới cấp 10 có thể chế tạo 	GiveItemWithName	2						1	Bạch Nhung Giáp	Hoàng Quang	100	0	0	0	0.6	300	150
44	Thu thập 1 Thích Khách Trang - Hoàng Quang	<color=yellow>Chế tạo phòng cụ<color> đạt tới cấp 10 có thể chế tạo 	GiveItemWithName	2						1	Thích Khách Trang	Hoàng Quang	100	0	0	0	0.6	300	150
45	Thu thập 1 Linh Vận Trang - Hoàng Quang	<color=yellow>Chế tạo phòng cụ<color> đạt tới cấp 10 có thể chế tạo 	GiveItemWithName	2						1	Linh Vận Trang	Hoàng Quang	100	0	0	0	0.6	300	150
46	Thu thập 1 Dật Hiệp Bào - Hoàng Quang	<color=yellow>Chế tạo phòng cụ<color> đạt tới cấp 10 có thể chế tạo 	GiveItemWithName	2						1	Dật Hiệp Bào	Hoàng Quang	100	0	0	0	0.6	300	150
47	Thu thập 1 Khởi Lệ Sam - Hoàng Quang	<color=yellow>Chế tạo phòng cụ<color> đạt tới cấp 10 có thể chế tạo 	GiveItemWithName	2						1	Khởi Lệ Sam	Hoàng Quang	100	0	0	0	0.6	300	150
48	Thu thập 1 Tinh Thiết Thúc Phát - Hoàng Quang	<color=yellow>Chế tạo phòng cụ<color> đạt tới cấp 10 có thể chế tạo 	GiveItemWithName	2						1	Tinh Thiết Thúc Phát	Hoàng Quang	100	0	0	0	0.6	300	150
49	Thu thập 1 Lục Điệp Ngọc Đái - Hoàng Quang	<color=yellow>Chế tạo phòng cụ<color> đạt tới cấp 10 có thể chế tạo 	GiveItemWithName	2						1	Lục Điệp Ngọc Đái	Hoàng Quang	100	0	0	0	0.6	300	150
50	Thu thập 1 Mãn Nguyệt Lạp - Hoàng Quang	<color=yellow>Chế tạo phòng cụ<color> đạt tới cấp 10 có thể chế tạo 	GiveItemWithName	2						1	Mãn Nguyệt Lạp	Hoàng Quang	100	0	0	0	0.6	300	150
51	Thu thập 1 Lục Ngọc Phát Đái - Hoàng Quang	<color=yellow>Chế tạo phòng cụ<color> đạt tới cấp 10 có thể chế tạo 	GiveItemWithName	2						1	Lục Ngọc Phát Đái	Hoàng Quang	100	0	0	0	0.6	300	150
52	Thu thập 1 Tiêu Dao Cân - Hoàng Quang	<color=yellow>Chế tạo phòng cụ<color> đạt tới cấp 10 có thể chế tạo 	GiveItemWithName	2						1	Tiêu Dao Cân	Hoàng Quang	100	0	0	0	0.6	300	150
53	Thu thập 1 Ngân Linh Thoa - Hoàng Quang	<color=yellow>Chế tạo phòng cụ<color> đạt tới cấp 10 có thể chế tạo 	GiveItemWithName	2						1	Ngân Linh Thoa	Hoàng Quang	100	0	0	0	0.6	300	150
54	Thu thập 1 Xuyết Giáp Yêu Đái - Hoàng Quang	<color=yellow>Chế tạo phòng cụ<color> đạt tới cấp 10 có thể chế tạo 	GiveItemWithName	2						1	Xuyết Giáp Yêu Đái	Hoàng Quang	100	0	0	0	0.6	300	150
55	Thu thập 1 Sĩ Nữ Yêu Đái - Hoàng Quang	<color=yellow>Chế tạo phòng cụ<color> đạt tới cấp 10 có thể chế tạo 	GiveItemWithName	2						1	Sĩ Nữ Yêu Đái	Hoàng Quang	100	0	0	0	0.6	300	150
56	Thu thập 1 Bắc Sơn Hộ Uyển- Hoàng Quang	<color=yellow>Chế tạo phòng cụ<color> đạt tới cấp 10 có thể chế tạo 	GiveItemWithName	2						1	Bắc Sơn Hộ Uyển	Hoàng Quang	100	0	0	0	0.6	300	150
57	Thu thập 1 Ngọc Diệp Hộ Uyển- Hoàng Quang	<color=yellow>Chế tạo phòng cụ<color> đạt tới cấp 10 có thể chế tạo 	GiveItemWithName	2						1	Ngọc Diệp Thủ Trạc	Hoàng Quang	100	0	0	0	0.6	300	150
58	Thu thập 1 Ô Cách Ngoa - Diên Dương	<color=yellow>Chế tạo phòng cụ<color> đạt tới cấp 10 có thể chế tạo 	GiveItemWithName	2						1	Ô Cách Ngoa	Diên Dương	100	0	0	0	0.6	300	150
59	Thu thập 1 Kim Xỉ Ngoa - Diên Dương	<color=yellow>Chế tạo phòng cụ<color> đạt tới cấp 10 có thể chế tạo 	GiveItemWithName	2						1	Kim Xỉ Ngoa	Diên Dương	100	0	0	0	0.6	300	150
60	Thu thập 1 Hiệp Thiếu Giới - Hoàng Quang	<color=yellow>Chế tạo trang sức<color> đạt tới cấp 10 có thể chế tạo 	GiveItemWithName	2						1	Hiệp Thiếu Giới	Hoàng Quang	180	0	0	0	0.6	500	150
61	Thu thập 1 Hà Diệp Bội - Hoàng Quang	<color=yellow>Chế tạo trang sức<color> đạt tới cấp 10 có thể chế tạo 	GiveItemWithName	2						1	Hà Diệp Bội	Hoàng Quang	180	0	0	0	0.6	500	150
62	Thu thập 1 Mạt Lợi Hương Nang - Hoàng Quang	<color=yellow>Chế tạo trang sức<color> đạt tới cấp 10 có thể chế tạo 	GiveItemWithName	2						1	Mạt Lợi Hương Nang	Hoàng Quang	180	0	0	0	0.6	500	150
63	Thu thập 1 Hổ Tinh Hạng Liên - Hoàng Quang	<color=yellow>Chế tạo trang sức<color> đạt tới cấp 10 có thể chế tạo 	GiveItemWithName	2						1	Hổ Tinh Hạng Liên	Hoàng Quang	180	0	0	0	0.6	500	150
64	Thu thập 1 Linh Lung Phù - Hoàng Quang	<color=yellow>Chế tạo trang sức<color> đạt tới cấp 10 có thể chế tạo 	GiveItemWithName	2						1	Linh Lung Phù	Hoàng Quang	180	0	0	0	0.6	500	150
65	Thu thập 1 Quỷ Đầu Đao - Phi Yến	<color=yellow>Chế tạo vũ khí<color> đạt tới cấp 10 có thể chế tạo 	GiveItemWithName	2						1	Quỷ Đầu Đao	Phi Yến	75	0	0	0	0.6	1800	150
66	Thu thập 1 Tề Mi Côn - Phi Yến	<color=yellow>Chế tạo vũ khí<color> đạt tới cấp 10 có thể chế tạo 	GiveItemWithName	2						1	Tề Mi Côn	Phi Yến	75	0	0	0	0.6	1800	150
67	Thu thập 1 Hồng Anh Thương - Hoàng Quang	<color=yellow>Chế tạo vũ khí<color> đạt tới cấp 10 có thể chế tạo 	GiveItemWithName	2						1	Hồng Anh Thương	Hoàng Quang	75	0	0	0	0.6	1800	150
68	Thu thập 1 Bát Lăng Chùy - Hoàng Quang	<color=yellow>Chế tạo vũ khí<color> đạt tới cấp 10 có thể chế tạo 	GiveItemWithName	2						1	Bát Lăng Chùy	Hoàng Quang	75	0	0	0	0.6	1800	150
69	Thu thập 1 La Hán Triền Thủ - Linh Vũ	<color=yellow>Chế tạo vũ khí<color> đạt tới cấp 10 có thể chế tạo 	GiveItemWithName	2						1	La Hán Triền Thủ	Linh Vũ	75	0	0	0	0.6	1800	150
70	Thu thập 1 Tùng Văn Kiếm - Phi Yến	<color=yellow>Chế tạo vũ khí<color> đạt tới cấp 10 có thể chế tạo 	GiveItemWithName	2						1	Tùng Văn Kiếm	Phi Yến	75	0	0	0	0.6	1800	150
71	Thu thập 1 Lưỡng Đang Khải - Hoàng Quang	<color=yellow>Chế tạo phòng cụ<color> đạt tới cấp 20 có thể chế tạo 	GiveItemWithName	3						1	Lưỡng Đang Khải	Hoàng Quang	0	1000	0	0	0.6	650	180
72	Thu thập 1 Võ Luyện Giáp - Hoàng Quang	<color=yellow>Chế tạo phòng cụ<color> đạt tới cấp 20 có thể chế tạo 	GiveItemWithName	3						1	Võ Luyện Giáp	Hoàng Quang	0	1000	0	0	0.6	650	180
73	Thu thập 1 Ngư Nhẫn Trang - Hoàng Quang	<color=yellow>Chế tạo phòng cụ<color> đạt tới cấp 20 có thể chế tạo 	GiveItemWithName	3						1	Ngư Nhẫn Trang	Hoàng Quang	0	1000	0	0	0.6	650	180
74	Thu thập 1 Tử Kình Trang - Hoàng Quang	<color=yellow>Chế tạo phòng cụ<color> đạt tới cấp 20 có thể chế tạo 	GiveItemWithName	3						1	Tử Kình Trang	Hoàng Quang	0	1000	0	0	0.6	650	180
75	Thu thập 1 Thanh Sương Bào - Hoàng Quang	<color=yellow>Chế tạo phòng cụ<color> đạt tới cấp 20 có thể chế tạo 	GiveItemWithName	3						1	Thanh Sương Bào	Hoàng Quang	0	1000	0	0	0.6	650	180
76	Thu thập 1 Tâm Ấn Sam - Hoàng Quang	<color=yellow>Chế tạo phòng cụ<color> đạt tới cấp 20 có thể chế tạo 	GiveItemWithName	3						1	Tâm Ấn Sam	Hoàng Quang	0	1000	0	0	0.6	650	180
77	Thu thập 1 Song Diện Khôi - Hoàng Quang	<color=yellow>Chế tạo phòng cụ<color> đạt tới cấp 20 có thể chế tạo 	GiveItemWithName	3						1	Song Diện Khôi	Hoàng Quang	0	1000	0	0	0.6	650	180
78	Thu thập 1 Phỉ Thúy Trâm - Hoàng Quang	<color=yellow>Chế tạo phòng cụ<color> đạt tới cấp 20 có thể chế tạo 	GiveItemWithName	3						1	Phỉ Thúy Trâm	Hoàng Quang	0	1000	0	0	0.6	650	180
79	Thu thập 1 Huyền Sa Cân - Hoàng Quang	<color=yellow>Chế tạo phòng cụ<color> đạt tới cấp 20 có thể chế tạo 	GiveItemWithName	3						1	Huyền Sa Cân	Hoàng Quang	0	1000	0	0	0.6	650	180
80	Thu thập 1 Bích Thủy Phát Đái - Hoàng Quang	<color=yellow>Chế tạo phòng cụ<color> đạt tới cấp 20 có thể chế tạo 	GiveItemWithName	3						1	Bích Thủy Phát Đái	Hoàng Quang	0	1000	0	0	0.6	650	180
81	Thu thập 1 Kim Phong Quan - Hoàng Quang	<color=yellow>Chế tạo phòng cụ<color> đạt tới cấp 20 có thể chế tạo 	GiveItemWithName	3						1	Kim Phong Quán	Hoàng Quang	0	1000	0	0	0.6	650	180
82	Thu thập 1 Thú Cốt Thoa - Hoàng Quang	<color=yellow>Chế tạo phòng cụ<color> đạt tới cấp 20 có thể chế tạo 	GiveItemWithName	3						1	Thú Cốt Thoa	Hoàng Quang	0	1000	0	0	0.6	650	180
83	Thu thập 1 Thanh Thú Yêu Đái - Hoàng Quang	<color=yellow>Chế tạo phòng cụ<color> đạt tới cấp 20 có thể chế tạo 	GiveItemWithName	3						1	Thanh Thú Yêu Đái	Hoàng Quang	0	1000	0	0	0.6	650	180
84	Thu thập 1 Bàn Hoa Yêu Đái - Hoàng Quang	<color=yellow>Chế tạo phòng cụ<color> đạt tới cấp 20 có thể chế tạo 	GiveItemWithName	3						1	Bàn Hoa Yêu Đái	Hoàng Quang	0	1000	0	0	0.6	650	180
85	Thu thập 1 Thích Tường Hộ Uyển - Hoàng Quang	<color=yellow>Chế tạo phòng cụ<color> đạt tới cấp 20 có thể chế tạo 	GiveItemWithName	3						1	Thích Tường Hộ Uyển	Hoàng Quang	0	1000	0	0	0.6	650	180
86	Thu thập 1 Linh Lung Thủ Trạc - Hoàng Quang	<color=yellow>Chế tạo phòng cụ<color> đạt tới cấp 20 có thể chế tạo 	GiveItemWithName	3						1	Linh Lung Thủ Trạc	Hoàng Quang	0	1000	0	0	0.6	650	180
87	Thu thập 1 Thị Vệ Ngoa - Diên Dương	<color=yellow>Chế tạo phòng cụ<color> đạt tới cấp 20 có thể chế tạo 	GiveItemWithName	3						1	Thị Vệ Ngoa	Diên Dương	0	1000	0	0	0.6	650	180
88	Thu thập 1 Bách Hoa Ngoa - Diên Dương	<color=yellow>Chế tạo phòng cụ<color> đạt tới cấp 20 có thể chế tạo 	GiveItemWithName	3						1	Bách Hoa Ngoa	Diên Dương	0	1000	0	0	0.6	650	180
89	Thu thập 1 Phân Thủy Giới - Hoàng Quang	<color=yellow>Chế tạo trang sức<color> đạt tới cấp 20 có thể chế tạo 	GiveItemWithName	3						1	Phân Thủy Giới	Hoàng Quang	0	1800	0	0	0.6	1200	180
90	Thu thập 1 Lộc Văn Bội - Hoàng Quang	<color=yellow>Chế tạo trang sức<color> đạt tới cấp 20 có thể chế tạo 	GiveItemWithName	3						1	Lộc Văn Bội	Hoàng Quang	0	1800	0	0	0.6	1200	180
91	Thu thập 1 Nhũ Hương Hương Nang - Hoàng Quang	<color=yellow>Chế tạo trang sức<color> đạt tới cấp 20 có thể chế tạo 	GiveItemWithName	3						1	Nhũ Hương Hương Nang	Hoàng Quang	0	1800	0	0	0.6	1200	180
92	Thu thập 1 Băng Tinh Hạng Liên - Hoàng Quang	<color=yellow>Chế tạo trang sức<color> đạt tới cấp 20 có thể chế tạo 	GiveItemWithName	3						1	Băng Tinh Hạng Liên	Hoàng Quang	0	1800	0	0	0.6	1200	180
93	Thu thập 1 Bách Cẩm Phù - Hoàng Quang	<color=yellow>Chế tạo trang sức<color> đạt tới cấp 20 có thể chế tạo 	GiveItemWithName	3						1	Bách Cẩm Phù	Hoàng Quang	0	1800	0	0	0.6	1200	180
94	Thu thập 1 Trảm Mã Đao - Phi Yến	<color=yellow>Chế tạo vũ khí<color> đạt tới cấp 20 có thể chế tạo 	GiveItemWithName	3						1	Trảm Mã Đao	Phi Yến	0	750	0	0	0.6	4000	180
95	Thu thập 1 Tứ Bình Côn - Phi Yến	<color=yellow>Chế tạo vũ khí<color> đạt tới cấp 20 có thể chế tạo 	GiveItemWithName	3						1	Tứ Bình Côn	Phi Yến	0	750	0	0	0.6	4000	180
96	Thu thập 1 Điểm Cang Thương - Hoàng Quang	<color=yellow>Chế tạo vũ khí<color> đạt tới cấp 20 có thể chế tạo 	GiveItemWithName	3						1	Điểm Cang Thương	Hoàng Quang	0	750	0	0	0.6	4000	180
97	Thu thập 1 Ngũ Tinh Chùy - Hoàng Quang	<color=yellow>Chế tạo vũ khí<color> đạt tới cấp 20 có thể chế tạo 	GiveItemWithName	3						1	Ngũ Tinh Chùy	Hoàng Quang	0	750	0	0	0.6	4000	180
98	Thu thập 1 Quyền Tông Triền Thủ - Linh Vũ	<color=yellow>Chế tạo vũ khí<color> đạt tới cấp 20 có thể chế tạo 	GiveItemWithName	3						1	Quyền Tông Triền Thủ	Linh Vũ	0	750	0	0	0.6	4000	180
99	Thu thập 1 Thất Xích Kiếm - Phi Yến	<color=yellow>Chế tạo vũ khí<color> đạt tới cấp 20 có thể chế tạo 	GiveItemWithName	3						1	Thất Xích Kiếm	Phi Yến	0	750	0	0	0.6	4000	180
100	Thu thập 3 Lệnh Bài Nghĩa Quân	Hoàn thành nhiệm vụ Bao Vạn Đồng 10 lần liên tiếp sẽ nhận được Lệnh Bài Nghĩa Quân	GiveItem	4	18	1	84	1		3	Lệnh Bài Nghĩa Quân		0	0	1000	0	0.6	6000	300
101	Thu thập 2 Lệnh Bài Bạch Hổ Đường (sơ)	Thủ lĩnh Bạch Hổ Đường 1, 2, 3 đánh rơi Lệnh Bài Bạch Hổ Đường	GiveItem	4	18	1	111	1		2	Lệnh Bài Bạch Hổ Đường (sơ)		0	0	1000	0	0.6	6000	300
102	Thu thập 1 Lệnh Bài Gia Tộc (sơ)	Có thể mở Lệnh Bài Gia Tộc trong rương quý Mã Xuyên Sơn (đến Mã Xuyên Sơn dùng 100 Đồng tiền cổ nhận được từ Ải Gia Tộc để đổi lấy lệnh bài)	GiveItem	4	18	1	110	1		1	Lệnh Bài Gia Tộc (sơ)		0	0	1000	0	0.6	6000	300
103	Thu thập 1 Lệnh Bài Thi Đấu Môn Phái (sơ)	Có thể mở Lệnh Bài Thi Đấu Môn Phái trong Rương thi đấu môn phái (thời gian mở thi đấu môn phái là thứ 3 và thứ 6 lúc 7 giờ tối)	GiveItem	4	18	1	81	1		1	Lệnh bài thi đấu môn phái (sơ)		0	0	1000	0	0.6	15000	300
