TaskId	TaskName	TaskType	Diff	Genre	Detail	Particular	Level	Series	Num	ItemName	Suffix	Step01	Step02	Step03	LevelFlag	AwardExp	NeedTime
16	Đến Thương Nhân Thần Bí phái Thiếu Lâm mua 1 Vạn Phật Ban Chỉ (hãy dò la thật kỹ vì Thương Nhân Thần Bí sẽ bất ngờ xuất hiện trong Thiếu Lâm)	GiveItem	3	18	1	134	1		1	Vạn Phật Ban Chỉ		0	1000	0	0	0.6	180
17	Đến Thương Nhân Thần Bí của Thiên Vương Bang để mua một viên Dạ Minh Châu (hãy dò la thật kỹ vì Thương Nhân Thần Bí sẽ bất ngờ xuất hiện trong Thiên Vương Bang)	GiveItem	3	18	1	135	1		1	Dạ Minh Châu		0	1000	0	0	0.6	180
18	Đến Thương Nhân Thần Bí của Đường Môn mua 1 Liệp Thú Giáp (hãy dò la thật kỹ vì Thương Nhân Thần Bí sẽ bất ngờ xuất hiện trong Đường Môn) 	GiveItem	3	18	1	136	1		1	Liệp Thú Giáp		0	1000	0	0	0.6	180
19	Đến Thương Nhân Thần Bí Ngũ Độc Giáo mua 1 Cô Lâu Liệm (hãy dò la thật kỹ vì Thương Nhân Thần Bí sẽ bất ngờ xuất hiện trong Ngũ Độc Giáo)	GiveItem	3	18	1	137	1		1	Cô Lâu Liên		0	1000	0	0	0.6	180
20	Đến Thương Nhân Thần Bí phái Nga My mua 1 Lưu Ly Trâm (hãy dò la thật kỹ vì Thương Nhân Thần Bí sẽ bất ngờ xuất hiện trong Nga My)	GiveItem	3	18	1	139	1		1	Lưu Ly Trâm		0	1000	0	0	0.6	180
21	Đến Thương Nhân Thần Bí Thúy Yên Môn mua 1 Lục Mẫu Đơn (hãy dò la thật kỹ vì Thương Nhân Thần Bí sẽ bất ngờ xuất hiện trong Thúy Yên Môn)	GiveItem	3	18	1	140	1		1	Lục Mẫu Đơn		0	1000	0	0	0.6	180
22	Đến Thương Nhân Thần Bí Cái Bang mua 1 Khiếu Hoa Kê (hãy dò la thật kỹ vì Thương Nhân Thần Bí sẽ bất ngờ xuất hiện trong Cái Bang)	GiveItem	3	18	1	142	1		1	Khiếu Hoa Kê		0	1000	0	0	0.6	180
23	Đến Thương Nhân Thần Bí Thiên Nhẫn Giáo mua 1 Thiết Mã Đáng (hãy dò la thật kỹ vì Thương Nhân Thần Bí sẽ bất ngờ xuất hiện trong Thiên Nhẫn Giáo)	GiveItem	3	18	1	143	1		1	Thiết Mã Đáng		0	1000	0	0	0.6	180
24	Đến Thương Nhân Thần Bí Võ Đang mua 1 Trấn Trạch Bảo Kính (hãy dò la thật kỹ vì Thương Nhân Thần Bí sẽ bất ngờ xuất hiện trong Võ Đang)	GiveItem	3	18	1	144	1		1	Trấn Trạch Bảo Kính		0	1000	0	0	0.6	180
25	Đến Thương Nhân Thần Bí phái Côn Lôn mua 1 Tay gấu Tuyết Sơn (hãy dò la thật kỹ vì Thương Nhân Thần Bí sẽ bất ngờ xuất hiện trong phái Côn Lôn)	GiveItem	3	18	1	145	1		1	Tay gấu Tuyết Sơn		0	1000	0	0	0.6	180
26	Đến Thương Nhân Thần Bí của Đại Lý mua 1 Đạp Ca Đồ (hãy dò la thật kỹ vì Thương Nhân Thần Bí sẽ bất ngờ xuất hiện trong Đại Lý Đoàn Thị)	GiveItem	3	18	1	141	1		1	Đạp Ca Đồ		0	1000	0	0	0.6	180
27	Đến Thương Nhân Thần Bí Minh Giáo mua 1 Bí Độc Phương (hãy dò la thật kỹ vì Thương Nhân Thần Bí sẽ bất ngờ xuất hiện trong Minh Giáo) 	GiveItem	3	18	1	138	1		1	Mật Độc Phương		0	1000	0	0	0.6	180
