TotalFile:539	PakTime:2010-8-6 13:13:57	PakTimeSave:4c5b9a15	CRC:bf970aa5
Index	ID	Time	FileName	Size	InPakSize	ComprFlag	CRC
116	3bad4738	2010-8-6 13:7:34	\script\event\jieri\200812_xmas\item\xmas_socks.lua	5802	1998	4	7e29b692
117	3baec4f1	2010-8-6 13:7:36	\script\item\function\requiredesc.lua	2519	894	4	4f4c28f
118	3be2d3ac	2010-8-6 13:7:35	\script\item\class\chop.lua	2039	904	4	974f0477
119	3beb8d18	2010-8-6 13:7:38	\script\npc\faction\menpainpc.lua	24156	7815	4	76dbcc36
120	3cfe5d1c	2010-8-6 13:7:34	\script\event\jieri\200812_xmas\xmas_base.lua	2521	939	4	d71220ef
121	3d0118ee	2010-8-6 13:7:35	\script\item\class\extbag.lua	256	216	4	c2a468bc
122	3d726b3b	2010-8-6 13:7:35	\script\item\class\equip.lua	27512	6847	4	bed8a545
123	3e12ef54	2010-8-6 13:7:35	\script\fightskill\enchant\book\kunlun.lua	1527	418	4	a2de3308
124	3e2a1b21	2010-8-6 13:7:38	\script\npc\baihutang_chuansong.lua	3876	1767	4	f04bc093
125	3eb9af93	2010-8-6 13:7:35	\script\fightskill\magicdesc.lua	70910	12396	4	8876a3d2
126	3f50540b	2010-8-6 13:7:34	\script\event\manager\eventpart\npc_multdialog.lua	922	486	4	d7e3b01b
127	3f8dcdf9	2010-8-6 13:7:37	\script\mission\towerdefence\item\hoe.lua	1391	709	4	6d2949a0
128	3f9581c8	2010-8-6 13:7:43	\script\task\treasuremap\npc\duobaozei.lua	996	374	4	3ccafc4f
129	3fd30596	2010-8-6 13:7:39	\script\pvp\npc\menpaijingjibaoming.lua	985	497	4	be17eadb
130	405fa50d	2010-8-6 13:7:42	\script\task\target\stepevent.lua	547	272	4	b518027a
131	40c859da	2010-8-6 13:7:35	\script\globalserverbattle\gbwlls\gbwlls_file.lua	13688	2707	4	3fe0c1dd
132	40cad9d3	2010-8-6 13:7:36	\script\item\class\huichengfu.lua	2269	1006	4	53ce244c
133	40e234c6	2010-8-6 13:7:35	\script\fightskill\faction\tianren.lua	21786	4631	4	b77e5c3c
134	4112260b	2010-8-6 13:7:36	\script\item\class\huangjinqinghe.lua	814	558	4	5f6268b9
135	4154a896	2010-8-6 13:7:35	\script\fightskill\statereplaceregular.lua	3086	838	4	4fb71b22
136	417444f6	2010-8-6 13:7:37	\script\map\linanfu\linanfu.lua	3721	861	4	911696ed
137	41f31776	2010-8-6 13:7:36	\script\item\class\snowglove.lua	303	244	4	d068a7f4
138	424a30f5	2010-8-6 13:7:42	\script\task\target\openboxgetitem.lua	3614	1458	4	3bd04bbb
139	42501572	2010-8-6 13:7:40	\script\task\armycamp\item\army_hisbook130.lua	3672	1560	4	c2eec413
140	42d76301	2010-8-6 13:7:35	\script\fightskill\normal\zhenfa.lua	2121	573	4	5fc08e16
141	44067c0f	2010-8-6 13:7:38	\script\npc\yayi.lua	3710	1591	4	4ea5874e
142	44573b4d	2010-8-6 13:7:40	\script\task\awardconditions.lua	6407	950	4	ac3467b7
143	4512978d	2010-8-6 13:7:43	\script\task\treasuremap\instancing\damogucheng\npc\survivor.lua	4666	1565	4	b60691fa
144	4518d3eb	2010-8-6 13:7:36	\script\item\function\refine.lua	8791	2683	4	8c58f44f
145	4670b7c7	2010-8-6 13:7:35	\script\ibshop\ibshop_client.lua	1770	547	4	8935b4fd
146	48162a53	2010-8-6 13:7:37	\script\log\log_ui.lua	1301	535	4	3266440f
147	48365141	2010-8-6 13:7:35	\script\fightskill\faction\emei.lua	14145	3430	4	c6f37ad8
148	484550c4	2010-8-6 13:7:38	\script\partner\partner_c.lua	6590	1987	4	cdf8bace
149	48acf17f	2010-8-6 13:7:36	\script\item\class\planitem.lua	12192	4108	4	fd7120e0
150	49e59ba1	2010-8-6 13:7:41	\script\task\random\scroll_head.lua	3299	1252	4	da2f82eb
151	4a02ace2	2010-8-6 13:7:34	\script\event\manager\base.lua	13997	2595	4	b9100a5b
152	4ad5a1e6	2010-8-6 13:7:40	\script\task\blacksky.lua	4350	1389	4	a6712086
153	4b50cd7c	2010-8-6 13:7:35	\script\item\class\bailiandan.lua	1027	512	4	7c9e341
154	4c47151f	2010-8-6 13:7:33	\script\event\collectcard\item\card_bag.lua	1426	739	4	7853d06a
155	4cb12bdb	2010-8-6 13:7:38	\script\partner\partner.lua	38571	10720	4	bc91f078
156	4d5fb5d0	2010-8-6 13:7:33	\script\event\collectcard\define.lua	6401	2474	4	4abe3d4b
157	4d94e572	2010-8-6 13:7:43	\script\task\treasuremap\instancing\bainiantianlao\trap\trap_main.lua	900	456	4	a6a8bcf4
158	4e146c37	2010-8-6 13:7:38	\script\player\player.lua	37142	11721	4	b32116c5
159	4e584876	2010-8-6 13:7:37	\script\mission\battle\npc\mafu.lua	141	119	4	b55e4476
160	4e6cb15d	2010-8-6 13:7:35	\script\item\class\baijuwan.lua	144	143	4	c7c8cced
161	4e9e062f	2010-8-6 13:7:40	\script\task\classbase.lua	12507	3753	4	176ab8f3
162	4f7b2ea8	2010-8-6 13:7:35	\script\fightskill\fightskill.lua	10546	3335	4	2f260919
163	4fb3c38b	2010-8-6 13:7:34	\script\event\manager\eventpart\npc_getaward.lua	247	183	4	632d6a92
164	4fb899b7	2010-8-6 13:7:43	\script\task\treasuremap\instancing\tao\npc\tao_tomb_door.lua	708	433	4	2f6b2e5f
165	501f05a6	2010-8-6 13:7:41	\script\task\random\head.lua	6083	2112	4	c45dc771
166	507570f6	2010-8-6 13:7:36	\script\item\class\treasure_map.lua	214	157	4	22b5dccc
167	50fa9244	2010-8-6 13:7:43	\script\trade\trade.lua	1358	515	4	2db3abfe
168	517642c7	2010-8-6 13:7:38	\script\npc\yijunshouling.lua	7015	2039	4	2c82b0e4
169	52a02931	2010-8-6 13:7:38	\script\npc\wupinbaoguanren.lua	2766	1334	4	a78c350d
170	52c4b369	2010-8-6 13:7:40	\script\task\conditions.lua	10072	3014	4	f16a13c3
171	535aab97	2010-8-6 13:7:36	\script\item\class\seriesinfobook.lua	2796	986	4	83831723
172	54440803	2010-8-6 13:7:37	\script\lib\calc.lua	1354	611	4	94b7b0aa
173	544b49fc	2010-8-6 13:7:34	\script\event\manager\manager.lua	14105	2947	4	a286c3a2
174	5451cfa9	2010-8-6 13:7:35	\script\fightskill\faction\tianwang.lua	16016	3484	4	139d5ede
175	5465479a	2010-8-6 13:7:33	\script\domainbattle\domainmanager.lua	13260	3564	4	abcd390
176	54bbacc7	2010-8-6 13:7:42	\script\task\target\insightbook.lua	2954	1112	4	4903c59e
177	56da4a7f	2010-8-6 13:7:43	\script\task\treasuremap\mapmaker_head.lua	970	470	4	cacb4b56
178	5719c905	2010-8-6 13:7:43	\script\tong\tongdef.lua	7673	3532	4	2da7807a
179	5747ff5f	2010-8-6 13:7:35	\script\fightskill\skillstate.lua	6172	1532	4	f5acfb73
180	574c2417	2010-8-6 13:7:38	\script\npc\wulinmengzhu.lua	992	534	4	5d7dc9ac
181	57678193	2010-8-6 13:7:41	\script\task\target\catchnpc.lua	3261	1162	4	9c066a90
182	58a7c4da	2010-8-6 13:7:34	\script\event\manager\eventpart\item_useitem.lua	381	207	4	6ede80ab
183	58aa212a	2010-8-6 13:7:35	\script\item\class\chuansongfu.lua	9939	3497	4	bec56d3d
184	590201a1	2010-8-6 13:7:37	\script\item\mask.lua	1665	640	4	1ae8b34b
185	595bea3d	2010-8-6 13:7:41	\script\task\help\help.lua	12118	3845	4	b6cd70d3
186	59a9a526	2010-8-6 13:7:37	\script\mission\dragonboat\dragonboat.lua	12016	3271	4	92fb9db7
187	59b82181	2010-8-6 13:7:39	\script\player\playerhonor.lua	42289	8910	4	390455f2
188	5a3839b3	2010-8-6 13:7:43	\script\task\treasuremap\instancing\damogucheng\main.lua	660	376	4	4cf279c3
189	5a93c033	2010-8-6 13:7:33	\script\common\setting.lua	970	461	4	69c6027d
190	5ab559d9	2010-8-6 13:7:36	\script\item\class\qingdian_yanhua.lua	3499	1525	4	3de9a2f8
191	5ae573eb	2010-8-6 13:7:43	\script\tradetax\tradetax_def.lua	1015	532	4	3ad3cb51
192	5b098e66	2010-8-6 13:7:41	\script\task\merchant\item\merchant_box.lua	4708	1696	4	d40ba3ef
193	5b6eab2b	2010-8-6 13:7:35	\script\fightskill\normal\jump.lua	366	257	4	1201ad52
194	5bae5e21	2010-8-6 13:7:33	\script\event\collectcard\collect_gs.lua	8230	2664	4	a1bcc32b
195	5c0e37eb	2010-8-6 13:7:43	\script\tong\tonglogic.lua	28459	7482	4	ac2b5da7
196	5c113bc6	2010-8-6 13:7:39	\script\pvp\npc\jingjiqizhi.lua	3358	1053	4	efacd34a
197	5ce86564	2010-8-6 13:7:43	\script\temp\templogin.lua	372	228	4	4b743e58
198	5d14d940	2010-8-6 13:7:40	\script\task\armycamp\item\army_handbook.lua	773	498	4	c98c1e2a
199	5d557478	2010-8-6 13:7:37	\script\lib\generalaward.lua	4587	1694	4	c9617148
200	5d5f24cb	2010-8-6 13:7:41	\script\task\target\addobj.lua	4533	1654	4	9eca6095
201	5dabdd7c	2010-8-6 13:7:37	\script\kin\kinlogic.lua	11695	3271	4	dd541ec0
202	5e72fbad	2010-8-6 13:7:42	\script\task\target\giveitemwithname.lua	3291	1243	4	58d022d6
203	5ece16d4	2010-8-6 13:7:38	\script\npc\bubbleconditions.lua	140	100	4	8e163b6e
204	5f235299	2010-8-6 13:7:38	\script\mission\xoyogame\xoyogame_def.lua	3347	1809	4	c2ce2269
205	5f863a2d	2010-8-6 13:7:39	\script\relation\relation_client.lua	2685	895	4	a9c81d25
206	5fe51f0f	2010-8-6 13:7:37	\script\kin\kluakinmember.lua	3404	1253	4	ffaab1ce
207	60d22964	2010-8-6 13:7:41	\script\task\target\dialognpc2fightnpc.lua	6049	1823	4	42fd5baa
208	6124e494	2010-8-6 13:7:42	\script\task\target\saywithnpc.lua	3301	1322	4	f5e2b84a
209	634d95ff	2010-8-6 13:7:42	\script\task\target\joinkin.lua	2634	890	4	a31994c8
210	6375ab1f	2010-8-6 13:7:36	\script\item\class\jinxi.lua	426	317	4	9aec36dd
211	638b516b	2010-8-6 13:7:42	\script\task\target\searchitem.lua	2335	882	4	27ff8be1
212	63c11c5a	2010-8-6 13:7:42	\script\task\target\killnpc.lua	2475	930	4	22fa1a5b
213	64789cfd	2010-8-6 13:7:34	\script\event\jieri\20100501_labor_day\mingyang_book.lua	685	422	4	5289b87a
214	64b63dad	2010-8-6 13:7:43	\script\tong\kluatong.lua	16258	4368	4	cddcca12
215	64f3988f	2010-8-6 13:7:43	\script\temp\m3_interface.lua	1103	679	4	fadc70d2
216	64f4cd6b	2010-8-6 13:7:36	\script\item\class\mengpaijingjilingpai.lua	1480	769	4	60b0a16
217	655cc7cb	2010-8-6 13:7:38	\script\mission\wlls\wlls_def.lua	11876	4433	4	1b24dd83
218	659695b8	2010-8-6 13:7:37	\script\lifeskill\skillclassbase.lua	592	193	4	76c56c4e
219	67b85f53	2010-8-6 13:7:33	\script\event\collectcard\item\zhuhongguo.lua	5444	2191	4	a92d8329
220	67f75d8a	2010-8-6 13:7:34	\script\event\specialevent\questionnaires\questionnaires_c.lua	201	142	4	afbe93eb
221	68165d62	2010-8-6 13:7:42	\script\task\target\killnpc4item.lua	4793	1588	4	15a7ab29
222	68363dcf	2010-8-6 13:7:35	\script\fightskill\faction\wudu.lua	20616	4303	4	80d932ad
223	69518da6	2010-8-6 13:7:38	\script\player\kluaplayer.lua	44450	10304	4	dc1bb605
224	69532e85	2010-8-6 13:7:36	\script\item\class\modaoshi.lua	291	216	4	8d5286ff
225	6a0c29a9	2010-8-6 13:7:36	\script\item\function\change.lua	3486	1324	4	8262fa33
226	6b30836f	2010-8-6 13:7:36	\script\item\class\tongfunditem.lua	2369	1073	4	cbbc5442
227	6bf5eb67	2010-8-6 13:7:37	\script\mission\dragonboat\item\zongziskill.lua	1343	730	4	4c12e223
228	6d9f40a9	2010-8-6 13:7:42	\script\task\target\talkwithnpc.lua	2795	1044	4	51d9dabf
229	6dfb094e	2010-8-6 13:7:37	\script\kin\kindef.lua	3566	1961	4	4dff09a
230	6f32b7d6	2010-8-6 13:7:37	\script\ladder\define.lua	2717	1182	4	f9bdb2e2
231	6f80d92d	2010-8-6 13:7:35	\script\item\class\extrep.lua	1557	786	4	243baff
232	70df5648	2010-8-6 13:7:43	\script\task\treasuremap\treasuremap.lua	8848	2446	4	cc8cc8bf
233	71b02fbe	2010-8-6 13:7:37	\script\mission\towerdefence\item\td_fuzou.lua	7511	2393	4	4db3b3e9
234	71bdb2fe	2010-8-6 13:7:42	\script\task\target\productwithprocess.lua	11402	3257	4	5c8f8e4b
235	71d4499b	2010-8-6 13:7:35	\script\fightskill\enchant\book\cuiyan.lua	731	262	4	e8cdb779
236	723fa5de	2010-8-6 13:7:43	\script\task\treasuremap\instancing\damogucheng\npc\save_npc.lua	3168	1407	4	91d47877
237	72892f7d	2010-8-6 13:7:41	\script\task\linktask\npc_linktask.lua	12888	4382	4	d833cc93
238	7313e45a	2010-8-6 13:7:35	\script\fightskill\enchant\oldmidbook\samplestyle.lua	60	60	0	b6945fd9
239	73c1c948	2010-8-6 13:7:38	\script\npc\npc.lua	13163	3658	4	38b7fc5f
240	751d2109	2010-8-6 13:7:34	\script\event\specialevent\vn_201007\equitbox.lua	1780	652	4	79409ce2
241	753f7de3	2010-8-6 13:7:33	\script\achievement\achievement_define.lua	3067	1287	4	fdc7a4e4
242	76c6b0fd	2010-8-6 13:7:40	\script\task\autotest\tasktest_tb.lua	280661	20876	4	4e0b8ce4
243	7706a933	2010-8-6 13:7:37	\script\log\log.lua	3543	1555	4	8e17766d
244	774dbc03	2010-8-6 13:7:40	\script\task\armycamp\scheduletask.lua	484	314	4	80406040
245	77645b4c	2010-8-6 13:7:34	\script\event\manager\function.lua	16306	3859	4	c841d08d
246	7766b714	2010-8-6 13:7:42	\script\task\target\giveplayeritem.lua	3679	1464	4	5b17298e
247	78050d59	2010-8-6 13:7:42	\script\task\target\fight2dialog.lua	6153	1890	4	42e42035
248	78805b48	2010-8-6 13:7:36	\script\item\class\skillitem.lua	1230	557	4	347994e
249	78a11edf	2010-8-6 13:7:41	\script\task\merchant\merchant_base.lua	9213	3093	4	65a58e93
250	78f1ea3f	2010-8-6 13:7:36	\script\item\class\tianyanfulogic.lua	2517	1079	4	f780f394
251	7a051963	2010-8-6 13:7:33	\script\achievement\achievement_client.lua	252	174	4	f5ddc109
252	7a3eeecc	2010-8-6 13:7:37	\script\mission\esport\esport_def.lua	4677	1989	4	97c8d0c7
253	7adb1fa0	2010-8-6 13:7:38	\script\mission\xoyogame\item\xoyo_challenge.lua	1304	629	4	c9854fb8
254	7ae31c4c	2010-8-6 13:7:34	\script\event\jieri\200812_xmas\snowman\item\xmas_xuantuan.lua	1141	535	4	d15f0dff
255	7b0f9d8f	2010-8-6 13:7:41	\script\task\target\addtaskitem.lua	1068	417	4	f5ecd7ab
256	7b7277c7	2010-8-6 13:7:39	\script\playerprofile\playerprofile_def.lua	1207	636	4	f4dd893c
257	7c0d4ba2	2010-8-6 13:7:35	\script\fightskill\faction\cuiyan.lua	14472	3579	4	6cb9d585
