Index	OrgitemID	ItemFirstType	ItemSecondType	Sex	Series	KongFu	ItemID1	Rate1	ItemID2	Rate2	ItemID3	Rate3
55	18,1,1953,1	1	4	0	2	2	2,1,1035,10	7600	2,1,1106,10	2000	2,1,1177,10	400
56	18,1,1953,1	1	4	0	2	1	2,1,1059,10	7600	2,1,1130,10	2000	2,1,1201,10	400
57	18,1,1953,1	1	4	0	3	2	2,1,1040,10	7600	2,1,1111,10	2000	2,1,1182,10	400
58	18,1,1953,1	1	4	0	3	1	2,1,1063,10	7600	2,1,1134,10	2000	2,1,1205,10	400
59	18,1,1953,1	1	4	0	4	2	2,1,1044,10	7600	2,1,1115,10	2000	2,1,1186,10	400
60	18,1,1953,1	1	4	0	4	1	2,1,1067,10	7600	2,1,1138,10	2000	2,1,1209,10	400
61	18,1,1953,1	1	4	0	5	2	2,1,1048,10	7600	2,1,1119,10	2000	2,1,1190,10	400
62	18,1,1953,1	1	4	0	5	1	2,1,1071,10	7600	2,1,1142,10	2000	2,1,1213,10	400
63	18,1,1953,1	1	6	0	1	2	2,2,101,10	7600	2,2,103,10	2000	2,2,105,10	400
64	18,1,1953,1	1	6	0	2	2	2,2,10,10	7600	2,2,30,10	2000	2,2,70,10	400
65	18,1,1953,1	1	6	0	3	2	2,2,107,10	7600	2,2,109,10	2000	2,2,111,10	400
66	18,1,1953,1	1	6	0	4	2	2,2,113,10	7600	2,2,115,10	2000	2,2,117,10	400
67	18,1,1953,1	1	6	0	5	2	2,2,119,10	7600	2,2,121,10	2000	2,2,123,10	400
68	18,1,1953,1	1	8	0	1	2	2,2,102,10	7600	2,2,104,10	2000	2,2,106,10	400
69	18,1,1953,1	1	8	0	1	1	2,2,215,10	7600	2,2,216,10	2000	2,2,217,10	400
70	18,1,1953,1	1	8	0	2	2	2,2,20,10	7600	2,2,40,10	2000	2,2,80,10	400
71	18,1,1953,1	1	8	0	2	1	2,2,218,10	7600	2,2,219,10	2000	2,2,220,10	400
72	18,1,1953,1	1	8	0	3	2	2,2,108,10	7600	2,2,110,10	2000	2,2,112,10	400
73	18,1,1953,1	1	8	0	3	1	2,2,221,10	7600	2,2,222,10	2000	2,2,223,10	400
74	18,1,1953,1	1	8	0	4	2	2,2,114,10	7600	2,2,116,10	2000	2,2,118,10	400
75	18,1,1953,1	1	8	0	4	1	2,2,224,10	7600	2,2,225,10	2000	2,2,226,10	400
76	18,1,1953,1	1	8	0	5	2	2,2,120,10	7600	2,2,122,10	2000	2,2,124,10	400
77	18,1,1953,1	1	8	0	5	1	2,2,174,10	7600	2,2,184,10	2000	2,2,204,10	400
78	18,1,1954,1	1	7	0	1	2					2,1,1173,10	10000
79	18,1,1954,1	1	7	0	1	1					2,1,1197,10	10000
80	18,1,1954,1	1	7	0	2	2					2,1,1178,10	10000
81	18,1,1954,1	1	7	0	2	1					2,1,601,10	10000
82	18,1,1954,1	1	7	0	3	2					2,1,1183,10	10000
83	18,1,1954,1	1	7	0	3	1					2,1,631,10	10000
84	18,1,1954,1	1	7	0	4	2					2,1,1187,10	10000
85	18,1,1954,1	1	7	0	4	1					2,1,671,10	10000
86	18,1,1954,1	1	7	0	5	2					2,1,1191,10	10000
87	18,1,1954,1	1	7	0	5	1					2,1,1214,10	10000
88	18,1,1954,1	1	1	0	1	2					2,1,1170,10	10000
89	18,1,1954,1	1	1	0	1	1					2,1,1194,10	10000
90	18,1,1954,1	1	1	0	2	2					2,1,1175,10	10000
91	18,1,1954,1	1	1	0	2	1					2,1,981,10	10000
92	18,1,1954,1	1	1	0	3	2					2,1,1180,10	10000
93	18,1,1954,1	1	1	0	3	1					2,1,641,10	10000
94	18,1,1954,1	1	1	0	4	2					2,1,1185,10	10000
95	18,1,1954,1	1	1	0	4	1					2,1,1207,10	10000
96	18,1,1954,1	1	1	0	5	2					2,1,701,10	10000
97	18,1,1954,1	1	1	0	5	2					2,1,1506,10	10000
98	18,1,1954,1	1	1	0	5	1					2,1,711,10	10000
99	18,1,1954,1	1	1	0	5	1					2,1,721,10	10000
100	18,1,1954,1	1	2	0	1	2					2,1,551,10	10000
101	18,1,1954,1	1	2	0	1	1					2,1,1193,10	10000
102	18,1,1954,1	1	2	0	2	2					2,1,591,10	10000
103	18,1,1954,1	1	2	0	2	1					2,1,1199,10	10000
104	18,1,1954,1	1	2	0	3	2					2,1,611,10	10000
105	18,1,1954,1	1	2	0	3	1					2,1,1203,10	10000
106	18,1,1954,1	1	2	0	4	2					2,1,1184,10	10000
107	18,1,1954,1	1	2	0	4	1					2,1,681,10	10000
108	18,1,1954,1	1	2	0	5	2					2,1,691,10	10000
109	18,1,1954,1	1	2	0	5	1					2,1,1211,10	10000
110	18,1,1954,1	1	5	0	1	2					2,1,561,10	10000
111	18,1,1954,1	1	5	0	1	1					2,1,1192,10	10000
112	18,1,1954,1	1	5	0	2	2					2,1,1174,10	10000
113	18,1,1954,1	1	5	0	2	1					2,1,1198,10	10000
114	18,1,1954,1	1	5	0	3	2					2,1,1179,10	10000
115	18,1,1954,1	1	5	0	3	1					2,1,1202,10	10000
116	18,1,1954,1	1	5	0	4	2					2,1,651,10	10000
117	18,1,1954,1	1	5	0	4	1					2,1,1206,10	10000
118	18,1,1954,1	1	5	0	5	2					2,1,1188,10	10000
119	18,1,1954,1	1	5	0	5	1					2,1,1210,10	10000
120	18,1,1954,1	1	3	0	1	2					2,1,1171,10	10000
121	18,1,1954,1	1	3	0	1	1					2,1,1195,10	10000
122	18,1,1954,1	1	3	0	2	2					2,1,1176,10	10000
123	18,1,1954,1	1	3	0	2	1					2,1,1200,10	10000
124	18,1,1954,1	1	3	0	3	2					2,1,1181,10	10000
125	18,1,1954,1	1	3	0	3	1					2,1,1204,10	10000
126	18,1,1954,1	1	3	0	4	2					2,1,661,10	10000
127	18,1,1954,1	1	3	0	4	1					2,1,1208,10	10000
128	18,1,1954,1	1	3	0	5	2					2,1,1189,10	10000
129	18,1,1954,1	1	3	0	5	1					2,1,1212,10	10000
130	18,1,1954,1	1	4	0	1	2					2,1,1172,10	10000
131	18,1,1954,1	1	4	0	1	1					2,1,1196,10	10000
132	18,1,1954,1	1	4	0	2	2					2,1,1177,10	10000
133	18,1,1954,1	1	4	0	2	1					2,1,1201,10	10000
134	18,1,1954,1	1	4	0	3	2					2,1,1182,10	10000
135	18,1,1954,1	1	4	0	3	1					2,1,1205,10	10000
136	18,1,1954,1	1	4	0	4	2					2,1,1186,10	10000
137	18,1,1954,1	1	4	0	4	1					2,1,1209,10	10000
138	18,1,1954,1	1	4	0	5	2					2,1,1190,10	10000
139	18,1,1954,1	1	4	0	5	1					2,1,1213,10	10000
140	18,1,1954,1	1	6	0	1	2					2,2,105,10	10000
141	18,1,1954,1	1	6	0	2	2					2,2,70,10	10000
142	18,1,1954,1	1	6	0	3	2					2,2,111,10	10000
143	18,1,1954,1	1	6	0	4	2					2,2,117,10	10000
144	18,1,1954,1	1	6	0	5	2					2,2,123,10	10000
145	18,1,1954,1	1	8	0	1	2					2,2,106,10	10000
146	18,1,1954,1	1	8	0	1	1					2,2,217,10	10000
147	18,1,1954,1	1	8	0	2	2					2,2,80,10	10000
148	18,1,1954,1	1	8	0	2	1					2,2,220,10	10000
149	18,1,1954,1	1	8	0	3	2					2,2,112,10	10000
150	18,1,1954,1	1	8	0	3	1					2,2,223,10	10000
151	18,1,1954,1	1	8	0	4	2					2,2,118,10	10000
152	18,1,1954,1	1	8	0	4	1					2,2,226,10	10000
153	18,1,1954,1	1	8	0	5	2					2,2,124,10	10000
154	18,1,1954,1	1	8	0	5	1					2,2,204,10	10000
155	18,1,1980,1	1	1	0	1	1					7,1,2,10	10000
156	18,1,1980,1	1	1	0	1	2					7,1,2,10	10000
157	18,1,1980,1	1	1	0	2	1					7,1,2,10	10000
158	18,1,1980,1	1	1	0	2	2					7,1,2,10	10000
159	18,1,1980,1	1	1	0	3	1					7,1,2,10	10000
160	18,1,1980,1	1	1	0	3	2					7,1,2,10	10000
161	18,1,1980,1	1	1	0	4	1					7,1,2,10	10000
162	18,1,1980,1	1	1	0	4	2					7,1,2,10	10000
163	18,1,1980,1	1	1	0	5	1					7,1,2,10	10000
164	18,1,1980,1	1	1	0	5	2					7,1,2,10	10000
165	18,1,1980,1	1	2	0	1	1					7,1,3,10	10000
166	18,1,1980,1	1	2	0	1	2					7,1,3,10	10000
167	18,1,1980,1	1	2	0	2	1					7,1,3,10	10000
168	18,1,1980,1	1	2	0	2	2					7,1,3,10	10000
169	18,1,1980,1	1	2	0	3	1					7,1,3,10	10000
170	18,1,1980,1	1	2	0	3	2					7,1,3,10	10000
171	18,1,1980,1	1	2	0	4	1					7,1,3,10	10000
172	18,1,1980,1	1	2	0	4	2					7,1,3,10	10000
173	18,1,1980,1	1	2	0	5	1					7,1,3,10	10000
174	18,1,1980,1	1	2	0	5	2					7,1,3,10	10000
175	18,1,1980,1	1	3	0	1	1					7,1,5,10	10000
176	18,1,1980,1	1	3	0	1	2					7,1,5,10	10000
177	18,1,1980,1	1	3	0	2	1					7,1,5,10	10000
178	18,1,1980,1	1	3	0	2	2					7,1,5,10	10000
179	18,1,1980,1	1	3	0	3	1					7,1,5,10	10000
180	18,1,1980,1	1	3	0	3	2					7,1,5,10	10000
181	18,1,1980,1	1	3	0	4	1					7,1,5,10	10000
182	18,1,1980,1	1	3	0	4	2					7,1,5,10	10000
183	18,1,1980,1	1	3	0	5	1					7,1,5,10	10000
184	18,1,1980,1	1	3	0	5	2					7,1,5,10	10000
185	18,1,1980,1	1	4	0	1	1					7,1,6,10	10000
186	18,1,1980,1	1	4	0	1	2					7,1,6,10	10000
187	18,1,1980,1	1	4	0	2	1					7,1,6,10	10000
188	18,1,1980,1	1	4	0	2	2					7,1,6,10	10000
189	18,1,1980,1	1	4	0	3	1					7,1,6,10	10000
190	18,1,1980,1	1	4	0	3	2					7,1,6,10	10000
191	18,1,1980,1	1	4	0	4	1					7,1,6,10	10000
192	18,1,1980,1	1	4	0	4	2					7,1,6,10	10000
193	18,1,1980,1	1	4	0	5	1					7,1,6,10	10000
194	18,1,1980,1	1	4	0	5	2					7,1,6,10	10000
195	18,1,1980,1	1	5	0	1	1					7,1,4,10	10000
196	18,1,1980,1	1	5	0	1	2					7,1,4,10	10000
197	18,1,1980,1	1	5	0	2	1					7,1,4,10	10000
198	18,1,1980,1	1	5	0	2	2					7,1,4,10	10000
199	18,1,1980,1	1	5	0	3	1					7,1,4,10	10000
200	18,1,1980,1	1	5	0	3	2					7,1,4,10	10000
201	18,1,1980,1	1	5	0	4	1					7,1,4,10	10000
202	18,1,1980,1	1	5	0	4	2					7,1,4,10	10000
203	18,1,1980,1	1	5	0	5	1					7,1,4,10	10000
204	18,1,1980,1	1	5	0	5	2					7,1,4,10	10000
205	18,1,1980,1	1	6	0	1	1					7,2,7,10	10000
206	18,1,1980,1	1	6	0	1	2					7,2,7,10	10000
207	18,1,1980,1	1	6	0	2	1					7,2,7,10	10000
208	18,1,1980,1	1	6	0	2	2					7,2,7,10	10000
209	18,1,1980,1	1	6	0	3	1					7,2,7,10	10000
210	18,1,1980,1	1	6	0	3	2					7,2,7,10	10000
211	18,1,1980,1	1	6	0	4	1					7,2,7,10	10000
212	18,1,1980,1	1	6	0	4	2					7,2,7,10	10000
213	18,1,1980,1	1	6	0	5	1					7,2,7,10	10000
214	18,1,1980,1	1	6	0	5	2					7,2,7,10	10000
215	18,1,1980,1	1	7	0	1	1					7,1,1,10	10000
216	18,1,1980,1	1	7	0	1	2					7,1,1,10	10000
217	18,1,1980,1	1	7	0	2	1					7,1,1,10	10000
218	18,1,1980,1	1	7	0	2	2					7,1,1,10	10000
219	18,1,1980,1	1	7	0	3	1					7,1,1,10	10000
220	18,1,1980,1	1	7	0	3	2					7,1,1,10	10000
221	18,1,1980,1	1	7	0	4	1					7,1,1,10	10000
222	18,1,1980,1	1	7	0	4	2					7,1,1,10	10000
223	18,1,1980,1	1	7	0	5	1					7,1,1,10	10000
224	18,1,1980,1	1	7	0	5	2					7,1,1,10	10000
225	18,1,1980,1	1	8	0	1	1					7,2,8,10	10000
226	18,1,1980,1	1	8	0	1	2					7,2,8,10	10000
227	18,1,1980,1	1	8	0	2	1					7,2,8,10	10000
228	18,1,1980,1	1	8	0	2	2					7,2,8,10	10000
229	18,1,1980,1	1	8	0	3	1					7,2,8,10	10000
230	18,1,1980,1	1	8	0	3	2					7,2,8,10	10000
231	18,1,1980,1	1	8	0	4	1					7,2,8,10	10000
232	18,1,1980,1	1	8	0	4	2					7,2,8,10	10000
233	18,1,1980,1	1	8	0	5	1					7,2,8,10	10000
234	18,1,1980,1	1	8	0	5	2					7,2,8,10	10000
235	18,1,1981,1	1	1	0	1	1					7,1,2,10	10000
236	18,1,1981,1	1	1	0	1	2					7,1,2,10	10000
237	18,1,1981,1	1	1	0	2	1					7,1,2,10	10000
238	18,1,1981,1	1	1	0	2	2					7,1,2,10	10000
239	18,1,1981,1	1	1	0	3	1					7,1,2,10	10000
240	18,1,1981,1	1	1	0	3	2					7,1,2,10	10000
241	18,1,1981,1	1	1	0	4	1					7,1,2,10	10000
242	18,1,1981,1	1	1	0	4	2					7,1,2,10	10000
243	18,1,1981,1	1	1	0	5	1					7,1,2,10	10000
244	18,1,1981,1	1	1	0	5	2					7,1,2,10	10000
245	18,1,1981,1	1	2	0	1	1					7,1,3,10	10000
246	18,1,1981,1	1	2	0	1	2					7,1,3,10	10000
247	18,1,1981,1	1	2	0	2	1					7,1,3,10	10000
248	18,1,1981,1	1	2	0	2	2					7,1,3,10	10000
249	18,1,1981,1	1	2	0	3	1					7,1,3,10	10000
250	18,1,1981,1	1	2	0	3	2					7,1,3,10	10000
251	18,1,1981,1	1	2	0	4	1					7,1,3,10	10000
252	18,1,1981,1	1	2	0	4	2					7,1,3,10	10000
253	18,1,1981,1	1	2	0	5	1					7,1,3,10	10000
254	18,1,1981,1	1	2	0	5	2					7,1,3,10	10000
255	18,1,1981,1	1	3	0	1	1					7,1,5,10	10000
256	18,1,1981,1	1	3	0	1	2					7,1,5,10	10000
257	18,1,1981,1	1	3	0	2	1					7,1,5,10	10000
258	18,1,1981,1	1	3	0	2	2					7,1,5,10	10000
259	18,1,1981,1	1	3	0	3	1					7,1,5,10	10000
260	18,1,1981,1	1	3	0	3	2					7,1,5,10	10000
261	18,1,1981,1	1	3	0	4	1					7,1,5,10	10000
262	18,1,1981,1	1	3	0	4	2					7,1,5,10	10000
263	18,1,1981,1	1	3	0	5	1					7,1,5,10	10000
264	18,1,1981,1	1	3	0	5	2					7,1,5,10	10000
265	18,1,1981,1	1	4	0	1	1					7,1,6,10	10000
266	18,1,1981,1	1	4	0	1	2					7,1,6,10	10000
267	18,1,1981,1	1	4	0	2	1					7,1,6,10	10000
268	18,1,1981,1	1	4	0	2	2					7,1,6,10	10000
269	18,1,1981,1	1	4	0	3	1					7,1,6,10	10000
270	18,1,1981,1	1	4	0	3	2					7,1,6,10	10000
271	18,1,1981,1	1	4	0	4	1					7,1,6,10	10000
272	18,1,1981,1	1	4	0	4	2					7,1,6,10	10000
273	18,1,1981,1	1	4	0	5	1					7,1,6,10	10000
274	18,1,1981,1	1	4	0	5	2					7,1,6,10	10000
275	18,1,1981,1	1	5	0	1	1					7,1,4,10	10000
276	18,1,1981,1	1	5	0	1	2					7,1,4,10	10000
277	18,1,1981,1	1	5	0	2	1					7,1,4,10	10000
278	18,1,1981,1	1	5	0	2	2					7,1,4,10	10000
279	18,1,1981,1	1	5	0	3	1					7,1,4,10	10000
280	18,1,1981,1	1	5	0	3	2					7,1,4,10	10000
281	18,1,1981,1	1	5	0	4	1					7,1,4,10	10000
282	18,1,1981,1	1	5	0	4	2					7,1,4,10	10000
283	18,1,1981,1	1	5	0	5	1					7,1,4,10	10000
284	18,1,1981,1	1	5	0	5	2					7,1,4,10	10000
285	18,1,1981,1	1	6	0	1	1					7,2,7,10	10000
286	18,1,1981,1	1	6	0	1	2					7,2,7,10	10000
287	18,1,1981,1	1	6	0	2	1					7,2,7,10	10000
288	18,1,1981,1	1	6	0	2	2					7,2,7,10	10000
289	18,1,1981,1	1	6	0	3	1					7,2,7,10	10000
290	18,1,1981,1	1	6	0	3	2					7,2,7,10	10000
291	18,1,1981,1	1	6	0	4	1					7,2,7,10	10000
292	18,1,1981,1	1	6	0	4	2					7,2,7,10	10000
293	18,1,1981,1	1	6	0	5	1					7,2,7,10	10000
294	18,1,1981,1	1	6	0	5	2					7,2,7,10	10000
295	18,1,1981,1	1	7	0	1	1					7,1,1,10	10000
296	18,1,1981,1	1	7	0	1	2					7,1,1,10	10000
297	18,1,1981,1	1	7	0	2	1					7,1,1,10	10000
298	18,1,1981,1	1	7	0	2	2					7,1,1,10	10000
299	18,1,1981,1	1	7	0	3	1					7,1,1,10	10000
300	18,1,1981,1	1	7	0	3	2					7,1,1,10	10000
301	18,1,1981,1	1	7	0	4	1					7,1,1,10	10000
302	18,1,1981,1	1	7	0	4	2					7,1,1,10	10000
303	18,1,1981,1	1	7	0	5	1					7,1,1,10	10000
304	18,1,1981,1	1	7	0	5	2					7,1,1,10	10000
305	18,1,1981,1	1	8	0	1	1					7,2,8,10	10000
306	18,1,1981,1	1	8	0	1	2					7,2,8,10	10000
307	18,1,1981,1	1	8	0	2	1					7,2,8,10	10000
308	18,1,1981,1	1	8	0	2	2					7,2,8,10	10000
309	18,1,1981,1	1	8	0	3	1					7,2,8,10	10000
310	18,1,1981,1	1	8	0	3	2					7,2,8,10	10000
311	18,1,1981,1	1	8	0	4	1					7,2,8,10	10000
312	18,1,1981,1	1	8	0	4	2					7,2,8,10	10000
313	18,1,1981,1	1	8	0	5	1					7,2,8,10	10000
314	18,1,1981,1	1	8	0	5	2					7,2,8,10	10000
315	18,1,1980,2	1	1	0	1	1					7,1,2,10	10000
316	18,1,1980,2	1	1	0	1	2					7,1,2,10	10000
317	18,1,1980,2	1	1	0	2	1					7,1,2,10	10000
318	18,1,1980,2	1	1	0	2	2					7,1,2,10	10000
319	18,1,1980,2	1	1	0	3	1					7,1,2,10	10000
320	18,1,1980,2	1	1	0	3	2					7,1,2,10	10000
321	18,1,1980,2	1	1	0	4	1					7,1,2,10	10000
322	18,1,1980,2	1	1	0	4	2					7,1,2,10	10000
323	18,1,1980,2	1	1	0	5	1					7,1,2,10	10000
324	18,1,1980,2	1	1	0	5	2					7,1,2,10	10000
325	18,1,1980,2	1	2	0	1	1					7,1,3,10	10000
326	18,1,1980,2	1	2	0	1	2					7,1,3,10	10000
327	18,1,1980,2	1	2	0	2	1					7,1,3,10	10000
328	18,1,1980,2	1	2	0	2	2					7,1,3,10	10000
329	18,1,1980,2	1	2	0	3	1					7,1,3,10	10000
330	18,1,1980,2	1	2	0	3	2					7,1,3,10	10000
331	18,1,1980,2	1	2	0	4	1					7,1,3,10	10000
332	18,1,1980,2	1	2	0	4	2					7,1,3,10	10000
333	18,1,1980,2	1	2	0	5	1					7,1,3,10	10000
334	18,1,1980,2	1	2	0	5	2					7,1,3,10	10000
335	18,1,1980,2	1	3	0	1	1					7,1,5,10	10000
336	18,1,1980,2	1	3	0	1	2					7,1,5,10	10000
337	18,1,1980,2	1	3	0	2	1					7,1,5,10	10000
338	18,1,1980,2	1	3	0	2	2					7,1,5,10	10000
339	18,1,1980,2	1	3	0	3	1					7,1,5,10	10000
340	18,1,1980,2	1	3	0	3	2					7,1,5,10	10000
341	18,1,1980,2	1	3	0	4	1					7,1,5,10	10000
342	18,1,1980,2	1	3	0	4	2					7,1,5,10	10000
343	18,1,1980,2	1	3	0	5	1					7,1,5,10	10000
344	18,1,1980,2	1	3	0	5	2					7,1,5,10	10000
345	18,1,1980,2	1	4	0	1	1					7,1,6,10	10000
346	18,1,1980,2	1	4	0	1	2					7,1,6,10	10000
347	18,1,1980,2	1	4	0	2	1					7,1,6,10	10000
348	18,1,1980,2	1	4	0	2	2					7,1,6,10	10000
349	18,1,1980,2	1	4	0	3	1					7,1,6,10	10000
350	18,1,1980,2	1	4	0	3	2					7,1,6,10	10000
351	18,1,1980,2	1	4	0	4	1					7,1,6,10	10000
352	18,1,1980,2	1	4	0	4	2					7,1,6,10	10000
353	18,1,1980,2	1	4	0	5	1					7,1,6,10	10000
354	18,1,1980,2	1	4	0	5	2					7,1,6,10	10000
355	18,1,1980,2	1	5	0	1	1					7,1,4,10	10000
356	18,1,1980,2	1	5	0	1	2					7,1,4,10	10000
357	18,1,1980,2	1	5	0	2	1					7,1,4,10	10000
358	18,1,1980,2	1	5	0	2	2					7,1,4,10	10000
359	18,1,1980,2	1	5	0	3	1					7,1,4,10	10000
360	18,1,1980,2	1	5	0	3	2					7,1,4,10	10000
361	18,1,1980,2	1	5	0	4	1					7,1,4,10	10000
362	18,1,1980,2	1	5	0	4	2					7,1,4,10	10000
363	18,1,1980,2	1	5	0	5	1					7,1,4,10	10000
364	18,1,1980,2	1	5	0	5	2					7,1,4,10	10000
365	18,1,1980,2	1	6	0	1	1					7,2,7,10	10000
366	18,1,1980,2	1	6	0	1	2					7,2,7,10	10000
367	18,1,1980,2	1	6	0	2	1					7,2,7,10	10000
368	18,1,1980,2	1	6	0	2	2					7,2,7,10	10000
369	18,1,1980,2	1	6	0	3	1					7,2,7,10	10000
370	18,1,1980,2	1	6	0	3	2					7,2,7,10	10000
371	18,1,1980,2	1	6	0	4	1					7,2,7,10	10000
372	18,1,1980,2	1	6	0	4	2					7,2,7,10	10000
373	18,1,1980,2	1	6	0	5	1					7,2,7,10	10000
374	18,1,1980,2	1	6	0	5	2					7,2,7,10	10000
375	18,1,1980,2	1	7	0	1	1					7,1,1,10	10000
376	18,1,1980,2	1	7	0	1	2					7,1,1,10	10000
