Level	UpgardeExp1	Value1	UpgardeExp2	Value2	UpgardeExp3	Value3	UpgardeExp4	Value4	UpgardeExp5	Value5
106	10600	28355000	10600	28355000	10600	28355000	10600	28355000	10600	28355000
107	10700	28890000	10700	28890000	10700	28890000	10700	28890000	10700	28890000
108	10800	29430000	10800	29430000	10800	29430000	10800	29430000	10800	29430000
109	10900	29975000	10900	29975000	10900	29975000	10900	29975000	10900	29975000
110	11000	30525000	11000	30525000	11000	30525000	11000	30525000	11000	30525000
111	11100	31080000	11100	31080000	11100	31080000	11100	31080000	11100	31080000
112	11200	31640000	11200	31640000	11200	31640000	11200	31640000	11200	31640000
113	11300	32205000	11300	32205000	11300	32205000	11300	32205000	11300	32205000
114	11400	32775000	11400	32775000	11400	32775000	11400	32775000	11400	32775000
115	11500	33350000	11500	33350000	11500	33350000	11500	33350000	11500	33350000
116	11600	33930000	11600	33930000	11600	33930000	11600	33930000	11600	33930000
117	11700	34515000	11700	34515000	11700	34515000	11700	34515000	11700	34515000
118	11800	35105000	11800	35105000	11800	35105000	11800	35105000	11800	35105000
119	11900	35700000	11900	35700000	11900	35700000	11900	35700000	11900	35700000
120	12000	36300000	12000	36300000	12000	36300000	12000	36300000	12000	36300000
121	12100	36905000	12100	36905000	12100	36905000	12100	36905000	12100	36905000
122	12200	37515000	12200	37515000	12200	37515000	12200	37515000	12200	37515000
123	12300	38130000	12300	38130000	12300	38130000	12300	38130000	12300	38130000
124	12400	38750000	12400	38750000	12400	38750000	12400	38750000	12400	38750000
125	12500	39375000	12500	39375000	12500	39375000	12500	39375000	12500	39375000
126	12600	40005000	12600	40005000	12600	40005000	12600	40005000	12600	40005000
127	12700	40640000	12700	40640000	12700	40640000	12700	40640000	12700	40640000
128	12800	41280000	12800	41280000	12800	41280000	12800	41280000	12800	41280000
129	12900	41925000	12900	41925000	12900	41925000	12900	41925000	12900	41925000
130	13000	42575000	13000	42575000	13000	42575000	13000	42575000	13000	42575000
131	13100	43230000	13100	43230000	13100	43230000	13100	43230000	13100	43230000
132	13200	43890000	13200	43890000	13200	43890000	13200	43890000	13200	43890000
133	13300	44555000	13300	44555000	13300	44555000	13300	44555000	13300	44555000
134	13400	45225000	13400	45225000	13400	45225000	13400	45225000	13400	45225000
135	13500	45900000	13500	45900000	13500	45900000	13500	45900000	13500	45900000
136	13600	46580000	13600	46580000	13600	46580000	13600	46580000	13600	46580000
137	13700	47265000	13700	47265000	13700	47265000	13700	47265000	13700	47265000
138	13800	47955000	13800	47955000	13800	47955000	13800	47955000	13800	47955000
139	13900	48650000	13900	48650000	13900	48650000	13900	48650000	13900	48650000
140	14000	49350000	14000	49350000	14000	49350000	14000	49350000	14000	49350000
141	14100	50055000	14100	50055000	14100	50055000	14100	50055000	14100	50055000
142	14200	50765000	14200	50765000	14200	50765000	14200	50765000	14200	50765000
143	14300	51480000	14300	51480000	14300	51480000	14300	51480000	14300	51480000
144	14400	52200000	14400	52200000	14400	52200000	14400	52200000	14400	52200000
145	14500	52925000	14500	52925000	14500	52925000	14500	52925000	14500	52925000
146	14600	53655000	14600	53655000	14600	53655000	14600	53655000	14600	53655000
147	14700	54390000	14700	54390000	14700	54390000	14700	54390000	14700	54390000
148	14800	55130000	14800	55130000	14800	55130000	14800	55130000	14800	55130000
149	14900	55875000	14900	55875000	14900	55875000	14900	55875000	14900	55875000
150	15000	56625000	15000	56625000	15000	56625000	15000	56625000	15000	56625000
151	15100	57380000	15100	57380000	15100	57380000	15100	57380000	15100	57380000
152	15200	58140000	15200	58140000	15200	58140000	15200	58140000	15200	58140000
153	15300	58905000	15300	58905000	15300	58905000	15300	58905000	15300	58905000
154	15400	59675000	15400	59675000	15400	59675000	15400	59675000	15400	59675000
155	15500	60450000	15500	60450000	15500	60450000	15500	60450000	15500	60450000
156	15600	61230000	15600	61230000	15600	61230000	15600	61230000	15600	61230000
157	15700	62015000	15700	62015000	15700	62015000	15700	62015000	15700	62015000
158	15800	62805000	15800	62805000	15800	62805000	15800	62805000	15800	62805000
159	15900	63600000	15900	63600000	15900	63600000	15900	63600000	15900	63600000
160	16000	64400000	16000	64400000	16000	64400000	16000	64400000	16000	64400000
161	16100	65205000	16100	65205000	16100	65205000	16100	65205000	16100	65205000
162	16200	66015000	16200	66015000	16200	66015000	16200	66015000	16200	66015000
163	16300	66830000	16300	66830000	16300	66830000	16300	66830000	16300	66830000
164	16400	67650000	16400	67650000	16400	67650000	16400	67650000	16400	67650000
165	16500	68475000	16500	68475000	16500	68475000	16500	68475000	16500	68475000
166	16600	69305000	16600	69305000	16600	69305000	16600	69305000	16600	69305000
167	16700	70140000	16700	70140000	16700	70140000	16700	70140000	16700	70140000
168	16800	70980000	16800	70980000	16800	70980000	16800	70980000	16800	70980000
169	16900	71825000	16900	71825000	16900	71825000	16900	71825000	16900	71825000
170	17000	72675000	17000	72675000	17000	72675000	17000	72675000	17000	72675000
171	17100	73530000	17100	73530000	17100	73530000	17100	73530000	17100	73530000
172	17200	74390000	17200	74390000	17200	74390000	17200	74390000	17200	74390000
173	17300	75255000	17300	75255000	17300	75255000	17300	75255000	17300	75255000
174	17400	76125000	17400	76125000	17400	76125000	17400	76125000	17400	76125000
175	17500	77000000	17500	77000000	17500	77000000	17500	77000000	17500	77000000
176	17600	77880000	17600	77880000	17600	77880000	17600	77880000	17600	77880000
177	17700	78765000	17700	78765000	17700	78765000	17700	78765000	17700	78765000
178	17800	79655000	17800	79655000	17800	79655000	17800	79655000	17800	79655000
179	17900	80550000	17900	80550000	17900	80550000	17900	80550000	17900	80550000
180	18000	81450000	18000	81450000	18000	81450000	18000	81450000	18000	81450000
181	18100	82355000	18100	82355000	18100	82355000	18100	82355000	18100	82355000
182	18200	83265000	18200	83265000	18200	83265000	18200	83265000	18200	83265000
183	18300	84180000	18300	84180000	18300	84180000	18300	84180000	18300	84180000
184	18400	85100000	18400	85100000	18400	85100000	18400	85100000	18400	85100000
185	18500	86025000	18500	86025000	18500	86025000	18500	86025000	18500	86025000
186	18600	86955000	18600	86955000	18600	86955000	18600	86955000	18600	86955000
187	18700	87890000	18700	87890000	18700	87890000	18700	87890000	18700	87890000
188	18800	88830000	18800	88830000	18800	88830000	18800	88830000	18800	88830000
189	18900	89775000	18900	89775000	18900	89775000	18900	89775000	18900	89775000
190	19000	90725000	19000	90725000	19000	90725000	19000	90725000	19000	90725000
191	19100	91680000	19100	91680000	19100	91680000	19100	91680000	19100	91680000
192	19200	92640000	19200	92640000	19200	92640000	19200	92640000	19200	92640000
193	19300	93605000	19300	93605000	19300	93605000	19300	93605000	19300	93605000
194	19400	94575000	19400	94575000	19400	94575000	19400	94575000	19400	94575000
195	19500	95550000	19500	95550000	19500	95550000	19500	95550000	19500	95550000
196	19600	96530000	19600	96530000	19600	96530000	19600	96530000	19600	96530000
197	19700	97515000	19700	97515000	19700	97515000	19700	97515000	19700	97515000
198	19800	98505000	19800	98505000	19800	98505000	19800	98505000	19800	98505000
199	19900	99500000	19900	99500000	19900	99500000	19900	99500000	19900	99500000
200	20000	100500000	20000	100500000	20000	100500000	20000	100500000	20000	100500000
201	250000	101500000	250000	101500000	25000	101500000	250000	101500000	250000	101500000
202	300000	102500000	300000	102500000	30000	102500000	300000	102500000	300000	102500000
203	350000	103500000	350000	103500000	35000	103500000	350000	103500000	350000	103500000
204	400000	104500000	400000	104500000	40000	104500000	400000	104500000	400000	104500000
205	450000	105500000	450000	105500000	45000	105500000	450000	105500000	450000	105500000
206	500000	106500000	500000	106500000	50000	106500000	500000	106500000	500000	106500000
207	550000	107500000	550000	107500000	55000	107500000	550000	107500000	550000	107500000
208	600000	108500000	600000	108500000	60000	108500000	600000	108500000	600000	108500000
209	650000	109500000	650000	109500000	65000	109500000	650000	109500000	650000	109500000
210	700000	110500000	700000	110500000	70000	110500000	700000	110500000	700000	110500000
211	750000	111500000	750000	111500000	75000	111500000	750000	111500000	750000	111500000
212	800000	112500000	800000	112500000	80000	112500000	800000	112500000	800000	112500000
213	850000	113500000	850000	113500000	85000	113500000	850000	113500000	850000	113500000
214	900000	114500000	900000	114500000	90000	114500000	900000	114500000	900000	114500000
215	950000	115500000	950000	115500000	95000	115500000	950000	115500000	950000	115500000
216	1000000	116500000	1000000	116500000	100000	116500000	1000000	116500000	1000000	116500000
217	1050000	117500000	1050000	117500000	105000	117500000	1050000	117500000	1050000	117500000
218	1100000	118500000	1100000	118500000	110000	118500000	1100000	118500000	1100000	118500000
219	1150000	119500000	1150000	119500000	115000	119500000	1150000	119500000	1150000	119500000
220	1200000	120500000	1200000	120500000	120000	120500000	1200000	120500000	1200000	120500000
221	1250000	121500000	1250000	121500000	125000	121500000	1250000	121500000	1250000	121500000
222	1300000	122500000	1300000	122500000	130000	122500000	1300000	122500000	1300000	122500000
223	1350000	123500000	1350000	123500000	135000	123500000	1350000	123500000	1350000	123500000
224	1400000	124500000	1400000	124500000	140000	124500000	1400000	124500000	1400000	124500000
225	1450000	125500000	1450000	125500000	145000	125500000	1450000	125500000	1450000	125500000
226	1500000	126500000	1500000	126500000	150000	126500000	1500000	126500000	1500000	126500000
227	1550000	127500000	1550000	127500000	155000	127500000	1550000	127500000	1550000	127500000
228	1600000	128500000	1600000	128500000	160000	128500000	1600000	128500000	1600000	128500000
229	1650000	129500000	1650000	129500000	165000	129500000	1650000	129500000	1650000	129500000
230	1700000	130500000	1700000	130500000	170000	130500000	1700000	130500000	1700000	130500000
231	1750000	131500000	1750000	131500000	175000	131500000	1750000	131500000	1750000	131500000
232	1800000	132500000	1800000	132500000	180000	132500000	1800000	132500000	1800000	132500000
233	1850000	133500000	1850000	133500000	185000	133500000	1850000	133500000	1850000	133500000
234	1900000	134500000	1900000	134500000	190000	134500000	1900000	134500000	1900000	134500000
235	1950000	135500000	1950000	135500000	195000	135500000	1950000	135500000	1950000	135500000
236	2000000	136500000	2000000	136500000	200000	136500000	2000000	136500000	2000000	136500000
237	2050000	137500000	2050000	137500000	205000	137500000	2050000	137500000	2050000	137500000
238	2100000	138500000	2100000	138500000	210000	138500000	2100000	138500000	2100000	138500000
239	2150000	139500000	2150000	139500000	215000	139500000	2150000	139500000	2150000	139500000
240	2200000	140500000	2200000	140500000	220000	140500000	2200000	140500000	2200000	140500000
241	2250000	141500000	2250000	141500000	225000	141500000	2250000	141500000	2250000	141500000
242	2300000	142500000	2300000	142500000	230000	142500000	2300000	142500000	2300000	142500000
243	2350000	143500000	2350000	143500000	235000	143500000	2350000	143500000	2350000	143500000
244	2400000	144500000	2400000	144500000	240000	144500000	2400000	144500000	2400000	144500000
245	2450000	145500000	2450000	145500000	245000	145500000	2450000	145500000	2450000	145500000
246	2500000	146500000	2500000	146500000	250000	146500000	2500000	146500000	2500000	146500000
247	2550000	147500000	2550000	147500000	255000	147500000	2550000	147500000	2550000	147500000
248	2600000	148500000	2600000	148500000	260000	148500000	2600000	148500000	2600000	148500000
249	2650000	149500000	2650000	149500000	265000	149500000	2650000	149500000	2650000	149500000
250	2700000	150500000	2700000	150500000	270000	150500000	2700000	150500000	2700000	150500000
251	2750000	151500000	2750000	151500000	275000	151500000	2750000	151500000	2750000	151500000
252	2800000	152500000	2800000	152500000	280000	152500000	2800000	152500000	2800000	152500000
253	2850000	153500000	2850000	153500000	285000	153500000	2850000	153500000	2850000	153500000
254	2900000	154500000	2900000	154500000	290000	154500000	2900000	154500000	2900000	154500000
255	2950000	155500000	2950000	155500000	295000	155500000	2950000	155500000	2950000	155500000
256	3000000	156500000	3000000	156500000	300000	156500000	3000000	156500000	3000000	156500000
257	3050000	157500000	3050000	157500000	305000	157500000	3050000	157500000	3050000	157500000
258	3100000	158500000	3100000	158500000	310000	158500000	3100000	158500000	3100000	158500000
259	3150000	159500000	3150000	159500000	315000	159500000	3150000	159500000	3150000	159500000
260	3200000	160500000	3200000	160500000	320000	160500000	3200000	160500000	3200000	160500000
261	3250000	161500000	3250000	161500000	325000	161500000	3250000	161500000	3250000	161500000
262	3300000	162500000	3300000	162500000	330000	162500000	3300000	162500000	3300000	162500000
263	3350000	163500000	3350000	163500000	335000	163500000	3350000	163500000	3350000	163500000
264	3400000	164500000	3400000	164500000	340000	164500000	3400000	164500000	3400000	164500000
265	3450000	165500000	3450000	165500000	345000	165500000	3450000	165500000	3450000	165500000
266	3500000	166500000	3500000	166500000	350000	166500000	3500000	166500000	3500000	166500000
267	3550000	167500000	3550000	167500000	355000	167500000	3550000	167500000	3550000	167500000
268	3600000	168500000	3600000	168500000	360000	168500000	3600000	168500000	3600000	168500000
269	3650000	169500000	3650000	169500000	365000	169500000	3650000	169500000	3650000	169500000
270	3700000	170500000	3700000	170500000	370000	170500000	3700000	170500000	3700000	170500000
271	3750000	171500000	3750000	171500000	375000	171500000	3750000	171500000	3750000	171500000
272	3800000	172500000	3800000	172500000	380000	172500000	3800000	172500000	3800000	172500000
273	3850000	173500000	3850000	173500000	385000	173500000	3850000	173500000	3850000	173500000
274	3900000	174500000	3900000	174500000	390000	174500000	3900000	174500000	3900000	174500000
275	3950000	175500000	3950000	175500000	395000	175500000	3950000	175500000	3950000	175500000
276	4000000	176500000	4000000	176500000	400000	176500000	4000000	176500000	4000000	176500000
277	4050000	177500000	4050000	177500000	405000	177500000	4050000	177500000	4050000	177500000
278	4100000	178500000	4100000	178500000	410000	178500000	4100000	178500000	4100000	178500000
279	4150000	179500000	4150000	179500000	415000	179500000	4150000	179500000	4150000	179500000
280	4200000	180500000	4200000	180500000	420000	180500000	4200000	180500000	4200000	180500000
281	4250000	181500000	4250000	181500000	425000	181500000	4250000	181500000	4250000	181500000
282	4300000	182500000	4300000	182500000	430000	182500000	4300000	182500000	4300000	182500000
283	4350000	183500000	4350000	183500000	435000	183500000	4350000	183500000	4350000	183500000
284	4400000	184500000	4400000	184500000	440000	184500000	4400000	184500000	4400000	184500000
285	4450000	185500000	4450000	185500000	445000	185500000	4450000	185500000	4450000	185500000
286	4500000	186500000	4500000	186500000	450000	186500000	4500000	186500000	4500000	186500000
287	4550000	187500000	4550000	187500000	455000	187500000	4550000	187500000	4550000	187500000
288	4600000	188500000	4600000	188500000	460000	188500000	4600000	188500000	4600000	188500000
289	4650000	189500000	4650000	189500000	465000	189500000	4650000	189500000	4650000	189500000
290	4700000	190500000	4700000	190500000	470000	190500000	4700000	190500000	4700000	190500000
291	4750000	191500000	4750000	191500000	475000	191500000	4750000	191500000	4750000	191500000
292	4800000	192500000	4800000	192500000	480000	192500000	4800000	192500000	4800000	192500000
293	4850000	193500000	4850000	193500000	485000	193500000	4850000	193500000	4850000	193500000
294	4900000	194500000	4900000	194500000	490000	194500000	4900000	194500000	4900000	194500000
295	4950000	195500000	4950000	195500000	495000	195500000	4950000	195500000	4950000	195500000
296	5000000	196500000	5000000	196500000	500000	196500000	5000000	196500000	5000000	196500000
297	5050000	197500000	5050000	197500000	505000	197500000	5050000	197500000	5050000	197500000
298	5100000	198500000	5100000	198500000	510000	198500000	5100000	198500000	5100000	198500000
299	5150000	199500000	5150000	199500000	515000	199500000	5150000	199500000	5150000	199500000
300	5200000	200500000	5200000	200500000	520000	200500000	5200000	200500000	5200000	200500000
301	5250000	201500000	5250000	201500000	525000	201500000	5250000	201500000	5250000	201500000
302	5300000	202500000	5300000	202500000	530000	202500000	5300000	202500000	5300000	202500000
303	5350000	203500000	5350000	203500000	535000	203500000	5350000	203500000	5350000	203500000
304	5400000	204500000	5400000	204500000	540000	204500000	5400000	204500000	5400000	204500000
305	5450000	205500000	5450000	205500000	545000	205500000	5450000	205500000	5450000	205500000
306	5500000	206500000	5500000	206500000	550000	206500000	5500000	206500000	5500000	206500000
307	5550000	207500000	5550000	207500000	555000	207500000	5550000	207500000	5550000	207500000
308	5600000	208500000	5600000	208500000	560000	208500000	5600000	208500000	5600000	208500000
309	5650000	209500000	5650000	209500000	565000	209500000	5650000	209500000	5650000	209500000
310	5700000	210500000	5700000	210500000	570000	210500000	5700000	210500000	5700000	210500000
311	5750000	211500000	5750000	211500000	575000	211500000	5750000	211500000	5750000	211500000
312	5800000	212500000	5800000	212500000	580000	212500000	5800000	212500000	5800000	212500000
313	5850000	213500000	5850000	213500000	585000	213500000	5850000	213500000	5850000	213500000
314	5900000	214500000	5900000	214500000	590000	214500000	5900000	214500000	5900000	214500000
315	5950000	215500000	5950000	215500000	595000	215500000	5950000	215500000	5950000	215500000
316	6000000	216500000	6000000	216500000	600000	216500000	6000000	216500000	6000000	216500000
317	6050000	217500000	6050000	217500000	605000	217500000	6050000	217500000	6050000	217500000
318	6100000	218500000	6100000	218500000	610000	218500000	6100000	218500000	6100000	218500000
319	6150000	219500000	6150000	219500000	615000	219500000	6150000	219500000	6150000	219500000
320	6200000	220500000	6200000	220500000	620000	220500000	6200000	220500000	6200000	220500000
321	6250000	221500000	6250000	221500000	625000	221500000	6250000	221500000	6250000	221500000
322	6300000	222500000	6300000	222500000	630000	222500000	6300000	222500000	6300000	222500000
323	6350000	223500000	6350000	223500000	635000	223500000	6350000	223500000	6350000	223500000
324	6400000	224500000	6400000	224500000	640000	224500000	6400000	224500000	6400000	224500000
325	6450000	225500000	6450000	225500000	645000	225500000	6450000	225500000	6450000	225500000
326	6500000	226500000	6500000	226500000	650000	226500000	6500000	226500000	6500000	226500000
327	6550000	227500000	6550000	227500000	655000	227500000	6550000	227500000	6550000	227500000
328	6600000	228500000	6600000	228500000	660000	228500000	6600000	228500000	6600000	228500000
329	6650000	229500000	6650000	229500000	665000	229500000	6650000	229500000	6650000	229500000
330	6700000	230500000	6700000	230500000	670000	230500000	6700000	230500000	6700000	230500000
331	6750000	231500000	6750000	231500000	675000	231500000	6750000	231500000	6750000	231500000
332	6800000	232500000	6800000	232500000	680000	232500000	6800000	232500000	6800000	232500000
333	6850000	233500000	6850000	233500000	685000	233500000	6850000	233500000	6850000	233500000
334	6900000	234500000	6900000	234500000	690000	234500000	6900000	234500000	6900000	234500000
335	6950000	235500000	6950000	235500000	695000	235500000	6950000	235500000	6950000	235500000
336	7000000	236500000	7000000	236500000	700000	236500000	7000000	236500000	7000000	236500000
337	7050000	237500000	7050000	237500000	705000	237500000	7050000	237500000	7050000	237500000
338	7100000	238500000	7100000	238500000	710000	238500000	7100000	238500000	7100000	238500000
339	7150000	239500000	7150000	239500000	715000	239500000	7150000	239500000	7150000	239500000
340	7200000	240500000	7200000	240500000	720000	240500000	7200000	240500000	7200000	240500000
341	7250000	241500000	7250000	241500000	725000	241500000	7250000	241500000	7250000	241500000
342	7300000	242500000	7300000	242500000	730000	242500000	7300000	242500000	7300000	242500000
343	7350000	243500000	7350000	243500000	735000	243500000	7350000	243500000	7350000	243500000
344	7400000	244500000	7400000	244500000	740000	244500000	7400000	244500000	7400000	244500000
345	7450000	245500000	7450000	245500000	745000	245500000	7450000	245500000	7450000	245500000
346	7500000	246500000	7500000	246500000	750000	246500000	7500000	246500000	7500000	246500000
347	7550000	247500000	7550000	247500000	755000	247500000	7550000	247500000	7550000	247500000
348	7600000	248500000	7600000	248500000	760000	248500000	7600000	248500000	7600000	248500000
349	7650000	249500000	7650000	249500000	765000	249500000	7650000	249500000	7650000	249500000
350	7700000	250500000	7700000	250500000	770000	250500000	7700000	250500000	7700000	250500000
351	7750000	251500000	7750000	251500000	775000	251500000	7750000	251500000	7750000	251500000
352	7800000	252500000	7800000	252500000	780000	252500000	7800000	252500000	7800000	252500000
353	7850000	253500000	7850000	253500000	785000	253500000	7850000	253500000	7850000	253500000
354	7900000	254500000	7900000	254500000	790000	254500000	7900000	254500000	7900000	254500000
355	7950000	255500000	7950000	255500000	795000	255500000	7950000	255500000	7950000	255500000
356	8000000	256500000	8000000	256500000	800000	256500000	8000000	256500000	8000000	256500000
357	8050000	257500000	8050000	257500000	805000	257500000	8050000	257500000	8050000	257500000
358	8100000	258500000	8100000	258500000	810000	258500000	8100000	258500000	8100000	258500000
359	8150000	259500000	8150000	259500000	815000	259500000	8150000	259500000	8150000	259500000
360	8200000	260500000	8200000	260500000	820000	260500000	8200000	260500000	8200000	260500000
361	8250000	261500000	8250000	261500000	825000	261500000	8250000	261500000	8250000	261500000
362	8300000	262500000	8300000	262500000	830000	262500000	8300000	262500000	8300000	262500000
