NpcList	FightStand	NormalStand1	NormalStand2	FightWalk	NormalWalk	FightRun	NormalRun	Wound	Die	Attack1	Attack2	Magic	SitDown	JunpFly
enemy064	"128,8,60"	"128,8,60"	"128,8,60"	"128,8,75"	"128,8,75"	"128,8,75"	"128,8,75"	"64,8,80"	"80,8,90"	"80,8,80"	"112,8,80"	"112,8,80"	"128,8,60"	"128,8,75"
enemy065	"96,8,80"	"96,8,80"	"96,8,80"	"128,8,80"	"128,8,80"	"128,8,80"	"128,8,80"	"64,8,100"	"128,8,70"	"112,8,62"	"112,8,62"	"112,8,62"	"96,8,80"	"128,8,80"
enemy065a	"96,8,80"	"96,8,80"	"96,8,80"	"128,8,80"	"128,8,80"	"128,8,80"	"128,8,80"	"64,8,100"	"128,8,70"	"112,8,62"	"112,8,62"	"112,8,62"	"96,8,80"	"128,8,80"
enemy066	"96,8,80"	"96,8,80"	"96,8,80"	"96,8,120"	"96,8,120"	"96,8,120"	"96,8,120"	"64,8,70"	"104,8,115"	"144,8,70"	"112,8,70"	"112,8,70"	"96,8,80"	"96,8,120"
enemy067	"64,8,160"	"64,8,120"	"64,8,120"	"96,8,80"	"96,8,80"	"96,8,80"	"96,8,80"	"64,8,80"	"80,8,100"	"64,8,80"	"64,8,80"	"64,8,80"	"64,8,120"	"96,8,80"
enemy068	"64,8,120"	"64,8,140"	"64,8,140"	"128,8,120"	"128,8,120"	"128,8,120"	"128,8,120"	"64,8,70"	"72,8,90"	"64,8,80"	"64,8,80"	"64,8,80"	"64,8,140"	"128,8,120"
enemy069	"96,8,120"	"96,8,120"	"96,8,120"	"96,8,120"	"96,8,120"	"96,8,120"	"96,8,120"	"48,8,120"	"120,8,120"	"88,8,100"	"104,8,120"	"104,8,120"	"96,8,120"	"96,8,120"
enemy069a	"96,8,120"	"96,8,120"	"96,8,120"	"96,8,120"	"96,8,120"	"96,8,120"	"96,8,120"	"48,8,120"	"120,8,120"	"88,8,100"	"104,8,120"	"104,8,120"	"96,8,120"	"96,8,120"
enemy070	"96,8,80"	"96,8,111"	"96,8,111"	"128,8,111"	"128,8,111"	"128,8,111"	"128,8,111"	"64,8,90"	"112,8,120"	"80,8,100"	"88,8,80"	"88,8,80"	"96,8,111"	"128,8,111"
enemy071	"96,8,100"	"96,8,120"	"96,8,120"	"96,8,100"	"96,8,100"	"96,8,100"	"96,8,100"	"64,8,100"	"96,8,100"	"192,8,80"	"192,8,100"	"192,8,100"	"96,8,120"	"96,8,100"
enemy072	"80,8,100"	"80,8,120"	"80,8,120"	"64,8,120"	"64,8,120"	"64,8,120"	"64,8,120"	"72,8,60"	"96,8,140"	"64,8,120"	"144,8,110"	"144,8,110"	"80,8,120"	"64,8,120"
enemy073	"80,8,150"	"80,8,130"	"80,8,130"	"64,8,150"	"64,8,150"	"64,8,150"	"64,8,150"	"72,8,70"	"96,8,160"	"64,8,120"	"88,8,140"	"88,8,140"	"80,8,130"	"64,8,150"
enemy074	"64,8,150"	"80,8,140"	"80,8,140"	"96,8,120"	"96,8,120"	"96,8,120"	"96,8,120"	"64,8,120"	"120,8,100"	"80,8,140"	"104,8,120"	"104,8,120"	"80,8,140"	"96,8,120"
enemy075	"80,8,100"	"80,8,120"	"80,8,120"	"128,8,60"	"128,8,60"	"128,8,60"	"128,8,60"	"72,8,70"	"96,8,120"	"72,8,100"	"80,8,120"	"80,8,120"	"80,8,120"	"128,8,60"
enemy076	"80,8,110"	"80,8,120"	"80,8,120"	"96,8,100"	"96,8,100"	"96,8,100"	"96,8,100"	"48,8,120"	"112,8,110"	"72,8,90"	"120,8,120"	"120,8,120"	"80,8,120"	"96,8,100"
enemy077	"80,8,120"	"80,8,120"	"80,8,120"	"64,8,130"	"64,8,130"	"64,8,130"	"64,8,130"	"56,8,100"	"96,8,120"	"64,8,100"	"160,8,45"	"160,8,45"	"80,8,120"	"64,8,130"
enemy078	"128,8,65"	"128,8,70"	"128,8,70"	"128,8,60"	"128,8,60"	"128,8,60"	"128,8,60"	"64,8,85"	"88,8,95"	"96,8,80"	"112,8,75"	"112,8,75"	"128,8,70"	"128,8,60"
enemy079	"80,8,120"	"80,8,90"	"80,8,90"	"80,8,100"	"80,8,100"	"80,8,100"	"80,8,100"	"80,8,80"	"88,8,111"	"80,8,80"	"80,8,100"	"80,8,100"	"80,8,90"	"80,8,100"
enemy080	"128,8,60"	"64,8,65"	"64,8,65"	"128,8,60"	"128,8,60"	"128,8,60"	"128,8,60"	"64,8,80"	"80,8,90"	"112,8,75"	"112,8,75"	"112,8,75"	"64,8,65"	"128,8,60"
enemy081	"80,8,90"	"80,8,160"	"80,8,160"	"128,8,60"	"128,8,60"	"128,8,60"	"128,8,60"	"48,8,80"	"104,8,80"	"72,8,80"	"72,8,80"	"72,8,80"	"80,8,160"	"128,8,60"
enemy082	"80,8,100"	"80,8,120"	"80,8,120"	"64,8,120"	"64,8,120"	"64,8,120"	"64,8,120"	"72,8,40"	"88,8,120"	"56,8,120"	"56,8,120"	"56,8,120"	"80,8,120"	"64,8,120"
