NpcList	ChangeColorScheme0	ChangeColorScheme1	ChangeColorScheme2	ChangeColorScheme3	ChangeColorScheme4	ChangeColorScheme5
enemy146	0x48788A	0x508558	0x817D54	0x645C94	0x9A5686	
enemy147						
enemy148						
enemy149						
enemy150	0x364B63	0x563F36	0x5F3762	0x312C74		
enemy151						
enemy152						
enemy153						
enemy154						
enemy155						
enemy156						
enemy157						
enemy158						
enemy159						
enemy160						
enemy161						
enemy162						
enemy163						
enemy164						
enemy165						
enemy166						
enemy167						
enemy168						
enemy169						
enemy170						
enemy171						
enemy172						
enemy173						
enemy174						
enemy175						
enemy176						
enemy177						
enemy178						
enemy179						
enemy180						
enemy181						
enemy182						
enemy183						
enemy184						
enemy185						
enemy186						
enemy187						
enemy188						
enemy189						
passerby001						
passerby002						
passerby003						
passerby004						
passerby005						
passerby006						
passerby007						
passerby008						
passerby009						
passerby010						
passerby011						
passerby012						
passerby013						
passerby014						
passerby015						
passerby016						
passerby017						
passerby018						
passerby019						
passerby020	0x2323DC	0x26B5D9	0x4ABB3E	0xB93744	0xCACA2F	
passerby021						
passerby022						
passerby023						
passerby024						
passerby025						
passerby026						
passerby027						
passerby028	0x1D746D	0x873489	0x78294A			
passerby029						
passerby030						
passerby031						
passerby032						
passerby033						
passerby034						
passerby035	0x3395B5	0xB3AD4D	0x42A65E			
passerby036						
passerby037						
passerby038						
passerby039						
passerby040						
passerby041						
passerby042						
passerby043						
passerby044						
passerby045	0x7454C9	0x51BCF0				
passerby046	0xB87447	0x743250	0x786172	0xB0AAA4		
passerby047						
passerby048						
passerby049						
passerby050	0x5F3E1D	0x241E79	0x335E75			
passerby051	0x508C6E	0x82824B	0x282878			
passerby052						
passerby053						
passerby054	0x967869	0x5F8961	0x1E1E69			
passerby055						
passerby056						
passerby057						
passerby058						
passerby059						
passerby060						
passerby061	0xBE736E	0x9BBD42	0x4D42D5	0x282828		
passerby062						
passerby063						
passerby064						
passerby065						
passerby066						
passerby067	0xBCB863	0x334D77				
passerby068						
passerby069						
passerby070						
passerby071						
passerby072						
passerby073	0x2F4579	0x763A3A	0x506A46	0x000000		
passerby074	0x9B6487	0x94705C	0x5B9161	0x515C8A		
passerby075	0xA8A8A8	0x418D6C	0x2C2712	0x1B241A		
passerby076						
passerby077						
passerby078						
passerby079						
passerby080						
passerby081	0xA27380	0x977444	0x2E97AD			
passerby082						
passerby083						
passerby084						
passerby085						
passerby086	0x2B1BBA	0x6FAC3C	0x39B6D5			
passerby087						
passerby088						
passerby089						
passerby090						
passerby091						
passerby092						
passerby093						
passerby094						
passerby095						
passerby096						
passerby097						
passerby098						
passerby099	0x1E515B	0x1F4B21				
passerby100						
passerby101						
passerby102						
passerby103						
passerby104						
passerby105						
passerby106						
passerby107						
passerby108						
passerby109						
passerby110						
passerby111						
passerby112						
passerby113						
passerby114						
passerby115						
passerby116						
passerby117	0x5C3F43	0x433C51				
passerby118						
passerby119						
passerby120						
passerby121						
passerby122						
passerby123						
passerby124						
passerby125						
passerby126						
passerby127						
passerby128						
passerby129						
passerby130						
passerby131						
passerby132						
passerby133						
passerby134						
passerby135						
passerby136						
passerby137						
passerby138						
passerby139						
passerby140						
passerby141						
passerby142						
passerby143						
passerby144						
passerby145						
passerby146						
passerby147						
passerby148						
passerby149						
passerby150						
passerby151						
passerby152						
passerby153						
passerby154						
passerby155						
passerby156						
passerby157						
passerby158						
passerby159						
passerby160						
passerby161						
passerby162						
passerby163						
passerby164						
passerby165						
passerby166						
passerby167						
passerby168						
passerby169						
passerby170						
passerby171						
passerby172						
passerby173						
passerby174						
passerby175						
passerby176						
passerby177						
passerby178						
passerby179						
passerby180						
passerby181						
passerby182						
passerby183						
passerby184						
passerby185						
passerby186						
passerby187						
passerby188						
passerby189						
passerby190						
passerby191						
passerby192						
passerby193						
passerby194						
passerby195						
passerby196						
passerby197						
passerby198						
passerby199						
passerby200						
passerby201						
passerby202						
passerby203						
passerby204						
passerby205						
passerby206						
passerby207						
passerby208						
passerby209						
passerby210	0x38D8E4	0x24D61B	0xD6E837	0x2520F4	0x92AAB8	
passerby211						
passerby212						
passerby213						
passerby214						
passerby215						
passerby216						
passerby217						
passerby218						
passerby219						
passerby220						
passerby221						
passerby222						
passerby223						
passerby224						
passerby225						
passerby226						
passerby227						
passerby228						
passerby229						
passerby230						
passerby231						
passerby232						
passerby233						
passerby234						
passerby235						
passerby237						
passerby238						
passerby239						
passerby240						
passerby241						
passerby242						
passerby243						
passerby244						
passerby245						
passerby246						
passerby247						
passerby248						
passerby249						
passerby250						
passerby251						
passerby252						
passerby253						
passerby254						
passerby255						
passerby256						
passerby257						
passerby258						
passerby259						
passerby260						
passerby261						
passerby262						
passerby263						
passerby264						
passerby265						
passerby266						
passerby267						
passerby268						
zhangdu120						
boss013						
boss014						
boss015						
boss016						
boss017						
boss018						
boss019						
boss020						
boss022						
boss023						
boss024						
boss027						
boss028						
boss029						
boss030						
boss031						
boss032						
critter000						
critter001						
critter002						
critter003						
critter004						
critter005						
critter006						
critter007						
critter008						
critter009						
critter010						
critter011						
critter012						
critter013						
critter014						
critter015						
critter016a						
critter016b						
critter017						
critter018						
critter019						
critter020						
critter021						
critter022						
critter023						
critter024a						
critter024b						
critter025						
critter026						
critter027						
critter028						
critter029						
critter030						
critter031aa						
critter031ab						
critter031ba						
critter031bb						
critter031ca						
critter031cb						
critter031da						
critter031db						
critter032						
critter033						
critter034						
critter035						
critter036						
critter037						
critter038						
critter039a						
critter039b						
critter040						
critter041						
critter042a						
critter042b						
critter043						
critter044						
critter045						
critter046						
critter047a						
critter047b						
critter048a						
critter048b						
critter049a						
critter049b						
critter050						
critter051						
critter052						
critter053a						
critter053b						
critter054						
critter055						
critter056a						
critter056b						
critter057a						
critter057b						
critter058a						
critter058b						
critter059a						
critter060						
critter061						
critter062						
critter063						
critter064						
critter065						
critter066						
critter067						
critter068						
critter069a						
critter069b						
critter069c						
critter070						
critter071						
critter072						
critter073a						
critter073b						
critter074a						
critter074b						
critter075b						
critter076						
critter077						
critter078						
critter079a						
critter079b						
critter080						
critter081						
critter082						
critter083						
critter084						
critter085						
critter086						
critter087						
critter088a						
critter088b						
critter089						
critter090						
critter091						
critter092						
critter093						
critter094a						
critter094b						
critter095						
critter096						
