CharacterName	CharacterType	ResFilePath	Prefix	Stature
enemy045	NormalNpc	image\feature\npc\enemy\enemy045		120
enemy046	NormalNpc	image\feature\npc\enemy\enemy046		120
enemy047	NormalNpc	image\feature\npc\enemy\enemy047		120
enemy048	NormalNpc	image\feature\npc\enemy\enemy048		125
enemy049	NormalNpc	image\feature\npc\enemy\enemy049		110
enemy050	NormalNpc	image\feature\npc\enemy\enemy050		115
enemy051	NormalNpc	image\feature\npc\enemy\enemy051		115
enemy052	NormalNpc	image\feature\npc\enemy\enemy052		115
enemy053	NormalNpc	image\feature\npc\enemy\enemy053		110
enemy054	NormalNpc	image\feature\npc\enemy\enemy054		115
enemy054a	NormalNpc	image\feature\npc\enemy\enemy054a		135
enemy055	NormalNpc	image\feature\npc\enemy\enemy055		110
enemy056	NormalNpc	image\feature\npc\enemy\enemy056		110
enemy057	NormalNpc	image\feature\npc\enemy\enemy057		110
enemy058	NormalNpc	image\feature\npc\enemy\enemy058		105
enemy059	NormalNpc	image\feature\npc\enemy\enemy059		110
enemy060	NormalNpc	image\feature\npc\enemy\enemy060		110
enemy061	NormalNpc	image\feature\npc\enemy\enemy061		110
enemy062	NormalNpc	image\feature\npc\enemy\enemy062		110
enemy063	NormalNpc	image\feature\npc\enemy\enemy063		115
enemy064	NormalNpc	image\feature\npc\enemy\enemy064		120
enemy065	NormalNpc	image\feature\npc\enemy\enemy065		110
enemy065a	NormalNpc	image\feature\npc\enemy\enemy065a		135
enemy066	NormalNpc	image\feature\npc\enemy\enemy066		105
enemy067	NormalNpc	image\feature\npc\enemy\enemy067		115
enemy068	NormalNpc	image\feature\npc\enemy\enemy068		110
enemy069	NormalNpc	image\feature\npc\enemy\enemy069		150
enemy069a	NormalNpc	image\feature\npc\enemy\enemy069a		175
enemy070	NormalNpc	image\feature\npc\enemy\enemy070		120
enemy071	NormalNpc	image\feature\npc\enemy\enemy071		115
enemy072	NormalNpc	image\feature\npc\enemy\enemy072		120
enemy073	NormalNpc	image\feature\npc\enemy\enemy073		115
enemy074	NormalNpc	image\feature\npc\enemy\enemy074		100
enemy075	NormalNpc	image\feature\npc\enemy\enemy075		120
enemy076	NormalNpc	image\feature\npc\enemy\enemy076		110
enemy077	NormalNpc	image\feature\npc\enemy\enemy077		115
enemy078	NormalNpc	image\feature\npc\enemy\enemy078		115
enemy079	NormalNpc	image\feature\npc\enemy\enemy079		110
enemy080	NormalNpc	image\feature\npc\enemy\enemy080		115
enemy081	NormalNpc	image\feature\npc\enemy\enemy081		110
enemy082	NormalNpc	image\feature\npc\enemy\enemy082		115
enemy083	NormalNpc	image\feature\npc\enemy\enemy083		115
enemy084	NormalNpc	image\feature\npc\enemy\enemy084		150
enemy085	NormalNpc	image\feature\npc\enemy\enemy085		130
enemy086	NormalNpc	image\feature\npc\enemy\enemy086		110
enemy087	NormalNpc	image\feature\npc\enemy\enemy087		110
enemy088	NormalNpc	image\feature\npc\enemy\enemy088		115
enemy089	NormalNpc	image\feature\npc\enemy\enemy089		150
enemy090	NormalNpc	image\feature\npc\enemy\enemy090		120
enemy091	NormalNpc	image\feature\npc\enemy\enemy091		115
enemy092	NormalNpc	image\feature\npc\enemy\enemy092		115
enemy093	NormalNpc	image\feature\npc\enemy\enemy093		115
enemy094	NormalNpc	image\feature\npc\enemy\enemy094		150
enemy095	NormalNpc	image\feature\npc\enemy\enemy095		130
enemy096	NormalNpc	image\feature\npc\enemy\enemy096		140
enemy097	NormalNpc	image\feature\npc\enemy\enemy097		105
enemy098	NormalNpc	image\feature\npc\enemy\enemy098		105
enemy099	NormalNpc	image\feature\npc\enemy\enemy099		115
enemy100	NormalNpc	image\feature\npc\enemy\enemy100		110
enemy101	NormalNpc	image\feature\npc\enemy\enemy101		110
enemy102	NormalNpc	image\feature\npc\enemy\enemy102		110
enemy103	NormalNpc	image\feature\npc\enemy\enemy103		110
enemy104	NormalNpc	image\feature\npc\enemy\enemy104		110
enemy105	NormalNpc	image\feature\npc\enemy\enemy105		115
enemy106	NormalNpc	image\feature\npc\enemy\enemy106		100
enemy107	NormalNpc	image\feature\npc\enemy\enemy107		105
enemy108	NormalNpc	image\feature\npc\enemy\enemy108		110
enemy109	NormalNpc	image\feature\npc\enemy\enemy109		115
enemy110	NormalNpc	image\feature\npc\enemy\enemy110		115
enemy111	NormalNpc	image\feature\npc\enemy\enemy111		110
enemy112	NormalNpc	image\feature\npc\enemy\enemy112		120
enemy113	NormalNpc	image\feature\npc\enemy\enemy113		115
enemy114	NormalNpc	image\feature\npc\enemy\enemy114		110
enemy115	NormalNpc	image\feature\npc\enemy\enemy115		115
enemy116	NormalNpc	image\feature\npc\enemy\enemy116		110
enemy117	NormalNpc	image\feature\npc\enemy\enemy117		105
enemy118	NormalNpc	image\feature\npc\enemy\enemy118		115
enemy119	NormalNpc	image\feature\npc\enemy\enemy119		110
enemy120	NormalNpc	image\feature\npc\enemy\enemy120		115
enemy121	NormalNpc	image\feature\npc\enemy\enemy121		110
enemy122	NormalNpc	image\feature\npc\enemy\enemy122		110
enemy123	NormalNpc	image\feature\npc\enemy\enemy123		110
enemy124	NormalNpc	image\feature\npc\enemy\enemy124		115
enemy125	NormalNpc	image\feature\npc\enemy\enemy125		105
enemy126	NormalNpc	image\feature\npc\enemy\enemy126		105
enemy127	NormalNpc	image\feature\npc\enemy\enemy127		110
enemy128	NormalNpc	image\feature\npc\enemy\enemy128		110
enemy129	NormalNpc	image\feature\npc\enemy\enemy129		100
enemy130	NormalNpc	image\feature\npc\enemy\enemy130		110
enemy131	NormalNpc	image\feature\npc\enemy\enemy131		110
enemy132	NormalNpc	image\feature\npc\enemy\enemy132		90
enemy133	NormalNpc	image\feature\npc\enemy\enemy133		120
enemy134	NormalNpc	image\feature\npc\enemy\enemy134		90
enemy135	NormalNpc	image\feature\npc\enemy\enemy135		100
enemy136	NormalNpc	image\feature\npc\enemy\enemy136		90
enemy137	NormalNpc	image\feature\npc\enemy\enemy137		90
enemy138	NormalNpc	image\feature\npc\enemy\enemy138		90
enemy139	NormalNpc	image\feature\npc\enemy\enemy139		110
enemy140	NormalNpc	image\feature\npc\enemy\enemy140		110
enemy141	NormalNpc	image\feature\npc\enemy\enemy141		110
enemy142	NormalNpc	image\feature\npc\enemy\enemy142		100
enemy143	NormalNpc	image\feature\npc\enemy\enemy143		110
enemy144	NormalNpc	image\feature\npc\enemy\enemy144		100
enemy144a	NormalNpc	image\feature\npc\enemy\enemy144a		130
enemy145	NormalNpc	image\feature\npc\enemy\enemy145		110
enemy146	NormalNpc	image\feature\npc\enemy\enemy146		100
enemy147	NormalNpc	image\feature\npc\enemy\enemy147		110
enemy148	NormalNpc	image\feature\npc\enemy\enemy148		110
enemy149	NormalNpc	image\feature\npc\enemy\enemy149		110
enemy150	NormalNpc	image\feature\npc\enemy\enemy150		110
enemy151	NormalNpc	image\feature\npc\enemy\enemy151		120
enemy152	NormalNpc	image\feature\npc\enemy\enemy152		110
enemy153	NormalNpc	image\feature\npc\enemy\enemy153		115
enemy154	NormalNpc	image\feature\npc\enemy\enemy154		110
enemy155	NormalNpc	image\feature\npc\enemy\enemy155		180
enemy156	NormalNpc	image\feature\npc\enemy\enemy156		110
enemy157	NormalNpc	image\feature\npc\enemy\enemy157		110
enemy158	NormalNpc	image\feature\npc\enemy\enemy158		140
enemy159	NormalNpc	image\feature\npc\enemy\enemy159		110
enemy160	NormalNpc	image\feature\npc\enemy\enemy160		180
enemy161	NormalNpc	image\feature\npc\enemy\enemy161		180
enemy162	NormalNpc	image\feature\npc\enemy\enemy162		180
enemy163	NormalNpc	image\feature\npc\enemy\enemy163		110
enemy164	NormalNpc	image\feature\npc\enemy\enemy164		115
enemy165	NormalNpc	image\feature\npc\enemy\enemy165		115
enemy166	NormalNpc	image\feature\npc\enemy\enemy166		110
enemy167	NormalNpc	image\feature\npc\enemy\enemy167		110
enemy168	NormalNpc	image\feature\npc\enemy\enemy168		110
enemy168a	NormalNpc	image\feature\npc\enemy\enemy168a		135
enemy169	NormalNpc	image\feature\npc\enemy\enemy169		110
enemy170	NormalNpc	image\feature\npc\enemy\enemy170		115
enemy171	NormalNpc	image\feature\npc\enemy\enemy171		110
enemy172	NormalNpc	image\feature\npc\enemy\enemy172		125
enemy173	NormalNpc	image\feature\npc\enemy\enemy173		125
enemy174	NormalNpc	image\feature\npc\enemy\enemy174		110
enemy175	NormalNpc	image\feature\npc\enemy\enemy175		110
enemy176	NormalNpc	image\feature\npc\enemy\enemy176		110
enemy177	NormalNpc	image\feature\npc\enemy\enemy177		110
enemy178	NormalNpc	image\feature\npc\enemy\enemy178		110
enemy179	NormalNpc	image\feature\npc\enemy\enemy179		110
enemy180	NormalNpc	image\feature\npc\enemy\enemy180		150
enemy181	NormalNpc	image\feature\npc\enemy\enemy181		110
enemy182	NormalNpc	image\feature\npc\enemy\enemy182		110
enemy183	NormalNpc	image\feature\npc\enemy\enemy183		110
enemy184	NormalNpc	image\feature\npc\enemy\enemy184		110
enemy185	NormalNpc	image\feature\npc\enemy\enemy185		110
enemy186	NormalNpc	image\feature\npc\enemy\enemy186		110
enemy187	NormalNpc	image\feature\npc\enemy\enemy187		110
enemy188	NormalNpc	image\feature\npc\enemy\enemy188		110
enemy189	NormalNpc	image\feature\npc\enemy\enemy189		110
enemy190	NormalNpc	image\feature\npc\enemy\enemy190		100
enemy191	NormalNpc	image\feature\npc\enemy\enemy191		100
enemy192	NormalNpc	image\feature\npc\enemy\enemy192		110
enemy193	NormalNpc	image\feature\npc\enemy\enemy193		110
enemy194	NormalNpc	image\feature\npc\enemy\enemy194		110
enemy195	NormalNpc	image\feature\npc\enemy\enemy195		110
enemy196	NormalNpc	image\feature\npc\enemy\enemy196		110
enemy197	NormalNpc	image\feature\npc\enemy\enemy197		150
enemy198	NormalNpc	image\feature\npc\enemy\enemy198		110
enemy199	NormalNpc	image\feature\npc\enemy\enemy199		90
enemy200	NormalNpc	image\feature\npc\enemy\enemy200		90
enemy201	NormalNpc	image\feature\npc\enemy\enemy201		110
enemy202	NormalNpc	image\feature\npc\enemy\enemy202		110
enemy203	NormalNpc	image\feature\npc\enemy\enemy203		110
enemy204	NormalNpc	image\feature\npc\enemy\enemy204		110
enemy205	NormalNpc	image\feature\npc\enemy\enemy205		110
enemy206	NormalNpc	image\feature\npc\enemy\enemy206		110
enemy207	NormalNpc	image\feature\npc\enemy\enemy207		110
enemy208	NormalNpc	image\feature\npc\enemy\enemy208		110
enemy209	NormalNpc	image\feature\npc\enemy\enemy209		110
enemy210	NormalNpc	image\feature\npc\enemy\enemy210		110
enemy211	NormalNpc	image\feature\npc\enemy\enemy211		110
enemy212	NormalNpc	image\feature\npc\enemy\enemy212		110
enemy213	NormalNpc	image\feature\npc\enemy\enemy213		110
enemy214	NormalNpc	image\feature\npc\enemy\enemy214		110
enemy215	NormalNpc	image\feature\npc\enemy\enemy215		110
enemy216	NormalNpc	image\feature\npc\enemy\enemy216		110
enemy217	NormalNpc	image\feature\npc\enemy\enemy217		110
enemy218	NormalNpc	image\feature\npc\enemy\enemy218		110
enemy219	NormalNpc	image\feature\npc\enemy\enemy219		250
enemy220	NormalNpc	image\feature\npc\enemy\enemy220		140
enemy221	NormalNpc	image\feature\npc\enemy\enemy221		110
enemy222	NormalNpc	image\feature\npc\enemy\enemy222		110
enemy223	NormalNpc	image\feature\npc\enemy\enemy223		120
enemy224	NormalNpc	image\feature\npc\enemy\enemy224		150
enemy225	NormalNpc	image\feature\npc\enemy\enemy225		350
enemy226	NormalNpc	image\feature\npc\enemy\enemy226		350
enemy227	NormalNpc	image\feature\npc\enemy\enemy227		350
passerby001	NormalNpc	image\feature\npc\passerby\passerby001		110
passerby002	NormalNpc	image\feature\npc\passerby\passerby002		100
passerby003	NormalNpc	image\feature\npc\passerby\passerby003		110
passerby004	NormalNpc	image\feature\npc\passerby\passerby004		110
passerby005	NormalNpc	image\feature\npc\passerby\passerby005		110
passerby006	NormalNpc	image\feature\npc\passerby\passerby006		105
passerby007	NormalNpc	image\feature\npc\passerby\passerby007		115
passerby008	NormalNpc	image\feature\npc\passerby\passerby008		110
passerby009	NormalNpc	image\feature\npc\passerby\passerby009		110
passerby010	NormalNpc	image\feature\npc\passerby\passerby010		110
passerby011	NormalNpc	image\feature\npc\passerby\passerby011		110
passerby012	NormalNpc	image\feature\npc\passerby\passerby012		110
passerby013	NormalNpc	image\feature\npc\passerby\passerby013		110
passerby014	NormalNpc	image\feature\npc\passerby\passerby014		110
passerby015	NormalNpc	image\feature\npc\passerby\passerby015		110
passerby016	NormalNpc	image\feature\npc\passerby\passerby016		110
passerby017	NormalNpc	image\feature\npc\passerby\passerby017		105
passerby018	NormalNpc	image\feature\npc\passerby\passerby018		110
passerby019	NormalNpc	image\feature\npc\passerby\passerby019		100
passerby020	NormalNpc	image\feature\npc\passerby\passerby020		100
passerby021	NormalNpc	image\feature\npc\passerby\passerby021		110
passerby022	NormalNpc	image\feature\npc\passerby\passerby022		110
passerby023	NormalNpc	image\feature\npc\passerby\passerby023		110
passerby024	NormalNpc	image\feature\npc\passerby\passerby024		110
passerby025	NormalNpc	image\feature\npc\passerby\passerby025		100
passerby026	NormalNpc	image\feature\npc\passerby\passerby026		90
passerby027	NormalNpc	image\feature\npc\passerby\passerby027		100
passerby028	NormalNpc	image\feature\npc\passerby\passerby028		105
passerby029	NormalNpc	image\feature\npc\passerby\passerby029		110
passerby030	NormalNpc	image\feature\npc\passerby\passerby030		100
passerby031	NormalNpc	image\feature\npc\passerby\passerby031		110
passerby032	NormalNpc	image\feature\npc\passerby\passerby032		100
passerby033	NormalNpc	image\feature\npc\passerby\passerby033		105
passerby033a	NormalNpc	image\feature\npc\passerby\passerby033a		135
passerby034	NormalNpc	image\feature\npc\passerby\passerby034		105
passerby035	NormalNpc	image\feature\npc\passerby\passerby035		100
passerby036	NormalNpc	image\feature\npc\passerby\passerby036		110
passerby037	NormalNpc	image\feature\npc\passerby\passerby037		105
passerby038	NormalNpc	image\feature\npc\passerby\passerby038		105
passerby039	NormalNpc	image\feature\npc\passerby\passerby039		100
passerby040	NormalNpc	image\feature\npc\passerby\passerby040		105
passerby041	NormalNpc	image\feature\npc\passerby\passerby041		115
passerby042	NormalNpc	image\feature\npc\passerby\passerby042		110
passerby043	NormalNpc	image\feature\npc\passerby\passerby043		110
passerby044	NormalNpc	image\feature\npc\passerby\passerby044		105
passerby045	NormalNpc	image\feature\npc\passerby\passerby045		115
passerby046	NormalNpc	image\feature\npc\passerby\passerby046		110
passerby047	NormalNpc	image\feature\npc\passerby\passerby047		110
passerby048	NormalNpc	image\feature\npc\passerby\passerby048		110
passerby049	NormalNpc	image\feature\npc\passerby\passerby049		110
passerby050	NormalNpc	image\feature\npc\passerby\passerby050		110
passerby051	NormalNpc	image\feature\npc\passerby\passerby051		110
passerby052	NormalNpc	image\feature\npc\passerby\passerby052		110
passerby053	NormalNpc	image\feature\npc\passerby\passerby053		110
passerby054	NormalNpc	image\feature\npc\passerby\passerby054		110
passerby055	NormalNpc	image\feature\npc\passerby\passerby055		110
passerby056	NormalNpc	image\feature\npc\passerby\passerby056		110
passerby057	NormalNpc	image\feature\npc\passerby\passerby057		110
passerby058	NormalNpc	image\feature\npc\passerby\passerby058		110
passerby059	NormalNpc	image\feature\npc\passerby\passerby059		115
passerby060	NormalNpc	image\feature\npc\passerby\passerby060		110
passerby061	NormalNpc	image\feature\npc\passerby\passerby061		110
passerby062	NormalNpc	image\feature\npc\passerby\passerby062		105
passerby063	NormalNpc	image\feature\npc\passerby\passerby063		110
passerby064	NormalNpc	image\feature\npc\passerby\passerby064		115
passerby065	NormalNpc	image\feature\npc\passerby\passerby065		115
passerby066	NormalNpc	image\feature\npc\passerby\passerby066		100
passerby067	NormalNpc	image\feature\npc\passerby\passerby067		100
passerby068	NormalNpc	image\feature\npc\passerby\passerby068		110
passerby069	NormalNpc	image\feature\npc\passerby\passerby069		110
passerby070	NormalNpc	image\feature\npc\passerby\passerby070		105
passerby071	NormalNpc	image\feature\npc\passerby\passerby071		110
passerby072	NormalNpc	image\feature\npc\passerby\passerby072		115
passerby073	NormalNpc	image\feature\npc\passerby\passerby073		110
passerby074	NormalNpc	image\feature\npc\passerby\passerby074		110
passerby075	NormalNpc	image\feature\npc\passerby\passerby075		115
passerby076	NormalNpc	image\feature\npc\passerby\passerby076		110
passerby077	NormalNpc	image\feature\npc\passerby\passerby077		110
passerby078	NormalNpc	image\feature\npc\passerby\passerby078		110
passerby079	NormalNpc	image\feature\npc\passerby\passerby079		110
passerby080	NormalNpc	image\feature\npc\passerby\passerby080		110
passerby081	NormalNpc	image\feature\npc\passerby\passerby081		110
passerby082	NormalNpc	image\feature\npc\passerby\passerby082		115
passerby083	NormalNpc	image\feature\npc\passerby\passerby083		110
passerby084	NormalNpc	image\feature\npc\passerby\passerby084		115
passerby085	NormalNpc	image\feature\npc\passerby\passerby085		110
passerby086	NormalNpc	image\feature\npc\passerby\passerby086		110
passerby087	NormalNpc	image\feature\npc\passerby\passerby087		110
passerby088	NormalNpc	image\feature\npc\passerby\passerby088		110
passerby089	NormalNpc	image\feature\npc\passerby\passerby089		115
passerby090	NormalNpc	image\feature\npc\passerby\passerby090		110
passerby091	NormalNpc	image\feature\npc\passerby\passerby091		120
passerby092	NormalNpc	image\feature\npc\passerby\passerby092		110
passerby093	NormalNpc	image\feature\npc\passerby\passerby093		110
passerby094	NormalNpc	image\feature\npc\passerby\passerby094		110
passerby095	NormalNpc	image\feature\npc\passerby\passerby095		110
passerby096	NormalNpc	image\feature\npc\passerby\passerby096		110
passerby097	NormalNpc	image\feature\npc\passerby\passerby097		105
passerby098	NormalNpc	image\feature\npc\passerby\passerby098		110
passerby099	NormalNpc	image\feature\npc\passerby\passerby099		105
passerby100	NormalNpc	image\feature\npc\passerby\passerby100		110
passerby101	NormalNpc	image\feature\npc\passerby\passerby101		110
passerby102	NormalNpc	image\feature\npc\passerby\passerby102		105
passerby103	NormalNpc	image\feature\npc\passerby\passerby103		110
passerby104	NormalNpc	image\feature\npc\passerby\passerby104		110
passerby105	NormalNpc	image\feature\npc\passerby\passerby105		110
passerby106	NormalNpc	image\feature\npc\passerby\passerby106		110
passerby107	NormalNpc	image\feature\npc\passerby\passerby107		110
passerby108	NormalNpc	image\feature\npc\passerby\passerby108		110
passerby109	NormalNpc	image\feature\npc\passerby\passerby109		100
passerby110	NormalNpc	image\feature\npc\passerby\passerby110		105
passerby111	NormalNpc	image\feature\npc\passerby\passerby111		115
passerby112	NormalNpc	image\feature\npc\passerby\passerby112		115
passerby113	NormalNpc	image\feature\npc\passerby\passerby113		115
passerby114	NormalNpc	image\feature\npc\passerby\passerby114		100
passerby115	NormalNpc	image\feature\npc\passerby\passerby115		100
passerby116	NormalNpc	image\feature\npc\passerby\passerby116		60
passerby117	NormalNpc	image\feature\npc\passerby\passerby117		50
passerby118	NormalNpc	image\feature\npc\passerby\passerby118		60
passerby119	NormalNpc	image\feature\npc\passerby\passerby119		60
passerby120	NormalNpc	image\feature\npc\passerby\passerby120		195
passerby121	NormalNpc	image\feature\npc\passerby\passerby121		80
passerby122	NormalNpc	image\feature\npc\passerby\passerby122		70
passerby123	NormalNpc	image\feature\npc\passerby\passerby123		80
passerby124	NormalNpc	image\feature\npc\passerby\passerby124		50
passerby125	NormalNpc	image\feature\npc\passerby\passerby125		50
passerby126	NormalNpc	image\feature\npc\passerby\passerby126		50
passerby127	NormalNpc	image\feature\npc\passerby\passerby127		70
passerby128	NormalNpc	image\feature\npc\passerby\passerby128		40
passerby129	NormalNpc	image\feature\npc\passerby\passerby129		40
passerby130	NormalNpc	image\feature\npc\passerby\passerby130		40
passerby131	NormalNpc	image\feature\npc\passerby\passerby131		40
passerby132	NormalNpc	image\feature\npc\passerby\passerby132		80
passerby133	NormalNpc	image\feature\npc\passerby\passerby133		50
passerby134	NormalNpc	image\feature\npc\passerby\passerby134		100
passerby135	NormalNpc	image\feature\npc\passerby\passerby135		110
passerby136	NormalNpc	image\feature\npc\passerby\passerby136		110
passerby137	NormalNpc	image\feature\npc\passerby\passerby137		110
passerby138	NormalNpc	image\feature\npc\passerby\passerby138		105
passerby139	NormalNpc	image\feature\npc\passerby\passerby139		110
passerby140	NormalNpc	image\feature\npc\passerby\passerby140		110
passerby141	NormalNpc	image\feature\npc\passerby\passerby141		110
passerby142	NormalNpc	image\feature\npc\passerby\passerby142		60
passerby143	NormalNpc	image\feature\npc\passerby\passerby143		110
passerby144	NormalNpc	image\feature\npc\passerby\passerby144		80
passerby145	NormalNpc	image\feature\npc\passerby\passerby145		60
passerby146	NormalNpc	image\feature\npc\passerby\passerby146		110
passerby147	NormalNpc	image\feature\npc\passerby\passerby147		40
passerby148	NormalNpc	image\feature\npc\passerby\passerby148		40
passerby149	NormalNpc	image\feature\npc\passerby\passerby149		40
passerby150	NormalNpc	image\feature\npc\passerby\passerby150		60
passerby151	NormalNpc	image\feature\npc\passerby\passerby151		100
passerby152	NormalNpc	image\feature\npc\passerby\passerby152		50
passerby153	NormalNpc	image\feature\npc\passerby\passerby153		110
passerby154	NormalNpc	image\feature\npc\passerby\passerby154		90
passerby155	NormalNpc	image\feature\npc\passerby\passerby155		90
passerby156	NormalNpc	image\feature\npc\passerby\passerby156		210
passerby157	NormalNpc	image\feature\npc\passerby\passerby157		110
passerby158	NormalNpc	image\feature\npc\passerby\passerby158		160
passerby159	NormalNpc	image\feature\npc\passerby\passerby159		110
passerby160	NormalNpc	image\feature\npc\passerby\passerby160		70
passerby161	NormalNpc	image\feature\npc\passerby\passerby161		110
passerby162	NormalNpc	image\feature\npc\passerby\passerby162		60
passerby163	NormalNpc	image\feature\npc\passerby\passerby163		40
passerby164	NormalNpc	image\feature\npc\passerby\passerby164		110
passerby165	NormalNpc	image\feature\npc\passerby\passerby165		80
passerby166	NormalNpc	image\feature\npc\passerby\passerby166		70
passerby167	NormalNpc	image\feature\npc\passerby\passerby167		70
passerby168	NormalNpc	image\feature\npc\passerby\passerby168		30
passerby169	NormalNpc	image\feature\npc\passerby\passerby169		30
passerby170	NormalNpc	image\feature\npc\passerby\passerby170		80
passerby171	NormalNpc	image\feature\npc\passerby\passerby171		80
passerby172	NormalNpc	image\feature\npc\passerby\passerby172		230
passerby173	NormalNpc	image\feature\npc\passerby\passerby173		90
passerby174	NormalNpc	image\feature\npc\passerby\passerby174		110
passerby175	NormalNpc	image\feature\npc\passerby\passerby175		110
passerby176	NormalNpc	image\feature\npc\passerby\passerby176		110
passerby177	NormalNpc	image\feature\npc\passerby\passerby177		110
passerby178	NormalNpc	image\feature\npc\passerby\passerby178		110
passerby179	NormalNpc	image\feature\npc\passerby\passerby179		120
passerby180	NormalNpc	image\feature\npc\passerby\passerby180		120
passerby181	NormalNpc	image\feature\npc\passerby\passerby181		120
passerby182	NormalNpc	image\feature\npc\passerby\passerby182		120
passerby183	NormalNpc	image\feature\npc\passerby\passerby183		110
