NpcList	FightStand	NormalStand1	NormalStand2	FightWalk	NormalWalk	FightRun	NormalRun	Wound	Die	Attack1	Attack2	Magic	SitDown	JunpFly
ani017	ani017_st01.spr	ani017_st01.spr	ani017_st01.spr	ani017_wlk.spr	ani017_wlk.spr	ani017_wlk.spr	ani017_wlk.spr	ani017_bat.spr	ani017_die.spr	ani017_at01.spr	ani017_at01.spr	ani017_at01.spr	ani017_st01.spr	ani017_wlk.spr
ani018	ani018_st01.spr	ani018_st01.spr	ani018_st01.spr	ani018_wlk.spr	ani018_wlk.spr	ani018_wlk.spr	ani018_wlk.spr	ani018_bat.spr	ani018_die.spr	ani018_at01.spr	ani018_at01.spr	ani018_at01.spr	ani018_st01.spr	ani018_wlk.spr
ani019	ani019_st01.spr	ani019_st01.spr	ani019_st01.spr	ani019_wlk.spr	ani019_wlk.spr	ani019_wlk.spr	ani019_wlk.spr	ani019_bat.spr	ani019_die.spr	ani019_at01.spr	ani019_at01.spr	ani019_at01.spr	ani019_st01.spr	ani019_wlk.spr
ani020														
ani021	ani021_st01.spr	ani021_st01.spr	ani021_st01.spr	ani021_wlk.spr	ani021_wlk.spr	ani021_wlk.spr	ani021_wlk.spr	ani021_bat.spr	ani021_die.spr	ani021_at01.spr	ani021_at01.spr	ani021_at01.spr	ani021_st01.spr	ani021_wlk.spr
ani022	ani022_st01.spr	ani022_st01.spr	ani022_st01.spr	ani022_wlk.spr	ani022_wlk.spr	ani022_wlk.spr	ani022_wlk.spr	ani022_bat.spr	ani022_die.spr	ani022_at01.spr	ani022_at01.spr	ani022_at01.spr	ani022_st01.spr	ani022_wlk.spr
ani023	ani023_st01.spr	ani023_st01.spr	ani023_st01.spr	ani023_wlk.spr	ani023_wlk.spr	ani023_wlk.spr	ani023_wlk.spr	ani023_bat.spr	ani023_die.spr	ani023_at01.spr	ani023_at02.spr	ani023_at02.spr	ani023_st01.spr	ani023_wlk.spr
ani024	ani024_st01.spr	ani024_st01.spr	ani024_st01.spr	ani024_wlk.spr	ani024_wlk.spr	ani024_wlk.spr	ani024_wlk.spr	ani024_bat.spr	ani024_die.spr	ani024_at01.spr	ani024_at02.spr	ani024_at02.spr	ani024_st01.spr	ani024_wlk.spr
ani025	ani025_st01.spr	ani025_st01.spr	ani025_st01.spr	ani025_st01.spr	ani025_st01.spr	ani025_st01.spr	ani025_st01.spr	ani025_st01.spr	ani025_st01.spr	ani025_st01.spr	ani025_st01.spr	ani025_st01.spr	ani025_st01.spr	ani025_st01.spr
ani026	ani026_st01.spr	ani026_st01.spr	ani026_st01.spr	ani026_st01.spr	ani026_st01.spr	ani026_st01.spr	ani026_st01.spr	ani026_st01.spr	ani026_st01.spr	ani026_st01.spr	ani026_st01.spr	ani026_st01.spr	ani026_st01.spr	ani026_st01.spr
ani027	ani027_st01.spr	ani027_st01.spr	ani027_st01.spr	ani027_st01.spr	ani027_st01.spr	ani027_st01.spr	ani027_st01.spr	ani027_st01.spr	ani027_st01.spr	ani027_st01.spr	ani027_st01.spr	ani027_st01.spr	ani027_st01.spr	ani027_st01.spr
ani028	ani028_st01.spr	ani028_st01.spr	ani028_st01.spr	ani028_st01.spr	ani028_st01.spr	ani028_st01.spr	ani028_st01.spr	ani028_st01.spr	ani028_st01.spr	ani028_st01.spr	ani028_st01.spr	ani028_st01.spr	ani028_st01.spr	ani028_st01.spr
ani029	ani029_st01.spr	ani029_st01.spr	ani029_st01.spr	ani029_st01.spr	ani029_st01.spr	ani029_st01.spr	ani029_st01.spr	ani029_st01.spr	ani029_st01.spr	ani029_st01.spr	ani029_st01.spr	ani029_st01.spr	ani029_st01.spr	ani029_st01.spr
ani030	ani030_st01.spr	ani030_st01.spr	ani030_st01.spr	ani030_st01.spr	ani030_st01.spr	ani030_st01.spr	ani030_st01.spr	ani030_st01.spr	ani030_st01.spr	ani030_st01.spr	ani030_st01.spr	ani030_st01.spr	ani030_st01.spr	ani030_st01.spr
ani031	ani031_st01.spr	ani031_st01.spr	ani031_st01.spr	ani031_st01.spr	ani031_st01.spr	ani031_st01.spr	ani031_st01.spr	ani031_st01.spr	ani031_st01.spr	ani031_st01.spr	ani031_st01.spr	ani031_st01.spr	ani031_st01.spr	ani031_st01.spr
enemy001	enemy001_st01.spr	enemy001_st02.spr	enemy001_st02.spr	enemy001_wlk.spr	enemy001_wlk.spr	enemy001_wlk.spr	enemy001_wlk.spr	enemy001_bat.spr	enemy001_die.spr	enemy001_at01.spr	enemy001_at02.spr	enemy001_at02.spr	enemy001_st02.spr	enemy001_wlk.spr
enemy002	enemy002_st01.spr	enemy002_st02.spr	enemy002_st02.spr	enemy002_wlk.spr	enemy002_wlk.spr	enemy002_wlk.spr	enemy002_wlk.spr	enemy002_bat.spr	enemy002_die.spr	enemy002_at01.spr	enemy002_at02.spr	enemy002_at02.spr	enemy002_st02.spr	enemy002_wlk.spr
enemy003	enemy003_st01.spr	enemy003_st02.spr	enemy003_st02.spr	enemy003_wlk.spr	enemy003_wlk.spr	enemy003_wlk.spr	enemy003_wlk.spr	enemy003_bat.spr	enemy003_die.spr	enemy003_at01.spr	enemy003_at02.spr	enemy003_at02.spr	enemy003_st02.spr	enemy003_wlk.spr
enemy004	enemy004_st01.spr	enemy004_st02.spr	enemy004_st02.spr	enemy004_wlk.spr	enemy004_wlk.spr	enemy004_wlk.spr	enemy004_wlk.spr	enemy004_bat.spr	enemy004_die.spr	enemy004_at01.spr	enemy004_at02.spr	enemy004_at02.spr	enemy004_st02.spr	enemy004_wlk.spr
enemy005	enemy005_st01.spr	enemy005_st02.spr	enemy005_st02.spr	enemy005_wlk.spr	enemy005_wlk.spr	enemy005_wlk.spr	enemy005_wlk.spr	enemy005_bat.spr	enemy005_die.spr	enemy005_at01.spr	enemy005_at02.spr	enemy005_at02.spr	enemy005_st02.spr	enemy005_wlk.spr
enemy006	enemy006_st01.spr	enemy006_st02.spr	enemy006_st02.spr	enemy006_wlk.spr	enemy006_wlk.spr	enemy006_wlk.spr	enemy006_wlk.spr	enemy006_bat.spr	enemy006_die.spr	enemy006_at01.spr	enemy006_at02.spr	enemy006_at02.spr	enemy006_st02.spr	enemy006_wlk.spr
enemy006a	enemy006a_st01.spr	enemy006a_st02.spr	enemy006a_st02.spr	enemy006a_wlk.spr	enemy006a_wlk.spr	enemy006a_wlk.spr	enemy006a_wlk.spr	enemy006a_bat.spr	enemy006a_die.spr	enemy006a_at01.spr	enemy006a_at02.spr	enemy006a_at02.spr	enemy006a_st02.spr	enemy006a_wlk.spr
enemy007	enemy007_st01.spr	enemy007_st02.spr	enemy007_st02.spr	enemy007_wlk.spr	enemy007_wlk.spr	enemy007_wlk.spr	enemy007_wlk.spr	enemy007_bat.spr	enemy007_die.spr	enemy007_at01.spr	enemy007_at01.spr	enemy007_at01.spr	enemy007_st02.spr	enemy007_wlk.spr
enemy008	enemy008_st01.spr	enemy008_st02.spr	enemy008_st02.spr	enemy008_wlk.spr	enemy008_wlk.spr	enemy008_wlk.spr	enemy008_wlk.spr	enemy008_bat.spr	enemy008_die.spr	enemy008_at01.spr	enemy008_at02.spr	enemy008_at02.spr	enemy008_st02.spr	enemy008_wlk.spr
enemy009	enemy009_st01.spr	enemy009_st02.spr	enemy009_st02.spr	enemy009_wlk.spr	enemy009_wlk.spr	enemy009_wlk.spr	enemy009_wlk.spr	enemy009_bat.spr	enemy009_die.spr	enemy009_at01.spr	enemy009_at02.spr	enemy009_at02.spr	enemy009_st02.spr	enemy009_wlk.spr
enemy010	enemy010_st01.spr	enemy010_st02.spr	enemy010_st02.spr	enemy010_wlk.spr	enemy010_wlk.spr	enemy010_wlk.spr	enemy010_wlk.spr	enemy010_bat.spr	enemy010_die.spr	enemy010_at01.spr	enemy010_at02.spr	enemy010_at02.spr	enemy010_st02.spr	enemy010_wlk.spr
enemy011	enemy011_st01.spr	enemy011_st02.spr	enemy011_st02.spr	enemy011_wlk.spr	enemy011_wlk.spr	enemy011_wlk.spr	enemy011_wlk.spr	enemy011_bat.spr	enemy011_die.spr	enemy011_at01.spr	enemy011_at02.spr	enemy011_at02.spr	enemy011_st02.spr	enemy011_wlk.spr
enemy012	enemy012_st01.spr	enemy012_st02.spr	enemy012_st02.spr	enemy012_wlk.spr	enemy012_wlk.spr	enemy012_wlk.spr	enemy012_wlk.spr	enemy012_bat.spr	enemy012_die.spr	enemy012_at01.spr	enemy012_at02.spr	enemy012_at02.spr	enemy012_st02.spr	enemy012_wlk.spr
enemy012a	enemy012a_st01.spr	enemy012a_st02.spr	enemy012a_st02.spr	enemy012a_wlk.spr	enemy012a_wlk.spr	enemy012a_wlk.spr	enemy012a_wlk.spr	enemy012a_bat.spr	enemy012a_die.spr	enemy012a_at01.spr	enemy012a_at02.spr	enemy012a_at02.spr	enemy012a_st02.spr	enemy012a_wlk.spr
enemy013	enemy013_st01.spr	enemy013_st02.spr	enemy013_st02.spr	enemy013_wlk.spr	enemy013_wlk.spr	enemy013_wlk.spr	enemy013_wlk.spr	enemy013_bat.spr	enemy013_die.spr	enemy013_at01.spr	enemy013_at02.spr	enemy013_at02.spr	enemy013_st02.spr	enemy013_wlk.spr
enemy014	enemy014_st01.spr	enemy014_st02.spr	enemy014_st02.spr	enemy014_wlk.spr	enemy014_wlk.spr	enemy014_wlk.spr	enemy014_wlk.spr	enemy014_bat.spr	enemy014_die.spr	enemy014_at01.spr	enemy014_at02.spr	enemy014_at02.spr	enemy014_st02.spr	enemy014_wlk.spr
enemy015	enemy015_st01.spr	enemy015_st02.spr	enemy015_st02.spr	enemy015_wlk.spr	enemy015_wlk.spr	enemy015_wlk.spr	enemy015_wlk.spr	enemy015_bat.spr	enemy015_die.spr	enemy015_at01.spr	enemy015_at02.spr	enemy015_at02.spr	enemy015_st02.spr	enemy015_wlk.spr
enemy016	enemy016_st01.spr	enemy016_st02.spr	enemy016_st02.spr	enemy016_wlk.spr	enemy016_wlk.spr	enemy016_wlk.spr	enemy016_wlk.spr	enemy016_bat.spr	enemy016_die.spr	enemy016_at01.spr	enemy016_at02.spr	enemy016_at02.spr	enemy016_st02.spr	enemy016_wlk.spr
enemy017	enemy017_st01.spr	enemy017_st02.spr	enemy017_st02.spr	enemy017_wlk.spr	enemy017_wlk.spr	enemy017_wlk.spr	enemy017_wlk.spr	enemy017_bat.spr	enemy017_die.spr	enemy017_at01.spr	enemy017_at02.spr	enemy017_at02.spr	enemy017_st02.spr	enemy017_wlk.spr
enemy018	enemy018_st01.spr	enemy018_st02.spr	enemy018_st02.spr	enemy018_wlk.spr	enemy018_wlk.spr	enemy018_wlk.spr	enemy018_wlk.spr	enemy018_bat.spr	enemy018_die.spr	enemy018_at01.spr	enemy018_at02.spr	enemy018_at02.spr	enemy018_st02.spr	enemy018_wlk.spr
enemy019	enemy019_st01.spr	enemy019_st02.spr	enemy019_st02.spr	enemy019_wlk.spr	enemy019_wlk.spr	enemy019_wlk.spr	enemy019_wlk.spr	enemy019_bat.spr	enemy019_die.spr	enemy019_at01.spr	enemy019_at01.spr	enemy019_at01.spr	enemy019_st02.spr	enemy019_wlk.spr
enemy020	enemy020_st01.spr	enemy020_st02.spr	enemy020_st02.spr	enemy020_wlk.spr	enemy020_wlk.spr	enemy020_wlk.spr	enemy020_wlk.spr	enemy020_bat.spr	enemy020_die.spr	enemy020_at01.spr	enemy020_at02.spr	enemy020_at02.spr	enemy020_st02.spr	enemy020_wlk.spr
enemy021	enemy021_st01.spr	enemy021_st02.spr	enemy021_st02.spr	enemy021_wlk.spr	enemy021_wlk.spr	enemy021_wlk.spr	enemy021_wlk.spr	enemy021_bat.spr	enemy021_die.spr	enemy021_at01.spr	enemy021_at02.spr	enemy021_at02.spr	enemy021_st02.spr	enemy021_wlk.spr
enemy022	enemy022_st01.spr	enemy022_st02.spr	enemy022_st02.spr	enemy022_wlk.spr	enemy022_wlk.spr	enemy022_wlk.spr	enemy022_wlk.spr	enemy022_bat.spr	enemy022_die.spr	enemy022_at01.spr	enemy022_at02.spr	enemy022_at02.spr	enemy022_st02.spr	enemy022_wlk.spr
enemy023	enemy023_st01.spr	enemy023_st02.spr	enemy023_st02.spr	enemy023_wlk.spr	enemy023_wlk.spr	enemy023_wlk.spr	enemy023_wlk.spr	enemy023_bat.spr	enemy023_die.spr	enemy023_at01.spr	enemy023_at02.spr	enemy023_at02.spr	enemy023_st02.spr	enemy023_wlk.spr
enemy024	enemy024_st01.spr	enemy024_st02.spr	enemy024_st02.spr	enemy024_wlk.spr	enemy024_wlk.spr	enemy024_wlk.spr	enemy024_wlk.spr	enemy024_bat.spr	enemy024_die.spr	enemy024_at01.spr	enemy024_at02.spr	enemy024_at02.spr	enemy024_st02.spr	enemy024_wlk.spr
enemy025	enemy025_st01.spr	enemy025_st02.spr	enemy025_st02.spr	enemy025_wlk.spr	enemy025_wlk.spr	enemy025_wlk.spr	enemy025_wlk.spr	enemy025_bat.spr	enemy025_die.spr	enemy025_at01.spr	enemy025_at01.spr	enemy025_at01.spr	enemy025_st02.spr	enemy025_wlk.spr
enemy026	enemy026_st01.spr	enemy026_st02.spr	enemy026_st02.spr	enemy026_wlk.spr	enemy026_wlk.spr	enemy026_wlk.spr	enemy026_wlk.spr	enemy026_bat.spr	enemy026_die.spr	enemy026_at01.spr	enemy026_at02.spr	enemy026_at02.spr	enemy026_st02.spr	enemy026_wlk.spr
enemy027	enemy027_st01.spr	enemy027_st02.spr	enemy027_st02.spr	enemy027_wlk.spr	enemy027_wlk.spr	enemy027_wlk.spr	enemy027_wlk.spr	enemy027_bat.spr	enemy027_die.spr	enemy027_at01.spr	enemy027_at02.spr	enemy027_at02.spr	enemy027_st02.spr	enemy027_wlk.spr
enemy028	enemy028_st01.spr	enemy028_st02.spr	enemy028_st02.spr	enemy028_wlk.spr	enemy028_wlk.spr	enemy028_wlk.spr	enemy028_wlk.spr	enemy028_bat.spr	enemy028_die.spr	enemy028_at01.spr	enemy028_at02.spr	enemy028_at02.spr	enemy028_st02.spr	enemy028_wlk.spr
enemy029	enemy029_st01.spr	enemy029_st02.spr	enemy029_st02.spr	enemy029_wlk.spr	enemy029_wlk.spr	enemy029_wlk.spr	enemy029_wlk.spr	enemy029_bat.spr	enemy029_die.spr	enemy029_at01.spr	enemy029_at02.spr	enemy029_at02.spr	enemy029_st02.spr	enemy029_wlk.spr
enemy030	enemy030_st01.spr	enemy030_st02.spr	enemy030_st02.spr	enemy030_wlk.spr	enemy030_wlk.spr	enemy030_wlk.spr	enemy030_wlk.spr	enemy030_bat.spr	enemy030_die.spr	enemy030_at01.spr	enemy030_at02.spr	enemy030_at02.spr	enemy030_st02.spr	enemy030_wlk.spr
enemy031	enemy031_st01.spr	enemy031_st02.spr	enemy031_st02.spr	enemy031_wlk.spr	enemy031_wlk.spr	enemy031_wlk.spr	enemy031_wlk.spr	enemy031_bat.spr	enemy031_die.spr	enemy031_at01.spr	enemy031_at01.spr	enemy031_at01.spr	enemy031_st02.spr	enemy031_wlk.spr
enemy032	enemy032_st01.spr	enemy032_st02.spr	enemy032_st02.spr	enemy032_wlk.spr	enemy032_wlk.spr	enemy032_wlk.spr	enemy032_wlk.spr	enemy032_bat.spr	enemy032_die.spr	enemy032_at01.spr	enemy032_at02.spr	enemy032_at02.spr	enemy032_st02.spr	enemy032_wlk.spr
enemy033	enemy033_st01.spr	enemy033_st02.spr	enemy033_st02.spr	enemy033_wlk.spr	enemy033_wlk.spr	enemy033_wlk.spr	enemy033_wlk.spr	enemy033_bat.spr	enemy033_die.spr	enemy033_at01.spr	enemy033_at02.spr	enemy033_at02.spr	enemy033_st02.spr	enemy033_wlk.spr
enemy034a	enemy034a_st01.spr	enemy034a_st02.spr	enemy034a_st02.spr	enemy034a_wlk.spr	enemy034a_wlk.spr	enemy034a_wlk.spr	enemy034a_wlk.spr	enemy034a_bat.spr	enemy034a_die.spr	enemy034a_at01.spr	enemy034a_at02.spr	enemy034a_at02.spr	enemy034a_st02.spr	enemy034a_wlk.spr
enemy034	enemy034_st01.spr	enemy034_st02.spr	enemy034_st02.spr	enemy034_wlk.spr	enemy034_wlk.spr	enemy034_wlk.spr	enemy034_wlk.spr	enemy034_bat.spr	enemy034_die.spr	enemy034_at01.spr	enemy034_at02.spr	enemy034_at02.spr	enemy034_st02.spr	enemy034_wlk.spr
enemy035	enemy035_st01.spr	enemy035_st02.spr	enemy035_st02.spr	enemy035_wlk.spr	enemy035_wlk.spr	enemy035_wlk.spr	enemy035_wlk.spr	enemy035_bat.spr	enemy035_die.spr	enemy035_at01.spr	enemy035_at02.spr	enemy035_at02.spr	enemy035_st02.spr	enemy035_wlk.spr
enemy036	enemy036_st01.spr	enemy036_st02.spr	enemy036_st02.spr	enemy036_wlk.spr	enemy036_wlk.spr	enemy036_wlk.spr	enemy036_wlk.spr	enemy036_bat.spr	enemy036_die.spr	enemy036_at01.spr	enemy036_at02.spr	enemy036_at02.spr	enemy036_st02.spr	enemy036_wlk.spr
enemy037	enemy037_st01.spr	enemy037_st02.spr	enemy037_st02.spr	enemy037_wlk.spr	enemy037_wlk.spr	enemy037_wlk.spr	enemy037_wlk.spr	enemy037_bat.spr	enemy037_die.spr	enemy037_at01.spr	enemy037_at01.spr	enemy037_at01.spr	enemy037_st02.spr	enemy037_wlk.spr
enemy038	enemy038_st01.spr	enemy038_st02.spr	enemy038_st02.spr	enemy038_wlk.spr	enemy038_wlk.spr	enemy038_wlk.spr	enemy038_wlk.spr	enemy038_bat.spr	enemy038_die.spr	enemy038_at01.spr	enemy038_at02.spr	enemy038_at02.spr	enemy038_st02.spr	enemy038_wlk.spr
enemy039	enemy039_st01.spr	enemy039_st02.spr	enemy039_st02.spr	enemy039_wlk.spr	enemy039_wlk.spr	enemy039_wlk.spr	enemy039_wlk.spr	enemy039_bat.spr	enemy039_die.spr	enemy039_at01.spr	enemy039_at02.spr	enemy039_at02.spr	enemy039_st02.spr	enemy039_wlk.spr
enemy040	enemy040_st01.spr	enemy040_st02.spr	enemy040_st02.spr	enemy040_wlk.spr	enemy040_wlk.spr	enemy040_wlk.spr	enemy040_wlk.spr	enemy040_bat.spr	enemy040_die.spr	enemy040_at01.spr	enemy040_at02.spr	enemy040_at02.spr	enemy040_st02.spr	enemy040_wlk.spr
enemy041	enemy041_st01.spr	enemy041_st02.spr	enemy041_st02.spr	enemy041_wlk.spr	enemy041_wlk.spr	enemy041_wlk.spr	enemy041_wlk.spr	enemy041_bat.spr	enemy041_die.spr	enemy041_at01.spr	enemy041_at02.spr	enemy041_at02.spr	enemy041_st02.spr	enemy041_wlk.spr
enemy042	enemy042_st01.spr	enemy042_st02.spr	enemy042_st02.spr	enemy042_wlk.spr	enemy042_wlk.spr	enemy042_wlk.spr	enemy042_wlk.spr	enemy042_bat.spr	enemy042_die.spr	enemy042_at01.spr	enemy042_at02.spr	enemy042_at02.spr	enemy042_st02.spr	enemy042_wlk.spr
enemy043	enemy043_st01.spr	enemy043_st02.spr	enemy043_st02.spr	enemy043_wlk.spr	enemy043_wlk.spr	enemy043_wlk.spr	enemy043_wlk.spr	enemy043_bat.spr	enemy043_die.spr	enemy043_at01.spr	enemy043_at02.spr	enemy043_at02.spr	enemy043_st02.spr	enemy043_wlk.spr
enemy044	enemy044_st01.spr	enemy044_st02.spr	enemy044_st02.spr	enemy044_wlk.spr	enemy044_wlk.spr	enemy044_wlk.spr	enemy044_wlk.spr	enemy044_bat.spr	enemy044_die.spr	enemy044_at01.spr	enemy044_at02.spr	enemy044_at02.spr	enemy044_st02.spr	enemy044_wlk.spr
enemy045	enemy045_st01.spr	enemy045_st02.spr	enemy045_st02.spr	enemy045_wlk.spr	enemy045_wlk.spr	enemy045_wlk.spr	enemy045_wlk.spr	enemy045_bat.spr	enemy045_die.spr	enemy045_at01.spr	enemy045_at02.spr	enemy045_at02.spr	enemy045_st02.spr	enemy045_wlk.spr
enemy046	enemy046_st01.spr	enemy046_st02.spr	enemy046_st02.spr	enemy046_wlk.spr	enemy046_wlk.spr	enemy046_wlk.spr	enemy046_wlk.spr	enemy046_bat.spr	enemy046_die.spr	enemy046_at01.spr	enemy046_at02.spr	enemy046_at02.spr	enemy046_st02.spr	enemy046_wlk.spr
enemy047	enemy047_st01.spr	enemy047_st02.spr	enemy047_st02.spr	enemy047_wlk.spr	enemy047_wlk.spr	enemy047_wlk.spr	enemy047_wlk.spr	enemy047_bat.spr	enemy047_die.spr	enemy047_at01.spr	enemy047_at02.spr	enemy047_at02.spr	enemy047_st02.spr	enemy047_wlk.spr
enemy048	enemy048_st01.spr	enemy048_st02.spr	enemy048_st02.spr	enemy048_wlk.spr	enemy048_wlk.spr	enemy048_wlk.spr	enemy048_wlk.spr	enemy048_bat.spr	enemy048_die.spr	enemy048_at01.spr	enemy048_at02.spr	enemy048_at02.spr	enemy048_st02.spr	enemy048_wlk.spr
enemy049	enemy049_st01.spr	enemy049_st02.spr	enemy049_st02.spr	enemy049_wlk.spr	enemy049_wlk.spr	enemy049_wlk.spr	enemy049_wlk.spr	enemy049_bat.spr	enemy049_die.spr	enemy049_at01.spr	enemy049_at02.spr	enemy049_at02.spr	enemy049_st02.spr	enemy049_wlk.spr
enemy050	enemy050_st01.spr	enemy050_st02.spr	enemy050_st02.spr	enemy050_wlk.spr	enemy050_wlk.spr	enemy050_wlk.spr	enemy050_wlk.spr	enemy050_bat.spr	enemy050_die.spr	enemy050_at01.spr	enemy050_at02.spr	enemy050_at02.spr	enemy050_st02.spr	enemy050_wlk.spr
enemy051	enemy051_st01.spr	enemy051_st02.spr	enemy051_st02.spr	enemy051_wlk.spr	enemy051_wlk.spr	enemy051_wlk.spr	enemy051_wlk.spr	enemy051_bat.spr	enemy051_die.spr	enemy051_at01.spr	enemy051_at02.spr	enemy051_at02.spr	enemy051_st02.spr	enemy051_wlk.spr
enemy052	enemy052_st01.spr	enemy052_st02.spr	enemy052_st02.spr	enemy052_wlk.spr	enemy052_wlk.spr	enemy052_wlk.spr	enemy052_wlk.spr	enemy052_bat.spr	enemy052_die.spr	enemy052_at01.spr	enemy052_at02.spr	enemy052_at02.spr	enemy052_st02.spr	enemy052_wlk.spr
enemy053	enemy053_st01.spr	enemy053_st02.spr	enemy053_st02.spr	enemy053_wlk.spr	enemy053_wlk.spr	enemy053_wlk.spr	enemy053_wlk.spr	enemy053_bat.spr	enemy053_die.spr	enemy053_at01.spr	enemy053_at02.spr	enemy053_at02.spr	enemy053_st02.spr	enemy053_wlk.spr
enemy054	enemy054_st01.spr	enemy054_st02.spr	enemy054_st02.spr	enemy054_wlk.spr	enemy054_wlk.spr	enemy054_wlk.spr	enemy054_wlk.spr	enemy054_bat.spr	enemy054_die.spr	enemy054_at01.spr	enemy054_at02.spr	enemy054_at02.spr	enemy054_st02.spr	enemy054_wlk.spr
