Name	Value	Desc
IVER_bOpenAccountLockNotEvent	0	Tài khoản đang khóa không thể mua Bạch Câu Hoàn hoặc tiến hành đóng mở các sự kiện
IVER_bOpenChongzhiPaiZi	0	Mở chức năng chọn loại thẻ nạp ở chỗ Sứ giả hoạt động
IVER_nGuessGameNum	12	Số lần đoán hoa đăng (Hiện không có chênh lệch, nhưng khi gọp với phiên bản Trung Quốc phải sửa lại 12 lần)
IVER_szGuessGameEndTime	21:30	Thời gian kết thúc Đoán Hoa Đăng
IVER_nGuessGameEndTime	2130	Trị số thời gian kết thúc Đoán Hoa Đăng
IVER_nDomainBattleDay	5	Thể hiện trị thời gian khi mở Lãnh Thổ Chiến
IVER_szDomainBattleDay	6	Thể hiện chuỗi ký tự thời gian khi mở Lãnh Thổ Chiến
IVER_nOpenLockWnd	0	Có phải muốn mở cửa sổ mở khóa
IVER_nPrayAwardNum	10	Phần thưởng lớn nhất trong bảng phần thưởng chúc phúc
IVER_szTeacherTitle	 (sư phụ của)	Danh hiệu sư đồ của sư phụ
IVER_szTudiTitle	 (đệ tử)	Danh hiệu sư đồ của đệ tử
IVER_nAchievementOpen	1	Tắt/mở thành tựu
IVER_szNewLandMinLevelName	Hỗn Thiên	Tên cấp Phi phong thấp nhất Thành chiến liên server
IVER_nNewLandMinLevel	6	Cấp Phi phong thấp nhất Thành chiến liên server
IVER_nNewLandMinTongMember	30	Cấp Phi phong thấp nhất Thành chiến liên server
IVER_nMinPrestigeRank	5000	Mỗi ngày trong bảng xếp hạng Uy danh giang hồ sẽ lấy ra những hạng thấp nhất theo chỉ định
IVER_bOpenBaiHuliftLimit	1	Có mở Bạch Hổ Đường tầng 1 và tầng 2 không? Người chơi có 3 cơ hội hồi sinh
IVER_bOpenTaskPlatform	0	Đóng mở kênh nhiệm vụ
IVER_bOpenWantedLimit	1	Đạo tặc không hạn chế cấp 120
IVER_bOpenGiveDaTaoShaExAward	1	Tắt/mở Quán quân Đại Đào Sát có cơ hội nhận thêm phần thường
IVER_bOpenWantedLimitTime	1	Tắt/mở giới hạn thời gian đạo tặc
IVER_bOpenFightPowerNoLevelLimit	0	Mở lực chiến đấu không giới hạn cấp
IVER_bOpenBossPkState	1	Tắt/mở không cưỡng chế pk Tần Lăng 1-3
IVER_bOpenDivorce	1	Tắt/mở ly hôn
IVER_bOpenKinBattle	1	Tắt/mở lôi đài gia tộc
IVER_bOpenFactionBattleNew	1	Thi đấu môn phái (mới)
IVER_bOpenkinMoney	1	Tắt/mở tiền lương gia tộc
IVER_nSnsConsumerKey_Tenc	0	Chìa khóa Zing
IVER_nConsumerSecret_Tenc	0	Chìa khóa Zing
IVER_nSnsConsumerKey_Sina	0	Chìa khóa Zing
IVER_nConsumerSecret_Sina	0	Chìa khóa Zing
IVER_bOpenSnsSystem	0	0 tắt/mở mạng xã hội
IVER_bUseChangeFactionItem	1	Tam tu cần đạo cụ tắt mở
IVER_bOpenPartnerExpLimit	1	Đồng hành dùng 5 kỹ năng trở lên khi đánh bại Thủ Lĩnh Tinh Anh hạn chế cộng kinh nghiệm
IVER_nXoyoGameTaskAwardMaxRank	3000	Phần thưởng cho xếp hạng thấp nhất_Tiêu Dao Cốc
IVER_nPlayerFuli_Chuansong	50	Truyền Tống Phù-Đặc quyền
IVER_nPlayerFuli_Qiankunfu	50	Càn Khôn Phù-Đặc quyền
IVER_nPlayerFuli_Hexuan	100	Ghép huyền tinh-Đặc quyền
IVER_nPlayerFuli_Cangku	100	Thương khố-Đặc quyền
IVER_nPlayerFuli_Paimai	50	Đấu giá-Đặc quyền
IVER_nPlayerFuli_Task	50	Kênh nhiệm vụ-Đặc quyền
IVER_nPlayerFuli_Lottery	10000	Kênh nhiệm vụ-Đặc quyền
