Id	PosType	Layer	AdjustColor	ImageFile	IconFile	Loop	Buff	DrawProp	Tip
66		1			\image\icon\fightskill\state\xingyuntisheng.spr	1	1		May mắn tăng
67	head	1		\image\effect\other\tanhaoII.spr		1	0	1	Chấm than trên đầu_Phụ tuyến
68	head	1		\image\effect\other\wenhaoII.spr		1	0	1	Chấm hỏi trên đầu_Phụ tuyến
69	minimap	1		\image\effect\other\tanhao_mapII.spr		1	0		Chấm than trên bản đồ nhỏ_Phụ tuyến
70	minimap	1		\image\effect\other\wenhao_mapII.spr		1	0		Chấm hỏi trên bản đồ nhỏ_Phụ tuyến
71		1			\image\icon\fightskill\state\lock.spr	0	0		Thời gian mở khoá
72	ground	0		\image\effect\fightskill\npc\npc_aura_l.spr		1	1	1	Vòng sáng NPC Tinh Anh
73	ground	0		\image\effect\fightskill\npc\npc_aura_m.spr		1	1	1	Vòng sáng NPC Thủ Lĩnh
74	ground	0		\image\effect\fightskill\npc\npc_aura_h.spr		1	1	1	Vòng sáng NPC BOSS
75	ground	0		\image\effect\other\selected.spr		1	0	1	Chọn mục tiêu
76		1			\image\icon\fightskill\state\xiuwei.spr	1	1		Bắt đầu tu luyện
77	ground	0		\image\effect\other\needfire_b.spr		1	1	1	Lửa trại
78		1			\image\icon\fightskill\state\zhen.spr	1	1		Trận pháp
79		1			\image\icon\fightskill\state\drinking.spr	1	1		Uống rượu tăng kinh nghiệm
80		1			\image\icon\fightskill\state\armor.spr	1	1		Hộ Giáp Phiến
81		1			\image\icon\fightskill\state\series.spr	1	1		Ngũ Hành Thạch
82		1			\image\icon\fightskill\state\burnish.spr	1	1		Ma Đao Thạch
83	head	1		\image\effect\other\state_gettask.spr		0	1	1	Hệ thống nhiệm vụ_Nhận nhiệm vụ
84	head	1		\image\effect\other\state_finishtask.spr		0	1	1	Hệ thống nhiệm vụ_Hoàn thành nhiệm vụ
85	head	1		\image\effect\other\state_taskstep_vn.spr		0	1	1	Hệ thống nhiệm vụ_Bước hoàn thành
86	ground	2		\image\effect\other\state_levelup.spr		0	1	1	Thăng cấp
87	ground	2		\image\effect\other\state_revive.spr		0	1	1	Trùng sinh
88	ground	2		\image\effect\other\state_reputeup.spr		0	1	1	Thăng cấp danh vọng
89	head	1		\image\effect\other\teamopen.spr		1	1	1	Trạng thái đội ngũ khai mở
90	head	1		\image\effect\other\state_trading_vn.spr		1	1	1	Trạng thái tiến hành giao dịch
91	head	1		\image\effect\other\sleep.spr		1	1	1	Trạng thái ngủ
92	head	1		\image\effect\other\state_trading_vn.spr		1	1	1	Trạng thái bán hàng
93	ground	2		\image\effect\other\state_rage.spr		0	0	1	Trạng thái cuồng nộ
94	head	1		\image\effect\other\state_autofight_vn.spr		1	0	1	Trạng thái tự chiến đấu
95	head	1		\image\effect\fightskill\wudu\wu_10_jtkl_b.spr	\image\icon\fightskill\state\armor.spr	1	0	2	Cửu Thiên Cuồng Lôi
96	head	1		\image\effect\fightskill\wudu\wu_10_hxjm_b.spr	\image\icon\fightskill\state\armor.spr	1	0	2	Hóa Huyết Tiệt Mạch
97	head	1		\image\effect\fightskill\wudu\wu_30_bphg_b.spr	\image\icon\fightskill\state\armor.spr	1	0	2	Băng Phách Hàn Quang
98	head	1		\image\effect\fightskill\wudu\wu_50_wgzq_b.spr	\image\icon\fightskill\state\wenguzhiqi.spr	1	0	3	Ôn Cổ Chi Khí
99	head	1		\image\effect\fightskill\wudu\wu_70_cyst_b.spr	\image\icon\fightskill\state\armor.spr	1	0	2	Xích Diệm Thực Thiên
100	head	1		\image\effect\fightskill\wudu\wu_90_djfg_b.spr	\image\icon\fightskill\state\armor.spr	1	0	2	Đoạn Cân Hủ Cốt
101	head	1		\image\effect\fightskill\wudu\wu_90_cypj_b.spr	\image\icon\fightskill\state\armor.spr	1	0	2	Xuyên Y Phá Giáp
102	ground	0		\image\effect\fightskill\emei\em_90_pdzs_b.spr	\image\icon\fightskill\state\armor.spr	1	1	2	Phổ Độ Chúng Sinh
103	head	1		\image\effect\fightskill\tianren\tr_30_sfz_b.spr	\image\icon\fightskill\state\armor.spr	1	0	2	Thúc Phọc Chú
104	head	1		\image\effect\fightskill\tianren\tr_50_hyfh_b.spr	\image\icon\fightskill\state\armor.spr	1	0	2	Huyễn Ảnh Phi Hồ
105	head	1		\image\effect\fightskill\tianren\tr_10_fhwj_b.spr	\image\icon\fightskill\state\armor.spr	1	0	2	Phi Hồng Vô Tích
106	head	1		\image\effect\fightskill\tianren\tr_70_nzxj_b.spr	\image\icon\fightskill\state\armor.spr	1	0	2	Nghịch Chuyển Tâm Kinh
107		1			\image\icon\fightskill\state\miqipiaozong.spr	1	1		Trong trạng thái bảo hộ tạm thời, không thể chiến đấu với NPC và người chơi khác.
108	body	1		\image\effect\fightskill\kunlun\kl_10_bdbq_b.spr	\image\icon\fightskill\state\armor.spr	1	1	2	Bách Độc Bất Xâm
109	body	1		\image\effect\fightskill\kunlun\kl_10_xksy_b.spr	\image\icon\fightskill\state\armor.spr	1	1	2	Hư Không Thiểm Ảnh
110	body	1		\image\effect\fightskill\kunlun\kl_50_qhax_b.spr	\image\icon\fightskill\state\armor.spr	1	1	2	Khinh Hàn Ngạo Tuyết
111	body	1		\image\effect\fightskill\kunlun\kl_50_hswy_b.spr	\image\icon\fightskill\state\armor.spr	1	1	2	Hóa Tủy Vô Ý
112	body	1			\image\icon\fightskill\state\tongweixianhua_child.spr	1	1	2	Hạo Nhiên Chính Khí
113	body	1		\image\effect\fightskill\kunlun\kl_90_ltj_b.spr	\image\icon\fightskill\state\armor.spr	1	1	2	Lôi Đình Quyết
114	body	1		\image\effect\fightskill\kunlun\kl_90_jgbp_b.spr	\image\icon\fightskill\state\armor.spr	1	1	2	Kim Cang Bất Phá
115	head	1		\image\effect\other\wenhaoIV.spr		1	0	1	Chấm hỏi trên đầu_Nhiệm vụ chưa hoàn thành
116	minimap	1		\image\effect\other\wenhao_mapIV.spr		1	0	1	Chấm hỏi trên bản đồ nhỏ_Nhiệm vụ chưa hoàn thành
117	ground	0		\image\effect\fightskill\daliduanshi\ds_70_krcg_b.spr	\image\icon\fightskill\state\kurongchangong.spr	1	1	3	Khô Vinh Thiền Công
118	head	1		\image\effect\fightskill\wudu\wu_70_wgsx_b.spr	\image\icon\fightskill\state\wangushixin.spr	1	0	2	Giảm kháng tất cả
119	head	1		\image\effect\fightskill\tianren\tr_10_lmdp_b.spr	\image\icon\fightskill\state\limoduopo.spr	1	0	2	Giảm lực tấn công
120	head	1		\image\effect\fightskill\tianwang\tw_70_twzy_b.spr	\image\icon\fightskill\state\tianwangzhanyi.spr	1	1	2	Tăng tấn công
121	head	1		\image\effect\fightskill\tianren\tr_70_nzxj_b.spr	\image\icon\fightskill\state\weak.spr	1	0	2	Nội lực giảm liên tục
122	head	1		\image\effect\fightskill\tianren\tr_90_hflh_b.spr	\image\icon\fightskill\state\weak.spr	1	0	2	Giảm hiệu suất hồi sinh lực
123	head	1		\image\effect\fightskill\wudu\wu_10_hxjm_b.spr	\image\icon\fightskill\state\weak.spr	1	0	2	Giảm sinh lực tối đa
124	head	1		\image\effect\fightskill\wudu\wu_10_jtkl_b.spr	\image\icon\fightskill\state\weak.spr	1	0	2	Giảm sinh lực tối đa
125	head	1		\image\effect\fightskill\tianren\tr_30_sfz_b.spr	\image\icon\fightskill\state\armor.spr	1	0	2	Giảm kháng lôi công
126	head	1		\image\effect\fightskill\tianren\tr_50_hyfh_b.spr	\image\icon\fightskill\state\shiyuanjue.spr	1	0	2	Giảm chính xác
127	ground	1		\image\effect\fightskill\public\rage_earth_c2.spr	\image\icon\fightskill\state\qingfengfu.spr	1	0	2	Duy trì đánh lôi
128		1			\image\icon\fightskill\state\drinking.spr	1	1		Hiệu quả thức ăn lâu dài
129	head	1		\image\effect\fightskill\public\state_confuse.spr	\image\icon\fightskill\state\confuse.spr	1	0	1	Bất lực, không thể xuất chiêu
130	body	1		\image\effect\fightskill\tianwang\tw_60_jlpt_b.spr	\image\icon\fightskill\state\jingleipotian.spr	1	1	3	Kinh Lôi Phá Thiên
131		1			\image\icon\fightskill\state\tianwangbensheng.spr	1	1		Kinh Lôi Phá Thiên
132	head	1		\image\effect\fightskill\tianwang\tw_60_twbs_b.spr	\image\icon\fightskill\state\tianwangbensheng.spr	1	1	3	Thiên Vương Bản Sinh
133	head	1		\image\effect\fightskill\wudu\wu_30_bmxg_b.spr	\image\icon\fightskill\state\duanjinren.spr	1	0	3	Đoạn Cân Nhẫn
134	head	1			\image\icon\fightskill\state\cihangpudu.spr	1	1		Bất Diệt Bất Tuyệt
135	ground	0		\image\effect\fightskill\gaibang\gb_60_scll_b.spr	\image\icon\fightskill\state\shichengliulong.spr	1	1	3	Thời Thừa Lục Long
136	ground	0		\image\effect\fightskill\npc\npc_aura_h.spr	\image\icon\fightskill\state\burn.spr	1	1	2	Hỏa Liên Phần Hoa
137	body	1		\image\effect\fightskill\wudang\wd_50_cywj_b.spr	\image\icon\fightskill\state\chunyangwuji.spr	1	1	1	Thuần Dương Vô Cực
138	head	1		\image\effect\fightskill\kunlun\kl_60_kss_b.spr	\image\icon\fightskill\state\kaishenshu.spr	1	1	2	Khai Thần Thuật
139	head	1			\image\icon\fightskill\state\cihangpudu.spr	1	1		Sinh lực hồi phục liên tục
140	head	1		\image\effect\fightskill\wudang\wd_30_zwww_b.spr	\image\icon\fightskill\state\zuowangwuwo.spr	1	1	2	Vô Ngã Tâm Pháp
141	head	1			\image\icon\fightskill\state\juyuanshu.spr	1	1		Tụ Nguyên Thuật
142		1			\image\icon\fightskill\state\xuanbingwuxi.spr	1	1		Huyền Băng Vô Tức
143	ground	0		\image\effect\fightskill\emei\em_90_fgpz_d.spr	\image\icon\fightskill\state\boluoxinjing.spr	1	1	3	Ba La Tâm Kinh
144	head	1		\image\effect\fightskill\shaolin\sl_50_xlfh_b2.spr	\image\icon\fightskill\state\huabuliushou.spr	1	1	3	Hàng Long Phục Hổ
145	head	1		\image\effect\other\dushuzhong_vn.spr		1	0	1	Hệ thống nhiệm vụ_Đang đọc sách
146		1			\image\icon\fightskill\state\xiulianzhuangtai.spr	1	1		Kinh nghiệm đánh quái tăng
147	head	1		\image\effect\other\state_autonavigate_vn.spr		1	0		Trạng thái tự động tìm đường
148		0			\image\icon\fightskill\state\kurongchangong.spr	1	1		Khi sử dụng Hồn Thạch cường hóa Ngũ Hành Ấn, hiệu quả tăng 20%<enter>Khi cường hóa trang bị, bạc (bạc khóa) cần dùng giảm một nửa<enter>Thời gian tu luyện mỗi ngày tăng 0.5 giờ<enter>Dùng Lệnh Bài Nghĩa Quân, Lệnh Bài Bạch Hổ Đường, Lệnh Bài Gia Tộc, Lệnh Bài Tống Kim, Lệnh Bài Thi Đấu Môn Phái, danh vọng thu được tăng 50%
149	head	1		\image\effect\other\bird.spr		1	0	1	Hệ thống nhiệm vụ_Phi Điểu Trung
150		1			\image\icon\fightskill\state\juyuanshu.spr	1	1		Bàn Thạch Phù
151	body	1		\image\effect\fightskill\shaolin\sl_10_fmdf_a.spr		0	1		Phục Ma Đao Pháp
152	ground	1		\image\effect\fightskill\shaolin\sl_50_pjdf_a.spr		0	1		Phá Giới Đao Pháp
153	ground	2		\image\effect\fightskill\shaolin\sl_70_ptxf_a.spr		0	1		Bồ Đề Tâm Pháp
154	ground	1		\image\effect\fightskill\shaolin\sl_90_wxz_a.spr		0	1		Thiên Trúc Tuyệt Đao
155	body	1		\image\effect\fightskill\shaolin\sl_10_pdgf_a.spr		0	1		Phổ Độ Côn Pháp
156	body	1		\image\effect\fightskill\shaolin\sl_50_fmgf_a.spr		0	1		Phục Ma Côn Pháp
157	ground	2		\image\effect\fightskill\shaolin\sl_50_szh_a.spr		0	1		Sư Tử Hống
158	body	1		\image\effect\fightskill\shaolin\sl_90_hslh_a.spr		0	1		Thất Tinh La Sát Côn
159	ground	1		\image\effect\fightskill\tianwang\tw_30_dhc_a.spr		0	1		Đoạn Hồn Thích
160	ground	2		\image\effect\fightskill\tianwang\tw_70_twzy_a.spr		0	1		Thiên Vương Chiến Ý
161	ground	2		\image\effect\fightskill\tianwang\tw_70_jzz_a.spr		0	1		Kim Chung Tráo
162	body	1		\image\effect\fightskill\tangmen\tm_10_zxj_a.spr		0	1		Truy Tâm Tiễn
163	ground	1		\image\effect\fightskill\tangmen\tm_50_tldw_a.spr		0	1		Thiên La Địa Võng
164	body	2		\image\effect\fightskill\tangmen\tm_30_myz_a.spr		0	1		Mê Ảnh Tung
165	ground	1		\image\effect\fightskill\tangmen\tm_90_bylh_a.spr		0	1		Bạo Vũ Lê Hoa
166	ground	1		\image\effect\fightskill\tangmen\tm_10_dcg_a.spr		0	1		Độc Thích Cốt
167	ground	1		\image\effect\fightskill\tangmen\tm_30_ghj_a.spr		0	1		Câu Hồn Tĩnh
168	ground	1		\image\effect\fightskill\tangmen\tm_50_xlfd_a.spr		0	1		Tiểu Lý Phi Đao
169	ground	1		\image\effect\fightskill\tangmen\tm_70_csc_a.spr		0	1		Triền Thân Thích
170	ground	1		\image\effect\fightskill\tangmen\tm_90_lhj_a.spr		0	1		Loạn Hoàn Kích
171	ground	1		\image\effect\fightskill\wudu\wu_10_xdds_a.spr		0	1		Huyết Đao Độc Sát
172	body	1		\image\effect\fightskill\wudu\wu_50_bdcx_a.spr		0	1		Bách Độc Xuyên Tâm
173	body	2		\image\effect\fightskill\wudu\wu_70_wgsx_a.spr		0	1		Vạn Cổ Thực Tâm
174	ground	1		\image\effect\fightskill\wudu\wu_90_xyz_a.spr		0	1		Huyền Âm Trảm
175	ground	1		\image\effect\fightskill\wudu\wu_10_dsz_a.spr		0	1		Độc Sa Chưởng
176	ground	2		\image\effect\fightskill\wudu\wu_30_bmxg_a.spr		0	1		Bi Ma Huyết Quang
177	ground	1		\image\effect\fightskill\wudu\wu_50_tgds_a.spr		0	1		Thiên Canh Địa Sát
178	ground	2		\image\effect\fightskill\wudu\wu_50_cxdc_a.spr		0	1		Xuyên Tâm Độc Thích
179	ground	1		\image\effect\fightskill\wudu\wu_90_yfsg_a.spr		0	1		Âm Phong Thực Cốt
180	body	1		\image\effect\fightskill\emei\em_10_pxcy_a.spr		0	1		Phiêu Tuyết Xuyên Vân
181	ground	2		\image\effect\fightskill\emei\em_10_md_a.spr		0	1		Từ Hàng Phổ Độ
182	ground	1		\image\effect\fightskill\emei\em_50_sxtg_a.spr		0	1		Tứ Tượng Đồng Quy
183	body	1		\image\effect\fightskill\emei\em_90_fssy_a.spr		0	1		Phong Sương Toái Ảnh
184	ground	1		\image\effect\fightskill\emei\em_10_fyzy_a.spr		0	1		Phật Âm Chiến Ý
185	ground	2		\image\effect\fightskill\emei\em_90_fgpz_a.spr		0	1		Phật Quang Phổ Chiếu
186	ground	1		\image\effect\fightskill\cuiyan\cy_10_fjcx_a.spr		0	1		Phong Quyển Tàn Tuyết
187	ground	1		\image\effect\fightskill\cuiyan\cy_50_bhcs_a.spr		0	1		Bích Hải Triều Sinh
188	ground	2		\image\effect\fightskill\cuiyan\cy_30_xy_a.spr		0	1		Tuyết Ảnh
189	ground	1		\image\effect\fightskill\cuiyan\cy_90_bxxz_a.spr		0	1		Băng Tâm Tiên Tử
190	ground	1		\image\effect\fightskill\cuiyan\cy_10_fhxy_a.spr		0	1		Phong Hoa Tuyết Nguyệt
191	body	2		\image\effect\fightskill\cuiyan\cy_70_yxy_a.spr		0	1		Ngự Tuyết Ẩn
192	ground	1		\image\effect\fightskill\cuiyan\cy_50_mylx_a.spr		0	1		Mục Dã Lưu Tinh
193	body	1		\image\effect\fightskill\cuiyan\cy_90_bzwy_a.spr		0	1		Băng Tung Vô Ảnh
194	ground	1		\image\effect\fightskill\gaibang\gb_10_jrss_a.spr		0	1		Kiến Nhân Thân Thủ
195	ground	1		\image\effect\fightskill\gaibang\gb_50_klyh_a.spr		0	1		Hàng Long Hữu Hối
196	body	2		\image\effect\fightskill\gaibang\gb_50_hbls_a.spr		0	1		Hoạt Bất Lưu Thủ
197	body	1		\image\effect\fightskill\gaibang\gb_90_flzt_a.spr		0	1		Phi Long Tại Thiên
198	body	1		\image\effect\fightskill\gaibang\gb_10_ymtb_a.spr		0	1		Duyên Môn Thác Bát
199	ground	1		\image\effect\fightskill\gaibang\gb_50_bdeg_a.spr		0	1		Bổng Đả Ác Cẩu
200	ground	1		\image\effect\fightskill\gaibang\gb_90_txwg_a.spr		0	1		Thiên Hạ Vô Cẩu
201	ground	1		\image\effect\fightskill\tianren\tr_10_cyrx_a.spr		0	1		Tàn Dương Như Huyết
202	ground	1		\image\effect\fightskill\tianren\tr_50_lhqt_a.spr		0	1		Liệt Hỏa Tình Thiên
203	ground	2		\image\effect\fightskill\tianren\tr_50_bsqf_a.spr		0	1		Bi Tô Thanh Phong
204	ground	2		\image\effect\fightskill\tianren\tr_70_mysp_a.spr		0	1		Ma Âm Phệ Phách
205	ground	1		\image\effect\fightskill\tianren\tr_90_ylj_a.spr		0	1		Vân Long Kích
206	ground	1		\image\effect\fightskill\tianren\tr_10_tzly_a.spr		0	1		Đạn Chỉ Liệt Diệm
207	ground	1		\image\effect\fightskill\tianren\tr_50_tsth_a.spr		0	1		Thôi Sơn Điền Hải
208	ground	2		\image\effect\fightskill\tianren\tr_10_lmdp_a.spr		0	1		Lệ Ma Đoạt Hồn
209	ground	2		\image\effect\fightskill\tianren\tr_70_shlx_a.spr		0	1		Nhiếp Hồn Loạn Tâm
210	ground	1		\image\effect\fightskill\tianren\tr_90_twlx_a.spr		0	1		Thiên Ngoại Lưu Tinh
211	ground	1		\image\effect\fightskill\wudang\wd_10_bjef_a.spr		0	1		Bác Cập Nhi Phục
212	ground	2		\image\effect\fightskill\wudang\wd_30_zwww_a.spr		0	1		Tọa Vọng Vô Ngã
213	ground	1		\image\effect\fightskill\wudang\wd_50_wwwj_a.spr		0	1		Vô Ngã Vô Kiếm
214	ground	1		\image\effect\fightskill\wudang\wd_90_tdwj_a.spr		0	1		Thiên Địa Vô Cực
215	ground	1		\image\effect\fightskill\wudang\wd_10_jfjt_a.spr		0	1		Kiếm Phi Kinh Thiên
216	ground	1		\image\effect\fightskill\wudang\wd_50_shty_a.spr		0	1		Tam Hoàn Sáo Nguyệt
217	body	1		\image\effect\fightskill\wudang\wd_90_rjhy_a.spr		0	1		Nhân Kiếm Hợp Nhất
218	ground	1		\image\effect\fightskill\kunlun\kl_10_hff_a.spr		0	1		Hô Phong Pháp
