AutoName	AutoId	AutoType	CastPercent	CastSkillId	CastSkillLevel	ParentSkillId	RelativeSkillStyle	MinPerCastTime	MaxCastCount	Param1	Param2
Nguyệt Hoa Thiên Lý_Đồng đội	50	6	{1,100},{10,100}	1416	-1	0		{1,270},{20,270}	-1	0	0
Kỹ năng giày_Đồng đội	51	6	{1,100},{10,100}	1472	-1	0		{1,270},{20,270}	-1	0	0
Thiên Hà Thần Công	52	14	{1,100},{10,100}	1294	-1	0		{1,5400},{10,5400}	-1	448	0
Kiếm Thúy 120	53	13	{1,100},{10,100}	1288	-1	840	meleephysicalattack,rangephysicalattack,rangemagicattack,aurarangemagicattack,trap,disable	{1,1},{10,1}	{1,9},{10,15},{11,15}	0	0
Đao Thiếu 120	54	1	{1,100},{10,100}	1283	-1	820	meleephysicalattack,rangephysicalattack,rangemagicattack,aurarangemagicattack,trap,specialattack	{1,3},{10,3}	{1,15},{10,24},{11,24}	0	0
Tụ Tiễn 120	55	6	{1,100},{10,100}	1292	-1	1292		{1,90},{10,90}	{1,6},{10,6}	0	0
Chưởng Nga 120	56	2	{1,10},{10,10}	1436	-1	0	meleephysicalattack,rangephysicalattack,rangemagicattack,aurarangemagicattack,trap,specialattack	{1,9},{10,9}	-1	0	0
Đao Thúy 120	57	6	{1,100},{10,100}	1672	-1	0		{1,54},{10,54}	-1	0	0
Đao Thúy 120_Tử	58	2	{1,100},{10,100}	1283	-1	1648	meleephysicalattack,rangephysicalattack,rangemagicattack,aurarangemagicattack,trap	{1,1},{10,1}	{1,1},{10,1}	0	0
Chưởng Cái 120	59	13	{1,2},{10,15},{11,15}	1649	-1	0	meleephysicalattack,rangephysicalattack,rangemagicattack,aurarangemagicattack,trap	{1,10},{10,10}	-1	0	0
Ma Nhẫn 120	60	6	{1,100},{10,100}	1669	-1	0		{1,90},{10,90}	-1	0	0
Kiếm Võ 120	61	6	{1,100},{10,100}	1658	-1	854		{1,90},{10,90}	-1	0	0
Đao Côn 120	62	2	{1,100},{10,100}	1659	-1	0	rangephysicalattack	{1,270},{10,270}	-1	0	0
npc Kiếm Thúy 120	63	13	{1,100},{10,100}	1955	-1	1954	meleephysicalattack,rangephysicalattack,rangemagicattack,aurarangemagicattack,trap,disable	{1,1},{10,1}	{1,9},{10,15},{11,15}	0	0
Kiếm Côn 120	64	1	{1,20},{10,20},{11,21}	1661	-1	0	meleephysicalattack,rangephysicalattack,rangemagicattack,aurarangemagicattack,trap	{1,9},{10,9}	-1	0	0
Trảm Long Quyết bị đánh chính xác giảm cd	65	13	{1,0},{10,1},{11,1}	800	-1	0	meleephysicalattack,rangephysicalattack,rangemagicattack,aurarangemagicattack,trap,specialattack	{1,1},{10,1}	-1	448	0
Chỉ Đoàn 120	66	2	{1,100},{10,100}	1664	-1	0	disable	{1,1},{10,1}	-1	0	0
Khí Đoàn 120_Thêm	67	2	{1,3},{2,3}	1663	-1	0	meleephysicalattack,rangephysicalattack,rangemagicattack,aurarangemagicattack,trap	{1,1},{10,1}	-1	0	0
Đao Độc 120_Thi triển 1	68	6	{1,100},{10,100}	1667	-1	0		{1,90},{10,90}	-1	0	0
Đao Độc 120_Thi triển 2	69	2	{1,100},{10,100}	1670	-1	0	meleephysicalattack,rangephysicalattack,rangemagicattack,aurarangemagicattack,trap,specialattack	{1,18},{10,18}	-1	0	0
Thương Thiên 120	70	6	{1,100},{10,100}	89	-1	0		{1,18},{10,18}	-1	0	0
Thập Diện Mai Phục	71	6	{1,100},{10,100}	1180	-1	0		{1,36},{10,36}	-1	0	0
Đao Thúy 120_Tử 2	72	6	{1,100},{10,100}	1648	-1	1673		{1,18},{10,18}	1	0	0
Côn Thiếu 120	73	1	{1,25},{10,25}	1287	-1	0	meleephysicalattack,rangephysicalattack,rangemagicattack,aurarangemagicattack,trap,specialattack	{1,9},{10,9}	-1	0	0
Vạn Cổ Thực Tâm	74	2	{1,100},{10,100}	774	-1	0	aurarangemagicattack,specialattack,curse,rangephysicalattack	{1,18},{10,18}	-1	0	0
Bi Ma Huyết Quang	75	2	{1,100},{10,100}	801	-1	0	aurarangemagicattack,specialattack,curse,rangemagicattack	{1,18},{10,18}	-1	0	0
Ôn Cổ Chi Khí (bị động)	76	2	{1,100},{10,100}	388	-1	0	aurarangemagicattack,specialattack,curse,rangephysicalattack	{1,18},{10,18}	-1	0	0
Tử Tiêu Hoành Vân_Tử	77	6	{1,100},{10,100}	1112	-1	1658		{1,18},{10,18}	-1	0	0
xoyo Tự động sát thương	78	6	{1,100},{10,100}	1855	-1	0		{1,18},{10,18}	-1	0	0
xoyo Tự động bất động	79	6	{1,100},{10,100}	1856	-1	0		{1,18},{10,18}	-1	0	0
jy Người chơi tự động thêm boss tấn công	80	6	{1,100},{10,100}	1891	-1	0		{1,18},{10,18}	-1	0	0
jy Khối Băng tử vong người chơi không còn bị đóng băng	81	5	{1,100},{10,100}	1890	4	0		{1,18},{10,18}	-1	0	0
ll Tự động sát thương	82	6	{1,100},{10,100}	1902	-1	0		{1,18},{10,18}	-1	0	0
jy Hỏa Xà_Đạn sát thương	83	6	{1,100},{10,100}	1931	-1	0		{1,6},{10,6}	-1	0	0
jy Minh Hỏa	84	6	{1,100},{10,100}	1935	-1	0		{1,18},{10,18}	-1	0	0
jy Bôn Bào_Tích cực	85	6	{1,100},{10,100}	1937	-1	0		{1,90},{10,90}	-1	0	0
Xuân	86	6	{1,100},{10,100}	2188	-1	2187		{1,18},{10,18}	-1	0	0
Phi Phi	87	6	{1,100},{10,100}	2170	-1	2169		{1,18},{10,18}	-1	0	0
Liệt Địa Trảm	88	6	{1,100},{10,100}	2159	-1	2200		{1,540},{10,540}	-1	0	0
Nguyện Quân Đa Thái Hiệt	89	6	{1,100},{10,100}	2094	-1	2093		{1,18},{10,18}	-1	0	0
Thử Vật Tối Tương Tư	90	6	{1,100},{10,100}	2029	-1	2095		{1,18},{10,18}	-1	0	0
Nhu Kiếm_Vô Ngấn	91	6	{1,100},{10,100}	2137	-1	2136		{1,180},{10,180}	-1	0	0
Đảo Hiệp Khách_Tự nổ	92	14	{1,1},{18,60},{19,100}	1685	-1	1684		{1,180},{10,180}	-1	0	0
Giảm sát thương	93	4	{1,0},{19,0},{20,90}	1687	-1	1674		{1,540},{20,540}	-1	318	0
Mật Tịch Chưởng Cái (cao)	94	2	{1,100},{10,100}	1664	-1	864	meleephysicalattack,rangephysicalattack,rangemagicattack,aurarangemagicattack,trap,specialattack	{1,540},{10,180}	-1	0	0
