MissileId	MissileName	MoveKind	ColFollowTarget	MissileHeight	CollidRange	RangeType	DmgRange	CanRepeatDamage	DmgInterval	LifeTime	Speed	Zspeed	Zacc	LoopPlay	SubLoop	SubStart	SubStop	ColVanish	AutoExplode	MissRate	MultiShow	Param1	Param2	Param3	HurtRandX	HurtRandY	BlurMaxNum	BlurDistance	BlurAlphaAttenuateP	AnimFile1	SndFile1	AnimFile2	SndFile2	AnimFile3	SndFile3	AnimFile4	SndFile4	AnimFileB1	SndFileB1	AnimFileB2	SndFileB2	AnimFileB3	SndFileB3	AnimFileB4	SndFileB4	RedLum	GreenLum	BlueLum	LightRadius
13	Chu Cáp Thanh Minh_Hiệu quả	0	0	10	0	0	0	0	19	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						\image\effect\fightskill\wudu\wu_110_zhqm_d.spr														255	255	255	0
14	Hóa Cốt Miên Chưởng	0	1	10	13	0	13	0	13	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						\image\effect\fightskill\wudu\wu_110_hgmz_c.spr														255	255	255	0
15	Thâu Thiên Hoán Nhật	0	1	10	13	0	13	0	19	18	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0						\image\effect\fightskill\tianren\tr_70_nzxj_d.spr	\audio\fightskill\tianren\tr_hlfh_c.wav													255	255	255	0
16	Phật Quang Chiến Khí	0	0	10	31	0	31	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0											\audio\fightskill\emei\em_pxcy_c.wav									255	255	255	0
17	Kiếm Ảnh Phật Quang	1	1	10	3	0	3	0	0	13	45	0	0	1	0	0	0	2	0	0	0	0	0	0	50	50						\image\effect\fightskill\emei\em_110_jyfg_c1.spr				\image\effect\fightskill\emei\em_110_jyfg_d.spr										255	255	255	0
18	Thập Diện Mai Phục	0	1	10	27	0	27	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0										\image\effect\fightskill\cuiyan\cy_110_smmf_d.spr										255	255	255	0
19	Bôn Lôi Toàn Long Thương_Tử	0	1	10	27	0	27	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1										\image\effect\fightskill\tianwang\tw_110_blzlq_d.spr	\audio\fightskill\tianwang\tw_dhc_c.wav									255	255	255	0
20	Đả Cẩu Trận Pháp_Ảnh	1	1	10	1	0	1	0	0	15	60	0	0	1	0	0	0	0	0	0	0	0	0	0	50	0						\image\effect\fightskill\gaibang\gb_110_dgzf_c.spr	\audio\fightskill\gaibang\gb_txwg_f.wav			\image\effect\fightskill\gaibang\gb_90_txwg_d.spr	\audio\fightskill\gaibang\gb_txwg_c.wav									255	255	255	0
21	Phục Ma Đao Pháp	1	1	10	1	0	1	0	0	13	40	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	35	10			\image\effect\fightskill\shaolin\sl_10_fmdf_c.spr	\audio\fightskill\shaolin\sl_fmdf_f.wav			\image\effect\fightskill\shaolin\sl_10_fmdf_d.spr	\audio\fightskill\shaolin\sl_fmdf_c.wav									255	255	255	0
22	Phá Giới Đao Pháp	1	1	10	1	0	1	0	0	13	40	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50	5	30	8			\image\effect\fightskill\shaolin\sl_50_pjdf_c.spr	\audio\fightskill\shaolin\sl_pjdf_f.wav			\image\effect\fightskill\shaolin\sl_50_pjdf_d.spr	\audio\fightskill\shaolin\sl_pjdf_c.wav									255	255	255	0
23	A La Hán Thần Công	0	1	10	41	0	41	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0																				255	255	255	0
24	Thiên Trúc Tuyệt Đao	1	1	10	3	0	3	0	0	13	40	0	0	1	0	0	0	2	0	0	0	0	0	0	50	50						\image\effect\fightskill\shaolin\sl_90_wxz_c.spr	\audio\fightskill\shaolin\sl_wxz_f.wav			\image\effect\fightskill\shaolin\sl_90_wxz_d.spr	\audio\fightskill\shaolin\sl_wxz_c.wav									255	255	255	0
25	Phổ Độ Côn Pháp	0	1	10	1	0	1	0	0	4	0	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50										\image\effect\fightskill\shaolin\sl_10_pdgf_d.spr	\audio\fightskill\shaolin\sl_pdgf_c.wav									255	255	255	0
26	Sư Tử Hống	0	1	10	21	0	21	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0										\image\effect\fightskill\shaolin\sl_50_szh_d.spr	\audio\fightskill\shaolin\sl_szh_c.wav									255	255	255	0
27	Phục Ma Côn Pháp	0	1	10	5	0	5	0	0	4	0	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50										\image\effect\fightskill\shaolin\sl_50_fmgf_d.spr	\audio\fightskill\shaolin\sl_fmgf_c.wav									255	255	255	0
28	Bất Động Minh Vương_Tử	0	1	10	13	0	13	0	12	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	50	50						\image\effect\fightskill\shaolin\sl_30_bdmw_a.spr				\image\effect\fightskill\shaolin\sl_30_bdmw_d.spr	\audio\fightskill\shaolin\sl_bdmw_c.wav									255	255	255	0
29	Thất Tinh La Sát Côn	0	1	10	11	0	11	0	12	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0						\image\effect\fightskill\shaolin\sl_90_hslh_c.spr				\image\effect\fightskill\shaolin\sl_90_hslh_d.spr	\audio\fightskill\shaolin\sl_hslh_c.wav									255	255	255	0
30	Hồi Phong Lạc Nhạn_Tử	1	1	10	1	0	1	0	0	2	70	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50										\image\effect\fightskill\tianwang\tw_10_hfly_d.spr	\audio\fightskill\tianwang\tw_hfly_c.wav									255	255	255	0
31	Đoạn Hồn Thích_Tử	1	1	10	3	0	3	0	0	2	60	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1										\image\effect\fightskill\tianwang\tw_30_dhc_d.spr	\audio\fightskill\tianwang\tw_dhc_c.wav									255	255	255	0
32	Dương Quan Tam Điệp_Tử	1	1	10	1	0	1	0	0	2	70	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50										\image\effect\fightskill\tianwang\tw_50_ygsd_d.spr	\audio\fightskill\tianwang\tw_ygsd_c.wav									255	255	255	0
33	Thiên Vương Chiến Ý	0	0	10	31	0	31	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0																				255	255	255	0
34	Truy Tinh Trục Nguyệt_Tử	1	1	10	3	0	3	0	0	2	70	0	0	1	0	0	0	2	0	0	0	0	0	0	50	50						\image\effect\fightskill\tianwang\tw_90_zxzy_c.spr				\image\effect\fightskill\tianwang\tw_90_zxzy_d.spr	\audio\fightskill\tianwang\tw_zxzy_c.wav									255	255	255	0
35	Hành Vân Quyết_Tử	1	1	10	1	0	1	0	0	1	80	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50										\image\effect\fightskill\tianwang\tw_10_xyj_d.spr	\audio\fightskill\tianwang\tw_xyj_c.wav									255	255	255	0
36	Truy Phong Quyết_Tử	1	1	10	1	0	1	0	0	1	80	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50										\image\effect\fightskill\tianwang\tw_50_zfj_d.spr	\audio\fightskill\tianwang\tw_zfj_c.wav									255	255	255	0
37	Kim Chung Tráo	0	0	10	31	0	31	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0																				255	255	255	0
38	Thừa Long Quyết_Tử	0	0	10	7	0	7	0	4	3	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0										\image\effect\fightskill\tianwang\tw_90_clj_d.spr	\audio\fightskill\tianwang\tw_clj_c.wav									255	255	255	0
39	Truy Tâm Tiễn	1	1	10	1	0	1	0	0	13	40	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50	5	30	8			\image\effect\fightskill\tangmen\tm_10_zxj_c.spr	\audio\fightskill\tangmen\tm_zxj_f.wav			\image\effect\fightskill\tangmen\tm_10_zxj_d.spr	\audio\fightskill\tangmen\tm_zxj_c.wav									255	255	255	0
40	Tôi Độc Thuật	0	1	10	41	0	41	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0																				255	255	255	0
41	Thiên La Địa Võng	5	1	10	1	0	1	0	0	23	40	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50	5	30	8			\image\effect\fightskill\tangmen\tm_50_tldw_c.spr	\audio\fightskill\tangmen\tm_tldw_f.wav			\image\effect\fightskill\tangmen\tm_50_tldw_d.spr	\audio\fightskill\tangmen\tm_tldw_c.wav									255	255	255	0
42	Thiên La Địa Võng_Phát tán	1	1	10	1	0	1	0	0	17	30	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50	3	35	10			\image\effect\fightskill\tangmen\tm_50_tldw_c.spr	\audio\fightskill\tangmen\tm_tldw_f.wav			\image\effect\fightskill\tangmen\tm_50_tldw_d.spr	\audio\fightskill\tangmen\tm_tldw_c.wav									255	255	255	0
43	Bạo Vũ Lê Hoa	0	1	10	5	0	5	0	9	20	0	0	0	1	0	0	0	0	0	0	0	0	0	0	50	50						\image\effect\fightskill\tangmen\tm_90_bylh_b.spr	\audio\fightskill\tangmen\tm_bylh_f.wav													255	255	255	0
44	Truy Tinh Trục Điện	1	1	10	1	0	1	0	0	11	40	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50						\image\effect\fightskill\tangmen\tm_90_zxzd_c.spr	\audio\fightskill\tangmen\tm_zxzd_f.wav			\image\effect\fightskill\tangmen\tm_90_zxzd_d.spr	\audio\fightskill\tangmen\tm_zxzd_c.wav									255	255	255	0
45	Độc Thích Cốt	0	0	10	7	0	7	0	0	540	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0						\image\effect\fightskill\tangmen\tm_30_dcg_b.spr				\image\effect\fightskill\tangmen\tm_30_dcg_d.spr	\audio\fightskill\tangmen\tm_dcg_c.wav									255	255	255	0
46	Câu Hồn Tĩnh	0	0	10	7	0	7	0	0	540	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0						\image\effect\fightskill\tangmen\tm_30_ghj_b.spr				\image\effect\fightskill\tangmen\tm_30_ghj_d.spr	\audio\fightskill\tangmen\tm_csc_c.wav									255	255	255	0
47	Tiểu Lý Phi Đao	0	1	10	1	0	1	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50										\image\effect\fightskill\tangmen\tm_50_xlfd_d.spr	\audio\fightskill\tangmen\tm_xlfd_c.wav									255	255	255	0
48	Triền Thân Thích	0	0	10	7	0	7	0	0	540	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0						\image\effect\fightskill\tangmen\tm_70_csc_b.spr				\image\effect\fightskill\tangmen\tm_70_csc_d.spr	\audio\fightskill\tangmen\tm_csc_c.wav									255	255	255	0
49	Loạn Hoàn Kích	0	0	10	7	0	7	0	0	540	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0						\image\effect\fightskill\tangmen\tm_90_lhj_b.spr				\image\effect\fightskill\tangmen\tm_90_lhj_d.spr	\audio\fightskill\tangmen\tm_dcg_c.wav									255	255	255	0
50	Độc Thích Cốt_Tử	0	0	10	5	0	5	0	9	20	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0						\image\effect\fightskill\tangmen\tm_30_dcg_d.spr	\audio\fightskill\tangmen\tm_dcg_c.wav													255	255	255	0
51	Câu Hồn Tĩnh_Tử	0	0	10	5	0	5	0	14	13	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0						\image\effect\fightskill\tangmen\tm_30_ghj_d.spr	\audio\fightskill\tangmen\tm_csc_c.wav													255	255	255	0
52	Triền Thân Thích_Tử	0	0	10	5	0	5	0	9	20	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0										\image\effect\fightskill\tangmen\tm_70_csc_d.spr	\audio\fightskill\tangmen\tm_csc_c.wav									255	255	255	0
53	Loạn Hoàn Kích_Tử 1	1	0	10	1	0	1	0	51	25	20	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0																				255	255	255	0
54	Huyết Đao Độc Sát	1	1	10	1	0	1	0	0	13	40	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50	4	35	9			\image\effect\fightskill\wudu\wu_10_xdds_c.spr	\audio\fightskill\wudu\wu_xdds_f.wav			\image\effect\fightskill\wudu\wu_10_xdds_d.spr	\audio\fightskill\wudu\wu_xdds_c.wav									255	255	255	0
55	Vô Hình Cổ	0	1	10	13	0	13	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50										\image\effect\fightskill\wudu\wu_30_wxg_d.spr	\audio\fightskill\wudu\wu_wxg_c.wav									255	255	255	0
56	Bách Độc Xuyên Tâm	1	1	10	3	0	3	0	0	13	40	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50	3	30	10			\image\effect\fightskill\wudu\wu_50_bdcx_c.spr	\audio\fightskill\wudu\wu_bdcx_f.wav			\image\effect\fightskill\wudu\wu_50_bdcx_d.spr	\audio\fightskill\wudu\wu_bdcx_c.wav									255	255	255	0
57	Vạn Cổ Thực Tâm	0	1	10	13	0	13	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0										\image\effect\fightskill\wudu\wu_70_wgsx_d.spr	\audio\fightskill\wudu\wu_wgsx_c.wav									255	255	255	0
58	Huyền Âm Trảm	1	1	10	3	0	3	0	0	16	40	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0						\image\effect\fightskill\wudu\wu_90_xyz_c.spr	\audio\fightskill\wudu\wu_xyz_f.wav													255	255	255	0
59	Tinh Không Phá	0	0	10	5	0	5	0	13	11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0										\image\effect\fightskill\wudu\wu_90_xkp_d.spr	\audio\fightskill\wudu\wu_xkp_c.wav									255	255	255	0
60	Độc Sa Chưởng	0	1	10	1	0	1	0	11	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						\image\effect\fightskill\wudu\wu_10_dsz_d.spr	\audio\fightskill\wudu\wu_dsz_c.wav													255	255	255	0
61	Bi Ma Huyết Quang	0	1	10	13	0	13	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0											\audio\fightskill\wudu\wu_bmxg_c.wav									255	255	255	0
62	Hãm Tĩnh 120_Tử 1	0	1	10	0	0	0	0	4	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0						\image\effect\fightskill\wudu\wu_10_dsz_d.spr														255	255	255	0
63	Thiên Canh Địa Sát	0	1	10	7	0	7	0	11	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						\image\effect\fightskill\wudu\wu_50_tgds_d.spr	\audio\fightskill\wudu\wu_tgds_c.wav			\image\effect\fightskill\wudu\wu_50_tgds_d.spr										255	255	255	0
64	Xuyên Tâm Độc Thích	0	1	10	5	0	5	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0										\image\effect\fightskill\wudu\wu_50_cxdc_d.spr	\audio\fightskill\wudu\wu_cxdc_c.wav									255	255	255	0
65	Âm Phong Thực Cốt	0	1	10	9	0	9	0	4	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	50						\image\effect\fightskill\wudu\wu_90_yfsg_d.spr	\audio\fightskill\wudu\wu_yfsg_c.wav			\image\effect\fightskill\wudu\wu_90_yfsg_d.spr										255	255	255	0
66	Thiên Canh Độc Thủ	0	1	10	11	0	11	0	11	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0						\image\effect\fightskill\wudu\wu_90_tgds_d.spr	\audio\fightskill\wudu\wu_tgds_c.wav													255	255	255	0
67	Phiêu Tuyết Xuyên Vân	1	1	10	1	0	1	0	0	13	40	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50	5	35	8			\image\effect\fightskill\emei\em_10_pxcy_c.spr	\audio\fightskill\emei\em_pxcy_f.wav			\image\effect\fightskill\emei\em_10_pxcy_d.spr	\audio\fightskill\emei\em_pxcy_c.wav									255	255	255	0
68	Từ Hàng Phổ Độ	0	1	10	9	0	9	0	16	15	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0						\image\effect\fightskill\emei\em_30_chpd_d.spr				\image\effect\fightskill\emei\em_30_chpd_c.spr	\audio\fightskill\emei\em_chpd_c.wav									255	255	255	0
69	Tứ Tượng Đồng Quy	0	1	10	3	0	3	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50							\audio\fightskill\emei\em_sxtg_f.wav			\image\effect\fightskill\emei\em_50_sxtg_d.spr	\audio\fightskill\emei\em_sxtg_c.wav									255	255	255	0
70	Tứ Tượng Đồng Quy_Phát tán	1	1	10	3	0	3	0	0	8	30	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50	3	35	10			\image\effect\fightskill\emei\em_50_sxtg_c.spr	\audio\fightskill\emei\em_sxtg_f.wav			\image\effect\fightskill\emei\em_50_sxtg_d.spr	\audio\fightskill\emei\em_sxtg_c.wav									255	255	255	0
71	Phật Tâm Từ Hựu	0	1	10	41	0	41	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0																				255	255	255	0
72	Lưu Thuỷ	0	1	10	41	0	41	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0																				255	255	255	0
73	Phong Sương Toái Ảnh	0	1	10	9	0	9	0	17	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	50						\image\effect\fightskill\emei\em_90_fssy_c.spr	\audio\fightskill\emei\em_fxsy_f.wav			\image\effect\fightskill\emei\em_90_fssy_d.spr	\audio\fightskill\emei\em_fxsy_c.wav									255	255	255	0
74	Kim Đỉnh Phật Quang	5	1	10	1	0	1	0	0	15	50	0	0	1	0	0	0	2	0	0	0	0	0	0	50	50						\image\effect\fightskill\emei\em_90_jdfg_c.spr	\audio\fightskill\emei\em_jdfg_f.wav			\image\effect\fightskill\emei\em_90_jdfg_d.spr	\audio\fightskill\emei\em_jdfg_c.wav									255	255	255	0
75	Mộng Điệp	0	1	10	41	0	41	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0																				255	255	255	0
76	Phật Âm Chiến Ý	1	1	10	2	0	2	0	0	13	45	0	0	1	0	0	0	2	0	0	0	0	0	0	50	50	3	35	10			\image\effect\fightskill\emei\em_10_fyzy_c.spr	\audio\fightskill\emei\em_pxcy_f.wav			\image\effect\fightskill\emei\em_10_fyzy_d.spr	\audio\fightskill\emei\em_pxcy_c.wav									255	255	255	0
77	Thanh Âm Phạn Xướng	0	1	10	41	0	41	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0																				255	255	255	0
78	Thiên Phật Thiên Diệp	0	1	10	41	0	41	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0																				255	255	255	0
79	Phật Quang Phổ Chiếu	0	1	10	1	0	1	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0										\image\effect\fightskill\emei\em_90_fgpz_d.spr	\audio\fightskill\emei\eem_fgpz_c.wav									255	255	255	0
80	Phong Quyển Tàn Tuyết	1	1	10	1	0	1	0	0	16	40	0	0	1	0	0	0	0	0	0	0	0	0	0	50	50	3	40	10			\image\effect\fightskill\cuiyan\cy_10_fjcx_c.spr	\audio\fightskill\cuiyan\cy_fjcx_f.wav			\image\effect\fightskill\cuiyan\cy_10_fjcx_d.spr	\audio\fightskill\cuiyan\cy_fjcx_c.wav									255	255	255	0
81	Bích Hải Triều Sinh	1	1	10	5	0	5	0	0	16	40	0	0	1	0	0	0	2	0	0	0	0	0	0	50	50	6	35	8			\image\effect\fightskill\cuiyan\cy_50_bhcs_c.spr	\audio\fightskill\cuiyan\cy_bhcs_f.wav			\image\effect\fightskill\cuiyan\cy_50_bhcs_d.spr	\audio\fightskill\cuiyan\cy_bhcs_c.wav									255	255	255	0
82	Tuyết Ánh Hồng Trần	0	1	10	41	0	41	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0																				255	255	255	0
83	Băng Tâm Tiên Tử	1	1	10	5	0	5	0	0	13	55	0	0	1	0	0	0	2	0	0	0	0	0	0	50	50						\image\effect\fightskill\cuiyan\cy_90_bxxz_c.spr	\audio\fightskill\cuiyan\cy_bxxz_f.wav			\image\effect\fightskill\cuiyan\cy_90_bxxz_d.spr	\audio\fightskill\cuiyan\cy_bxxz_c.wav									255	255	255	0
84	Phong Tuyết Băng Thiên	0	1	10	5	0	5	0	20	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	50						\image\effect\fightskill\cuiyan\cy_90_fxbt_c.spr	\audio\fightskill\cuiyan\cy_fxbt_f.wav				\audio\fightskill\cuiyan\cy_fxbt_c.wav									255	255	255	0
85	Phong Hoa Tuyết Nguyệt	1	1	10	1	0	1	0	0	13	40	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50						\image\effect\fightskill\cuiyan\cy_10_fhxy_c.spr	\audio\fightskill\cuiyan\cy_fhxy_f.wav			\image\effect\fightskill\cuiyan\cy_10_fhxy_d.spr	\audio\fightskill\cuiyan\cy_fhxy_c.wav									255	255	255	0
86	Mục Dã Lưu Tinh	1	1	10	1	0	1	0	0	13	40	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50						\image\effect\fightskill\cuiyan\cy_50_mylx_c.spr	\audio\fightskill\cuiyan\cy_mylx_f.wav			\image\effect\fightskill\cuiyan\cy_50_mylx_d.spr	\audio\fightskill\cuiyan\cy_mylx_c.wav									255	255	255	0
87	Băng Tung Vô Ảnh	1	1	10	1	0	1	0	0	13	40	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50						\image\effect\fightskill\cuiyan\cy_90_bzwy_c.spr	\audio\fightskill\cuiyan\cy_bzwy_f.wav			\image\effect\fightskill\cuiyan\cy_90_bzwy_d.spr	\audio\fightskill\cuiyan\cy_bzwy_c.wav									255	255	255	0
88	Băng Tâm Tuyết Liên	0	0	10	3	0	3	0	0	8	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0										\image\effect\fightskill\cuiyan\cy_90_bxxl_d.spr	\audio\fightskill\cuiyan\cy_bxxl_c.wav									255	255	255	0
89	Kiến Nhân Thân Thủ	1	1	10	1	0	1	0	0	9	60	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50	5	35	8			\image\effect\fightskill\gaibang\gb_10_jrss_c.spr	\audio\fightskill\gaibang\gb_jrss_f.wav			\image\effect\fightskill\gaibang\gb_10_jrss_d.spr	\audio\fightskill\gaibang\gb_jrss_c.wav									255	255	255	0
90	Hàng Long Hữu Hối	1	1	10	1	0	1	0	0	13	40	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50						\image\effect\fightskill\gaibang\gb_50_klyh_c.spr	\audio\fightskill\gaibang\gb_klyh_f.wav			\image\effect\fightskill\gaibang\gb_50_klyh_d.spr	\audio\fightskill\gaibang\gb_klyh_c.wav									255	255	255	0
91	Phi Long Tại Thiên	5	1	10	1	0	1	0	0	19	40	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50						\image\effect\fightskill\gaibang\gb_90_flzt_c.spr	\audio\fightskill\gaibang\gb_flzt_f.wav			\image\effect\fightskill\gaibang\gb_90_flzt_d.spr	\audio\fightskill\gaibang\gb_flzt_c.wav									255	255	255	0
92	Long Chiến Vu Dã	0	1	10	5	0	5	0	19	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						\image\effect\fightskill\gaibang\gb_90_lzyy_d.spr	\audio\fightskill\gaibang\gb_lzyy_c.wav													255	255	255	0
93	Duyên Môn Thác Bát	1	1	10	1	0	1	0	0	13	40	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50	3	45	10			\image\effect\fightskill\gaibang\gb_10_ymtb_c.spr	\audio\fightskill\gaibang\gb_ymtb_f.wav			\image\effect\fightskill\gaibang\gb_10_ymtb_d.spr	\audio\fightskill\gaibang\gb_ymtb_c.wav									255	255	255	0
94	Bổng Đả Ác Cẩu	1	1	10	1	0	1	0	0	13	40	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50	3	60	10			\image\effect\fightskill\gaibang\gb_50_bdeg_c.spr	\audio\fightskill\gaibang\gb_bdeg_f.wav			\image\effect\fightskill\gaibang\gb_50_bdeg_d.spr	\audio\fightskill\gaibang\gb_bdeg_c.wav									255	255	255	0
